4. Числа от 1 до 100
0 ноль	零
1 один	一
2 два	二
3 три	三
4 четыре	四

5 пять	五
6 шесть	六
7 семь	七
8 восемь	八
9 девять	九

10 десять	十
11 одиннадцать	十一
12 двенадцать	十二
13 тринадцать	十三
14 четырнадцать	十四

15 пятнадцать	十五
16 шестнадцать	十六
17 семнадцать	十七
18 восемнадцать	十八
19 девятнадцать	十九
20 двадцать	二十
21 двадцать один	二十一
22 двадцать два	二十二
23 двадцать три	二十三

30 тридцать	三十
31 тридцать один	三十一
32 тридцать два	三十二
33 тридцать три	三十三

40 сорок	四十
41 сорок один	四十一
42 сорок два	四十二
43 сорок три	四十三

50 пятьдесят	五十
51 пятьдесят один	五十一
52 пятьдесят два	五十二
53 пятьдесят три	五十三

60 шестьдесят	六十
61 шестьдесят один	六十一
62 шестьдесят два	六十二
63 шестьдесят три	六十三

70 семьдесят	七十
71 семьдесят один	七十一
72 семьдесят два	七十二
73 семьдесят три	七十三

80 восемьдесят	八十
81 восемьдесят один	八十一
82 восемьдесят два	八十二
83 восемьдесят три	八十三

90 девяносто	九十
91 девяносто один	九十一
92 девяносто два	九十二
93 девяносто три	九十三
