городско́й|城市的;市立的
де́тство|童年
де́тский|儿童的
молодо́й|年轻的
кра́сный|红色的
дома́шний|家庭的
си́ний|蓝色的
вече́рний|晚上的;参加晚会穿的
англи́йский|英国的;英语的
длохо́й|不好的
све́жий|新鲜的;清新的;新的
горя́чий|热的;热烈的
пальто́|[不变,中]大衣
де́рево,复дере́вья|树
челове́к,复лю́ди|人
зи́мний|冬天的;冬季用的
кварти́ра|一套房间,(独户的)住房
вода́,复во́ды|水;饮料;水域
рабо́чий|办公的,工人的;工人
сре́дний|中间的;中等的;平均的
кита́йский|中国的
ма́ленький|小的
ле́кция|(大学的)讲课,讲座
роди́тели[复]|父母,双亲
дворе́ц,复-рцы,во дворце́|宫殿,馆
ле́тний|夏天的
заня́тие|课,课堂
и́ли[连]|或者
ста́рший|年岁最大的;年长的
мла́дший|年纪较小的
моско́вский|莫斯科的
кинотеа́тр|电影院
больни́ца|医院
свой,своя́,своё,свои́[代]|自己的
сиде́ть,сижу́,сиди́шь,сидя́т|坐着
торго́вый|贸易的
фи́рма|公司
мелици́нский|医学的
пеки́нский|北京的
истори́ческий|历史的
факульте́т|系
почему́[副]|为什么
больно́й|有病的
москви́ч,复-и́[阳],москви́чка[阴]|莫斯科人
роди́ться,过去时-и́лся,-ила́сь,-и́лись|出生;产生
уже́[副]|已经
педагоги́ческий|师范的
звать,зову́,зовёшь,зову́т;звал,звала,звали(кого́-что)|招呼的,叫来;叫做
специа́льность[阴]|专业
литерату́ра|文学
неда́вно[副]|不久
ка́ждый|每个,每
кро́ме того́|除此之外,此外
видеофи́льм|影视剧
да́же[副]|甚至
весёлый|快乐的
до́брый|善良的
подно́й|家乡的;亲爱的
пасска́з|讲述;故事;短篇小说
знамени́тый|著名的
ме́сто,复-а́|地方;座位
ли[语气,连]|是否,吗
Алекса́ндр Серге́евич Пу́шкии|普希金
Зи́мний дворе́ц|冬宫
Сара́тов|萨拉托夫市
Янцзы́|长江
Арба́т|阿尔巴特街
