два!дцать|二十
три!дцать|三十
оди!ннадцать|十一
двена!дцать|十二
трина!дцать|十三
четы!рнадцать|十四
пятна!дцать|十五
щестна!дцать|十六
семна!дцать|十七
восемна!дцать|十八
девятна!дцать|十九
неде!ля|星期,周
два,две|二
три|三
семь|七夕
страна!|国家
ма!ло[数]|少,不多
нема!ло[数]|不少
не!сколько[数]|几个,一些
раз,разы!,раз,раза!м|次,回
пода!рок,-рка|礼物
бо!льше всего!|最
компози!тор|作曲家
иностра!нец,-нца[阳],иностра!нка[阴]|外国人
принима!ть,-а!ю,-а!еш,-а!ют[未]//[完]приня!ть,приму!,при!мешь,при!мут;при!нял,-яла!,-яли(кого!-что)|录取;接受
ра!зный|不同的
юриди!ческий|法律(上)的
дорого!й|贵重的;宝贵的;亲爱的
за[前](кого!-что) (кого!-что或кем-чем)|由于,因为;到...后面,在...后面
ре!дко[副]|稀少地,很少地
наве!рное[插入语]|大概
забы!ть,-бу!ду,-бу!дешь,-бу!дут[完]//[未]забыва!ть,-а!ю,-ае!шь,-а!ют(кого!-что或о ком-чём及接不定式)|忘记;忽略
за!нятый,за!нят,-а!,-ы[只用短尾]|忙,有事,没空儿
проси!ть,прошу!,про!сишь,про!сят[未]//[完]попроси!ть(кого!-что或接不定式)|请求
удово!льствие с удово!льствием|愉快,高兴 很高兴
ко!ротко|简短地
ты!сяча[阴]|一千
о!пытный|有经验的
со!рок|四十
япо!нский|日本的
городо!к|го!род的指小,小城市;镇
клуб|俱乐部,活动中心
уче!бный|教学的
ко!рпус,复-а!,-о!в|(一大片楼房中的)一所楼房
лекцио!нный лекцио!нный зал|讲演的 讲演厅,阶梯教室
кабине!т|办公室,书房;研究室
портре!т|肖像
отве!т|回答,答复,回信
руси!ст|俄罗斯语言文学家,从事俄语的人
порт,в порту!|港,港口
ми!лый|可爱的;亲爱的
люби!мый|最受爱戴的,敬爱的
Фёдор Миха!йлович Достое!вский|陀思妥耶夫斯基
Исаа!к Ильи!ч Левита!н|列维坦
Су!здаль|苏兹达里市
Влади!мир Влади!мирович Маяко!вский|马雅可夫斯基
