мать|母亲
ночь|夜晚
мя́со|肉
мир|和平;世界
и́мя|名字
метро́|地铁
диём[副]|白天
вто́рник|星期二
ку́хня|厨房;菜肴
оди́н|一
нет|不,不是,不对
снег|雪
Интерне́т[тэрнэ́]|因特网
собра́ние|会议
худо́жник|艺术家
оте́ц|父亲
тётя|姨,姑,婶
юг|南方,南
темно́[副]|黑,暗
теа́тр|剧院
текст|课文
институ́т|研究所,学院
ти́хо[副]|安静
ра́дио|广播
дя́дя|叔,舅,伯
де́душка|祖父,外祖父
ба́бушка|祖母,外祖母
где|在哪里
де́вушка|姑娘
де́ти[复]|孩子们
де́лать|做
тетра́дь|练习薄
язы́к|语言;舌头
гость[阳],го́стья[阴]|客人
их|他们的
чай|茶
чей,чья,чьё,чьи|谁的
час|小时,钟头
часы́|钟表
чи́сто|干净地,整洁地
вчера́|昨天
но́чью|(在)夜里
врач|医生
чита́ть,чита́ю,чита́ешь,читают|读
счита́ть,счита́ю,счита́ешь,счита́ют|数数,计算
по́чта|邮局;邮件
ру́чка|铅笔
до́чка|女儿
чемпио́н|冠军
уче́бник|教科书
обы́чно|平常地
ещё|还
кни́га|书
общежи́тие|宿舍
о́вощи[复]|蔬菜
плащ|风衣
сча́стье|幸福
ищу́|(我)寻找
рабо́тать,рабо́таю,рабо́таешь,рабо́тают|工作
знать,зна́ю,зна́ешь,зна́ют|知道;了解,认识
отдыха́ть,отдыха́ю,отдыха́ешь,отдыха́ют|休息
у́жинать,у́жинаю,у́жинаешь,у́жинают|吃晚饭
слу́шать,слу́шаю,слу́шаешь,слу́шают|听
игра́ть,игра́ю,игра́ешь,игра́ют|玩耍,玩
жить,живу́,живёшь,живу́т|住;生活
не[语气]|不
в[前]|向,往,到...里;在...里
ша́хматы,-ат[复]|国际象棋;象棋
