слова́рь|字典
рис|米饭,大米
а́дрес|地址
мо́ре|大海
вре́мя|时间
река́|河
сpeда́|星期三
четве́рг|星期四
ча́сто[副]|经常
roвоpи́ть,говорю́,говори́шь,говоря́т|说
смотре́ть,смотрю́,смо́тришь,смо́трят|看
хоте́ть,хочу́,хо́чешь,хо́бчет,хоти́м,хоти́те, хотя́т(чего́或接不定式)|想
три|三
четы́ре|四
пять|五
шесть|六
де́вять|九
pю́мка|高脚酒杯
аудито́рия|(大学)教室
caнaто́pий|疗养院,疗养所
пе́сня|歌,歌词
хорошо́|[副]好;[语气]好吧
пи́во|啤酒
nepepы́в|休息
о(об)[前]|关于
npoсnе́кт|马路
компью́тер|电脑
шофёр|司机
буфе́т|小卖部
конфе́та|糖果
о́бувь|鞋
обе́д|午饭
тебя́|ты的第四格
обе́дать|吃午饭
ве́чером[副]|在晚上ˇ
весна́|春天
весно́й[副]|(在)春天
о́чень[副]|很,非常
мно́rо[副]|很多
писать,пишу́,пи́шешь,пи́шут|写
почему́[副]|为什么
Caнкт-Пeтep6у́pr|圣彼得堡
