о́сень|秋天
о́ceнью[副]|(在) 秋天
за́втра[副]|明天
спаси́бо[语气](кому́ за что)|谢谢
цветы́[复]|花
приве́т;Приве́т!<口>|问候,致意;你好!
тaкси́[中]|出租车
здесь[副]|这里
семья́,复се́мьи|家庭,一家人
ceстра́|姐妹
сейча́с|现在,马上
себя́|自己
сего́дня[во][副]|今天
ме́сяц|月
зима́|冬天
зимо́й[副]|(在)冬天
о́зеpo|湖
гaзе́тa|报纸
журна́л|杂志;记事簿
музе́й|博物馆
магази́н|商店
фильм|影片
телефо́н|电话
ле́то|夏天
ле́том[副]|(在) 夏天
хлеб|面包
рубль|卢布
ию́ль|七月
письмо́,复пи́сьма|信;书写;写作
библиоте́ка|图书馆
по́ле|田野;场地
стадио́н|体育场
ма́льчик|男孩
ско́лько|多少
то́лькo|仅仅,只
ту́фли|布鞋
у́лица|马路
писа́тель|作家
учи́тель[阳],учи́тельница[阴]|(中小学)教师,教员
во́семь|八
де́сять|十
люби́ть,люблю́,лю́бишь,лю́бят|爱
понеде́льник|星期一
воскресе́нье|星期日
по-кита́йски|用汉语
по-ру́сски|用俄语
по-англи́йски|用英语
ру́сский|俄罗斯的;俄语的
брю́ки[复]|裤子
кино́|影院
пожа́луйста[луста][语气]|请
де́ньги|钱
стихи́|诗
хи́мия|化学
хи́мик|化学家
краси́вый|美丽的;漂亮的
здо́рово[副]|真好,真棒
До свида́ния!|再见
хоро́ший|好的
вку́сно[副]|好吃,可口
студе́нт[阳],студе́нтка[阴]|大学生
Институ́т ру́сского языка́|俄语学院
вопро́с|问题
преподава́тель[阳]преподава́тельница[阴]|(中,高等学校)教师,教员
учёба|学习
идти́,иду́,идёшь,иду́т|走,步行
е́хать,е́ду,е́дешь,е́дут|(乘车)去,来
разгова́ривать,разгова́риваю,разгова́риваешь,разгова́ривают|交谈
мечта́ть,мечта́ю,мечта́ешь,мечта́ют|幻想,向往
отвеча́ть,отвеча́ю,отвеча́ешь,отвеча́ют|回答
изуча́ть,изуча́ю,изуча́ешь,изуча́ют|学习,研究
занима́ться,занима́юсь,занима́ешься,занима́ются(чем)|从事;学习
Росси́я|俄罗斯
Азия|亚洲
Ки́ев|基辅
Пеки́н|北京
Кита́й|中国
