le               	LE SURVIVANT
survivre         	LE SURVIVANT
et               	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
qui              	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
habiter          	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
avoir            	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
toujours         	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
affirmer         	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
avec             	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
plus             	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
grand            	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
fierté           	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
il               	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
être             	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
parfaitement     	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
normal           	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
merci            	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
pour             	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
lui              	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
jamais           	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
quiconque        	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
imaginer         	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
pouvoir          	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
se               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
trouver          	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
impliquer        	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
dans             	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
quoi             	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
que              	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
ce               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
étrange          	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
ou               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
de               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
mystérieux       	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
pas              	Ils n’avaient pas de temps à perdre avec des sornettes.
temps            	Ils n’avaient pas de temps à perdre avec des sornettes.
à                	Ils n’avaient pas de temps à perdre avec des sornettes.
perdre           	Ils n’avaient pas de temps à perdre avec des sornettes.
un               	Ils n’avaient pas de temps à perdre avec des sornettes.
sornettes        	Ils n’avaient pas de temps à perdre avec des sornettes.
diriger          	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
entreprise       	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
fabriquer        	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
perceuse         	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
homme            	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
massif           	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
pratiquement     	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
cou              	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
mais             	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
posséder         	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
en               	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
revanche         	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
moustache        	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
beau             	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
taille           	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
quant à          	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
mince            	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
blonde           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
disposer         	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
deux             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
fois             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
long             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
