HPfrb1ch02-0001	vitre          	UNE VITRE DISPARAÎT
HPfrb1ch02-0002	disparaître    	UNE VITRE DISPARAÎT
HPfrb1ch02-0003	dix            	Il s’était passé près de dix ans depuis que les Dursley avaient trouvé au saut du lit leur neveu devant la porte, mais Privet Drive n’avait quasiment pas changé.
HPfrb1ch02-0004	saut           	Il s’était passé près de dix ans depuis que les Dursley avaient trouvé au saut du lit leur neveu devant la porte, mais Privet Drive n’avait quasiment pas changé.
HPfrb1ch02-0005	quasiment      	Il s’était passé près de dix ans depuis que les Dursley avaient trouvé au saut du lit leur neveu devant la porte, mais Privet Drive n’avait quasiment pas changé.
HPfrb1ch02-0006	propret        	Ce jour-là, le soleil se leva sur les mêmes petits jardins proprets en faisant étinceler la plaque de cuivre qui portait le numéro 4, à l’entrée de la maison des Dursley.
HPfrb1ch02-0007	cuivre         	Ce jour-là, le soleil se leva sur les mêmes petits jardins proprets en faisant étinceler la plaque de cuivre qui portait le numéro 4, à l’entrée de la maison des Dursley.
HPfrb1ch02-0008	infiltrer      	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
HPfrb1ch02-0009	living-room    	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
HPfrb1ch02-0010	semblable      	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
HPfrb1ch02-0011	télévision     	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
HPfrb1ch02-0012	fameux         	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
HPfrb1ch02-0013	mémoire        	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
HPfrb1ch02-0014	photo          	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
HPfrb1ch02-0015	exhiber        	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
HPfrb1ch02-0016	manteau        	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
HPfrb1ch02-0017	cheminée       	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
HPfrb1ch02-0018	idée           	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
HPfrb1ch02-0019	écouler        	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
HPfrb1ch02-0020	dix            	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0021	tôt            	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0022	nombreux       	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0023	cliché         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0024	exposer        	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0025	ballon         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0026	rose           	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0027	coiffer        	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0028	bonnet         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0029	pompon         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
HPfrb1ch02-0030	différent      	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
