HPfrb1ch04-0001	clé            	LE GARDIEN DES CLÉS
HPfrb1ch04-0002	bêtement       	– C’était un coup de canon ? demanda-t-il bêtement.
HPfrb1ch04-0003	fusil          	Il tenait un fusil à la main.
HPfrb1ch04-0004	contenir       	À présent, ils savaient ce que contenait le long paquet qu’il avait eu sous le bras la veille.
HPfrb1ch04-0005	armer          	Je vous préviens, je suis armé !
HPfrb1ch04-0006	gond           	On cogna sur la porte avec tant de force qu’elle fut arrachée de ses gonds et tomba à plat sur le sol dans un fracas assourdissant.
HPfrb1ch04-0007	fracas         	On cogna sur la porte avec tant de force qu’elle fut arrachée de ses gonds et tomba à plat sur le sol dans un fracas assourdissant.
HPfrb1ch04-0008	encadrement    	Un véritable géant se tenait dans l’encadrement.
HPfrb1ch04-0009	crinière       	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
HPfrb1ch04-0010	emmêler        	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
HPfrb1ch04-0011	broussailleux  	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
HPfrb1ch04-0012	distinctement  	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
HPfrb1ch04-0013	scarabée       	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
HPfrb1ch04-0014	foisonnement   	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
HPfrb1ch04-0015	ramasser       	Il se pencha, ramassa la porte et la remit sans difficulté sur ses gonds.
HPfrb1ch04-0016	difficulté     	Il se pencha, ramassa la porte et la remit sans difficulté sur ses gonds.
HPfrb1ch04-0017	vacarme        	Au-dehors, le vacarme de la tempête s’était un peu atténué.
HPfrb1ch04-0018	atténuer       	Au-dehors, le vacarme de la tempête s’était un peu atténué.
HPfrb1ch04-0019	refus          	Si vous aviez une tasse de thé, ce ne serait pas de refus, dit le géant.
HPfrb1ch04-0020	pétrifier      	Il s’avança vers le canapé où Dudley était resté assis, pétrifié de terreur.
HPfrb1ch04-0021	courir         	Dudley poussa un petit cri et courut se réfugier derrière sa mère, tout aussi terrifiée, qui se cachait elle-même derrière l’oncle Vernon.
HPfrb1ch04-0022	réfugier       	Dudley poussa un petit cri et courut se réfugier derrière sa mère, tout aussi terrifiée, qui se cachait elle-même derrière l’oncle Vernon.
HPfrb1ch04-0023	terrifier      	Dudley poussa un petit cri et courut se réfugier derrière sa mère, tout aussi terrifiée, qui se cachait elle-même derrière l’oncle Vernon.
HPfrb1ch04-0024	ride           	Harry leva la tête vers son visage hirsute et vit de petites rides apparaître autour de ses yeux en forme de scarabée : le géant souriait.
HPfrb1ch04-0025	commettre      	Vous avez commis une violation de domicile avec effraction.
HPfrb1ch04-0026	violation      	Vous avez commis une violation de domicile avec effraction.
HPfrb1ch04-0027	domicile       	Vous avez commis une violation de domicile avec effraction.
HPfrb1ch04-0028	effraction     	Vous avez commis une violation de domicile avec effraction.
