HPfrb1ch05-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfrb1ch05-0002	fermer          	Il savait qu’il faisait jour, mais il garda les yeux fermés.
HPfrb1ch05-0003	nommer          	Dans un demi-sommeil, il se demanda s’il n’avait pas rêvé, si le géant nommé Hagrid existait bien, s’il n’allait pas se retrouver dans son placard lorsqu’il ouvrirait les yeux.
HPfrb1ch05-0004	exister         	Dans un demi-sommeil, il se demanda s’il n’avait pas rêvé, si le géant nommé Hagrid existait bien, s’il n’allait pas se retrouver dans son placard lorsqu’il ouvrirait les yeux.
HPfrb1ch05-0005	désespéré       	– C’est bien ce que je pensais, marmonna-t-il, désespéré.
HPfrb1ch05-0006	cogne           	Voilà la tante Pétunia qui cogne à la porte du placard pour me réveiller.
HPfrb1ch05-0007	résigner        	Résigné, il ouvrit les yeux et se redressa.
HPfrb1ch05-0008	illuminer       	Le gros manteau de Hagrid glissa de ses épaules et il vit l’intérieur de la cabane illuminé de soleil.
HPfrb1ch05-0009	patte           	Hagrid dormait toujours sur le canapé écrasé et Harry aperçut un hibou qui tapait d’une patte au carreau de la fenêtre, un journal dans le bec.
HPfrb1ch05-0010	carreau         	Hagrid dormait toujours sur le canapé écrasé et Harry aperçut un hibou qui tapait d’une patte au carreau de la fenêtre, un journal dans le bec.
HPfrb1ch05-0011	sensation       	Il éprouvait une telle sensation de bonheur qu’il avait l’impression de sentir son corps flotter comme un ballon.
HPfrb1ch05-0012	bonheur         	Il éprouvait une telle sensation de bonheur qu’il avait l’impression de sentir son corps flotter comme un ballon.
HPfrb1ch05-0013	menacer         	Harry essaya de le chasser, mais l’oiseau le menaça avec des claquements de bec féroces et continua de s’en prendre au manteau.
HPfrb1ch05-0014	payer           	– Paye-le, grommela Hagrid sans bouger de son canapé.
HPfrb1ch05-0015	uniquement      	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0016	trousseau       	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0017	produit         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0018	pelote          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0019	ficelle         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0020	menthe          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0021	sachet          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0022	poignée         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0023	monnaie         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfrb1ch05-0024	ensommeiller    	– Donne-lui cinq Noises, dit Hagrid d’une voix ensommeillée.
HPfrb1ch05-0025	bronze          	– Les petites pièces en bronze.
HPfrb1ch05-0026	bourse          	L’oiseau tendit une patte et Harry déposa cinq Noises dans la petite bourse en cuir qui y était attachée.
HPfrb1ch05-0027	attacher        	L’oiseau tendit une patte et Harry déposa cinq Noises dans la petite bourse en cuir qui y était attachée.
HPfrb1ch05-0028	envoler         	Le hibou s’envola aussitôt par la fenêtre.
HPfrb1ch05-0029	bâillement      	– On ferait bien d’y aller, dit Hagrid qui se redressa avec un bâillement sonore.
HPfrb1ch05-0030	crever          	Il avait l’air soudain préoccupé, comme si le bonheur qu’il avait ressenti venait de crever comme un ballon.
HPfrb1ch05-0031	heu             	– Heu… Hagrid ?
HPfrb1ch05-0032	chausser        	Oui, répondit le géant en chaussant ses immenses bottes.
HPfrb1ch05-0033	banque          	C’est la banque des sorciers.
HPfrb1ch05-0034	mange           	Mange donc une saucisse.
HPfrb1ch05-0035	clair           	Le ciel était clair, à présent et la mer étincelait sous le soleil.
HPfrb1ch05-0036	louer           	La barque que l’oncle Vernon avait louée était toujours là, inondée d’eau de pluie.
HPfrb1ch05-0037	embarcation     	demanda Harry en cherchant des yeux une autre embarcation.
HPfrb1ch05-0038	ramer           	– C’est quand même un peu idiot de ramer, dit le géant en lançant à Harry un regard de côté.
HPfrb1ch05-0039	accélérer       	Si je m’arrange pour… accélérer un peu les choses, tu n’en parleras pas quand tu seras à Poudlard ?
HPfrb1ch05-0040	pointe          	Hagrid tapota alors de la pointe de son parapluie rose le bord de la barque et le bateau fila aussitôt vers le rivage.
HPfrb1ch05-0041	rivage          	Hagrid tapota alors de la pointe de son parapluie rose le bord de la barque et le bateau fila aussitôt vers le rivage.
HPfrb1ch05-0042	sort            	– Ils n’ont pas leur pareil pour jeter des sorts, répondit Hagrid en dépliant son journal.
HPfrb1ch05-0043	dragon          	On dit même que ce sont des dragons qui gardent la salle des coffres.
HPfrb1ch05-0044	coffre          	On dit même que ce sont des dragons qui gardent la salle des coffres.
HPfrb1ch05-0045	kilomètre       	Et en plus, ce n’est pas facile d’y retrouver son chemin – Gringotts est à des kilomètres en sous-sol, bien plus bas que le métro de Londres.
HPfrb1ch05-0046	gazette         	Harry resta assis en silence pendant que Hagrid lisait son journal, La Gazette du sorcier.
HPfrb1ch05-0047	contact         	Harry avait appris au contact de l’oncle Vernon qu’il ne fallait jamais déranger quelqu’un qui lit son journal, mais il avait tant de questions à poser qu’il était très difficile de résister.
HPfrb1ch05-0048	ministère       	Le ministère de la Magie a encore fait des bêtises, comme d’habitude, marmonna Hagrid en tournant les pages.
HPfrb1ch05-0049	page            	Le ministère de la Magie a encore fait des bêtises, comme d’habitude, marmonna Hagrid en tournant les pages.
HPfrb1ch05-0050	spontanément    	demanda spontanément Harry.
HPfrb1ch05-0051	ministre        	Ils voulaient nommer Dumbledore ministre, mais il ne quitterait Poudlard pour rien au monde et c’est ce vieux gâteux de Cornelius Fudge qui a hérité du poste.
HPfrb1ch05-0052	gâteux          	Ils voulaient nommer Dumbledore ministre, mais il ne quitterait Poudlard pour rien au monde et c’est ce vieux gâteux de Cornelius Fudge qui a hérité du poste.
HPfrb1ch05-0053	gaffeur         	Un vrai gaffeur, celui-là.
HPfrb1ch05-0054	conseil         	Chaque matin, il envoie un hibou à Dumbledore pour lui demander conseil.
HPfrb1ch05-0055	appel           	Sinon, ils essaieraient de faire appel à nous pour résoudre leurs problèmes.
HPfrb1ch05-0056	résoudre        	Sinon, ils essaieraient de faire appel à nous pour résoudre leurs problèmes.
HPfrb1ch05-0057	quai            	À ce moment, le bateau heurta en douceur le quai du port.
HPfrb1ch05-0058	port            	À ce moment, le bateau heurta en douceur le quai du port.
HPfrb1ch05-0059	replier         	Hagrid replia son journal et ils montèrent l’escalier de pierre qui menait à la rue.
HPfrb1ch05-0060	gare            	Tout au long du chemin qui conduisait à la gare, les passants se retournaient sur Hagrid : il était deux fois plus grand que la moyenne et ne cessait de faire des commentaires à haute voix sur tout ce qu’il voyait.
HPfrb1ch05-0061	commentaire     	Tout au long du chemin qui conduisait à la gare, les passants se retournaient sur Hagrid : il était deux fois plus grand que la moyenne et ne cessait de faire des commentaires à haute voix sur tout ce qu’il voyait.
HPfrb1ch05-0062	regarder        	– Regarde ça, disait-il en montrant des parcmètres.
HPfrb1ch05-0063	ça              	– Regarde ça, disait-il en montrant des parcmètres.
HPfrb1ch05-0064	parcmètre       	– Regarde ça, disait-il en montrant des parcmètres.
HPfrb1ch05-0065	inventer        	Les Moldus ont vraiment l’esprit tordu pour inventer des trucs pareils !
HPfrb1ch05-0066	essouffler      	demanda-t-il, un peu essoufflé.
HPfrb1ch05-0067	méduse          	Sac à méduses, j’aimerais bien avoir un dragon !
HPfrb1ch05-0068	soin            	Hagrid, qui ne comprenait rien à « l’argent des Moldus » confia à Harry le soin d’acheter les billets.
HPfrb1ch05-0069	passager        	Dans le train, les passagers ouvraient des yeux ronds en voyant Hagrid.
HPfrb1ch05-0070	siège           	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfrb1ch05-0071	tricoter        	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfrb1ch05-0072	chapiteau       	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfrb1ch05-0073	cirque          	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfrb1ch05-0074	canari          	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfrb1ch05-0075	maille          	– Tu as toujours ta lettre, Harry ? demanda-t-il en comptant les mailles.
HPfrb1ch05-0076	fourniture      	Regarde un peu la liste des fournitures.
HPfrb1ch05-0077	feuille         	Elle contenait une autre feuille qu’il n’avait pas remarquée auparavant.
HPfrb1ch05-0078	obligatoirement 	Liste des vêtements dont les élèves de première année devront obligatoirement être équipés :
HPfrb1ch05-0079	équiper         	Liste des vêtements dont les élèves de première année devront obligatoirement être équipés :
HPfrb1ch05-0080	modèle          	1) Trois robes de travail (noires), modèle normal
HPfrb1ch05-0081	pointu          	2) Un chapeau pointu (noir)
HPfrb1ch05-0082	protecteur      	3) Une paire de gants protecteurs (en cuir de dragon ou autre matière semblable)
HPfrb1ch05-0083	matière         	3) Une paire de gants protecteurs (en cuir de dragon ou autre matière semblable)
HPfrb1ch05-0084	hiver           	4) Une cape d’hiver (noire avec attaches d’argent)
HPfrb1ch05-0085	noire           	4) Une cape d’hiver (noire avec attaches d’argent)
HPfrb1ch05-0086	attache         	4) Une cape d’hiver (noire avec attaches d’argent)
HPfrb1ch05-0087	étiquette       	Chaque vêtement devra porter une étiquette indiquant le nom de l’élève.
HPfrb1ch05-0088	manuel          	Livres et manuels
HPfrb1ch05-0089	procurer        	Chaque élève devra se procurer un exemplaire des ouvrages suivants :
HPfrb1ch05-0090	exemplaire      	Chaque élève devra se procurer un exemplaire des ouvrages suivants :
HPfrb1ch05-0091	enchantement    	Le Livre des sorts et enchantements (niveau 1), de Miranda Fauconnette
HPfrb1ch05-0092	théorique       	Magie théorique, de Adalbert Lasornette
HPfrb1ch05-0093	métamorphose    	Manuel de métamorphose à l’usage des débutants, de Emeric G. Changé
HPfrb1ch05-0094	débutant        	Manuel de métamorphose à l’usage des débutants, de Emeric G. Changé
HPfrb1ch05-0095	mille           	Mille herbes et champignons magiques, de Phyllida Augirolle
HPfrb1ch05-0096	herbe           	Mille herbes et champignons magiques, de Phyllida Augirolle
HPfrb1ch05-0097	champignon      	Mille herbes et champignons magiques, de Phyllida Augirolle
HPfrb1ch05-0098	potion          	Potions magiques, de Arsenius Beaulitron
HPfrb1ch05-0099	habitat         	Vie et habitat des animaux fantastiques, de Norbert Dragonneau
HPfrb1ch05-0100	fantastique     	Vie et habitat des animaux fantastiques, de Norbert Dragonneau
HPfrb1ch05-0101	obscur          	Forces obscures : comment s’en protéger, de Quentin Jentremble
HPfrb1ch05-0102	chaudron        	1 chaudron (modèle standard en étain, taille 2)
HPfrb1ch05-0103	standard        	1 chaudron (modèle standard en étain, taille 2)
HPfrb1ch05-0104	étain           	1 chaudron (modèle standard en étain, taille 2)
HPfrb1ch05-0105	fiole           	1 boîte de fioles en verre ou cristal
HPfrb1ch05-0106	cristal         	1 boîte de fioles en verre ou cristal
HPfrb1ch05-0107	télescope       	1 télescope
HPfrb1ch05-0108	balance         	1 balance en cuivre
HPfrb1ch05-0109	posséder        	IL EST RAPPELÉ AUX PARENTS QUE LES ÉLÈVES DE PREMIÈRE ANNÉE NE SONT PAS AUTORISÉS À POSSÉDER LEUR PROPRE BALAI.
HPfrb1ch05-0110	balai           	IL EST RAPPELÉ AUX PARENTS QUE LES ÉLÈVES DE PREMIÈRE ANNÉE NE SONT PAS AUTORISÉS À POSSÉDER LEUR PROPRE BALAI.
HPfrb1ch05-0111	transport       	Hagrid semblait connaître son chemin mais, de toute évidence, il n’avait pas l’habitude de se déplacer dans les transports en commun.
HPfrb1ch05-0112	commun          	Hagrid semblait connaître son chemin mais, de toute évidence, il n’avait pas l’habitude de se déplacer dans les transports en commun.
HPfrb1ch05-0113	coincer         	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfrb1ch05-0114	portillon       	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfrb1ch05-0115	automatique     	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
