HPfrb1ch06-0001	rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
HPfrb1ch06-0002	mois             	Le dernier mois que Harry passa chez les Dursley n’eut rien de très amusant.
HPfrb1ch06-0003	déprimer         	D’une certaine manière, c’était mieux qu’avant, mais un peu déprimant malgré tout.
HPfrb1ch06-0004	baptiser         	Harry restait donc dans sa chambre en compagnie de sa chouette qu’il avait baptisée Hedwige, un nom trouvé dans son Histoire de la magie.
HPfrb1ch06-0005	soirée           	Il passait ses journées et ses soirées à dévorer ses manuels scolaires tandis qu’Hedwige allait se promener, sortant et rentrant par la fenêtre ouverte.
HPfrb1ch06-0006	dévorer          	Il passait ses journées et ses soirées à dévorer ses manuels scolaires tandis qu’Hedwige allait se promener, sortant et rentrant par la fenêtre ouverte.
HPfrb1ch06-0007	ménage           	Fort heureusement, la tante Pétunia ne venait plus faire le ménage car Hedwige ne cessait de ramener des cadavres de souris.
HPfrb1ch06-0008	cadavre          	Fort heureusement, la tante Pétunia ne venait plus faire le ménage car Hedwige ne cessait de ramener des cadavres de souris.
HPfrb1ch06-0009	barrer           	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
HPfrb1ch06-0010	calendrier       	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
HPfrb1ch06-0011	accrocher        	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
HPfrb1ch06-0012	toussoter        	Dans le salon, les Dursley regardaient un jeu télévisé et il toussota pour signaler sa présence.
HPfrb1ch06-0013	tapis            	Les tapis volants sont en panne ?
HPfrb1ch06-0014	conscience       	– Je ne sais pas, dit Harry en prenant conscience pour la première fois de son ignorance à ce sujet.
HPfrb1ch06-0015	ignorance        	– Je ne sais pas, dit Harry en prenant conscience pour la première fois de son ignorance à ce sujet.
HPfrb1ch06-0016	décréter         	– Ils sont tous fous ! décréta l’oncle Vernon.
HPfrb1ch06-0017	hôpital          	Non, j’emmène Dudley à l’hôpital.
HPfrb1ch06-0018	enlever          	Il faut lui faire enlever cette maudite queue en tire-bouchon avant qu’il entre au collège.
HPfrb1ch06-0019	jean             	Le lendemain, Harry se réveilla dès cinq heures du matin et s’habilla d’un jean.
HPfrb1ch06-0020	exciter          	Il était trop excité pour se rendormir.
HPfrb1ch06-0021	rendormir        	Il était trop excité pour se rendormir.
HPfrb1ch06-0022	charger          	Deux heures plus tard, l’oncle Vernon chargea son énorme valise pleine de livres et de fournitures scolaires dans le coffre de la voiture et ils prirent la direction de Londres après que la tante Pétunia eut convaincu Dudley qu’il n’y avait aucun danger à s’asseoir à côté de Harry.
HPfrb1ch06-0023	valise           	Deux heures plus tard, l’oncle Vernon chargea son énorme valise pleine de livres et de fournitures scolaires dans le coffre de la voiture et ils prirent la direction de Londres après que la tante Pétunia eut convaincu Dudley qu’il n’y avait aucun danger à s’asseoir à côté de Harry.
HPfrb1ch06-0024	chariot          	L’oncle Vernon mit la grosse valise sur un chariot qu’il poussa lui-même, et accompagna Harry jusqu’à l’entrée des voies.
HPfrb1ch06-0025	gentil           	C’était étrangement gentil de sa part, jusqu’au moment où il s’arrêta face aux quais avec un sourire méchant.
HPfrb1ch06-0026	méchant          	C’était étrangement gentil de sa part, jusqu’au moment où il s’arrêta face aux quais avec un sourire méchant.
HPfrb1ch06-0027	construire       	J’imagine que la tienne doit se trouver quelque part entre les deux, mais j’ai bien peur qu’elle ne soit pas encore construite.
HPfrb1ch06-0028	voyageur         	La chouette enfermée dans sa cage intriguait les autres voyageurs et il sentait des regards se tourner vers lui.
HPfrb1ch06-0029	destination      	Il demanda à un employé où se trouvait le train à destination de Poudlard, mais l’homme n’avait jamais entendu ce nom.
HPfrb1ch06-0030	situer           	Harry étant incapable de lui dire dans quelle région l’endroit était situé, l’employé s’énerva, croyant qu’il se moquait de lui.
HPfrb1ch06-0031	céder            	Harry s’efforça de ne pas céder à la panique.
HPfrb1ch06-0032	horloge          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
HPfrb1ch06-0033	tableau          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
HPfrb1ch06-0034	arrivée          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
HPfrb1ch06-0035	soulever         	Il était seul au milieu de la gare, avec une valise qu’il pouvait à peine soulever, la poche pleine d’argent qui n’avait cours que chez les sorciers et une grande cage avec une chouette à l’intérieur.
HPfrb1ch06-0036	composteur       	Il se demandait s’il convenait de sortir sa baguette magique pour en tapoter le composteur situé entre les deux quais lorsqu’il entendit un groupe de voyageurs parler derrière lui.
HPfrb1ch06-0037	roux             	Une petite femme replète parlait à quatre garçons aux cheveux roux flamboyants.
HPfrb1ch06-0038	flamboyant       	Une petite femme replète parlait à quatre garçons aux cheveux roux flamboyants.
HPfrb1ch06-0039	fillette         	– 9 3/4, dit une fillette également rousse qui tenait la main de la petite femme replète.
HPfrb1ch06-0040	aîné             	Celui qui semblait être l’aîné des quatre garçons se dirigea vers les voies 9 et 10.
