HPfrb1ch07-0001	contrarier      	Elle avait le visage sévère des gens qu’il vaut mieux éviter de contrarier, pensa aussitôt Harry.
HPfrb1ch07-0002	merci           	– Merci, Hagrid, dit la sorcière, je m’en occupe.
HPfrb1ch07-0003	enflammer       	Des torches enflammées étaient fixées aux murs de pierre, comme à Gringotts, et face à eux, un somptueux escalier de marbre permettait de monter dans les étages.
HPfrb1ch07-0004	somptueux       	Des torches enflammées étaient fixées aux murs de pierre, comme à Gringotts, et face à eux, un somptueux escalier de marbre permettait de monter dans les étages.
HPfrb1ch07-0005	daller          	Guidés par le professeur McGonagall, ils traversèrent l’immense salle au sol dallé et entrèrent dans une petite salle réservée aux élèves de première année.
HPfrb1ch07-0006	exiguïté        	L’exiguïté des lieux les obligea à se serrer les uns contre les autres et ils restèrent debout en silence, lançant autour d’eux des regards un peu inquiets.
HPfrb1ch07-0007	début           	Le banquet de début d’année va bientôt commencer mais avant que vous preniez place dans la Grande Salle, vous allez être répartis dans les différentes maisons.
HPfrb1ch07-0008	répartition     	Cette répartition constitue une cérémonie très importante.
HPfrb1ch07-0009	cérémonie       	Cette répartition constitue une cérémonie très importante.
HPfrb1ch07-0010	séjour          	Vous devez savoir, en effet, que tout au long de votre séjour à l’école, votre maison sera pour vous comme une seconde famille.
HPfrb1ch07-0011	dortoir         	Vous y suivrez les mêmes cours, vous y dormirez dans le même dortoir et vous passerez votre temps libre dans la même salle commune.
HPfrb1ch07-0012	former          	Chaque maison a sa propre histoire, sa propre noblesse, et chacune d’elles a formé au cours des ans des sorciers et des sorcières de premier plan.
HPfrb1ch07-0013	rapporter       	Pendant votre année à Poudlard, chaque fois que vous obtiendrez de bons résultats, vous rapporterez des points à votre maison, mais chaque fois que vous enfreindrez les règles communes, votre maison perdra des points.
HPfrb1ch07-0014	enfreindre      	Pendant votre année à Poudlard, chaque fois que vous obtiendrez de bons résultats, vous rapporterez des points à votre maison, mais chaque fois que vous enfreindrez les règles communes, votre maison perdra des points.
HPfrb1ch07-0015	quatre          	À la fin de l’année scolaire, la maison qui aura obtenu le plus de points gagnera la coupe des Quatre Maisons, ce qui constitue un très grand honneur.
HPfrb1ch07-0016	conseiller      	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
HPfrb1ch07-0017	soigner         	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
HPfrb1ch07-0018	tenue           	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
HPfrb1ch07-0019	attarder        	Le regard du professeur s’attarda sur Neville dont la cape était attachée de travers et sur Ron qui avait toujours une tache sur le nez.
HPfrb1ch07-0020	fébrile         	D’un geste fébrile, Harry essaya d’aplatir ses cheveux.
HPfrb1ch07-0021	test            	– J’imagine qu’ils vont nous faire passer des tests.
HPfrb1ch07-0022	appréhension    	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfrb1ch07-0023	carnet          	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfrb1ch07-0024	mystérieusement 	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfrb1ch07-0025	soupçonner      	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfrb1ch07-0026	destin          	À tout moment, maintenant, le professeur McGonagall allait entrer et l’emmener vers son destin fatal.
HPfrb1ch07-0027	fatal           	À tout moment, maintenant, le professeur McGonagall allait entrer et l’emmener vers son destin fatal.
HPfrb1ch07-0028	fantôme         	Une vingtaine de fantômes venaient d’apparaître en traversant le mur du fond.
HPfrb1ch07-0029	nacré           	D’un blanc nacré, légèrement transparents, ils flottaient à travers la salle sans accorder un regard aux élèves rassemblés.
HPfrb1ch07-0030	transparent     	D’un blanc nacré, légèrement transparents, ils flottaient à travers la salle sans accorder un regard aux élèves rassemblés.
HPfrb1ch07-0031	disputer        	Ils paraissaient se disputer.
HPfrb1ch07-0032	moine           	L’un d’eux, qui ressemblait à un petit moine gras, lança : – Oublions et pardonnons.
HPfrb1ch07-0033	oublier         	L’un d’eux, qui ressemblait à un petit moine gras, lança : – Oublions et pardonnons.
HPfrb1ch07-0034	pardonner       	L’un d’eux, qui ressemblait à un petit moine gras, lança : – Oublions et pardonnons.
HPfrb1ch07-0035	mériter         	– Mon cher Frère, n’avons-nous pas donné à Peeves toutes les chances qu’il méritait ?
HPfrb1ch07-0036	spectre         	– Mon cher Frère, n’avons-nous pas donné à Peeves toutes les chances qu’il méritait ? répondit un autre spectre, vêtu de hauts-de-chausse et le cou entouré d’une fraise.
HPfrb1ch07-0037	aller           	– Allons-y, maintenant, dit une voix brusque.
HPfrb1ch07-0038	brusque         	– Allons-y, maintenant, dit une voix brusque.
HPfrb1ch07-0039	rang            	– Mettez-vous en rang et suivez-moi, dit le professeur aux élèves.
HPfrb1ch07-0040	double          	Il se glissa entre Ron et un garçon aux cheveux blonds et la file des élèves quitta la salle, traversa à nouveau le hall, puis franchit une double porte qui ouvrait sur la Grande Salle.
HPfrb1ch07-0041	chandelle       	Des milliers de chandelles suspendues dans les airs éclairaient quatre longues tables autour desquelles les autres étudiants étaient déjà assis, devant des assiettes et des gobelets d’or étincelants.
HPfrb1ch07-0042	gobelet         	Des milliers de chandelles suspendues dans les airs éclairaient quatre longues tables autour desquelles les autres étudiants étaient déjà assis, devant des assiettes et des gobelets d’or étincelants.
HPfrb1ch07-0043	clarté          	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
HPfrb1ch07-0044	incertain       	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
HPfrb1ch07-0045	lanterne        	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
HPfrb1ch07-0046	disperser       	Dispersés parmi les étudiants, les fantômes brillaient comme des panaches de brume argentée.
HPfrb1ch07-0047	gêné            	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
HPfrb1ch07-0048	velours         	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
