contrarier      	Elle avait le visage sévère des gens qu’il vaut mieux éviter de contrarier, pensa aussitôt Harry.
enflammer       	Des torches enflammées étaient fixées aux murs de pierre, comme à Gringotts, et face à eux, un somptueux escalier de marbre permettait de monter dans les étages.
somptueux       	Des torches enflammées étaient fixées aux murs de pierre, comme à Gringotts, et face à eux, un somptueux escalier de marbre permettait de monter dans les étages.
daller          	Guidés par le professeur McGonagall, ils traversèrent l’immense salle au sol dallé et entrèrent dans une petite salle réservée aux élèves de première année.
exiguïté        	L’exiguïté des lieux les obligea à se serrer les uns contre les autres et ils restèrent debout en silence, lançant autour d’eux des regards un peu inquiets.
début           	Le banquet de début d’année va bientôt commencer mais avant que vous preniez place dans la Grande Salle, vous allez être répartis dans les différentes maisons.
répartition     	Cette répartition constitue une cérémonie très importante.
cérémonie       	Cette répartition constitue une cérémonie très importante.
séjour          	Vous devez savoir, en effet, que tout au long de votre séjour à l’école, votre maison sera pour vous comme une seconde famille.
dortoir         	Vous y suivrez les mêmes cours, vous y dormirez dans le même dortoir et vous passerez votre temps libre dans la même salle commune.
former          	Chaque maison a sa propre histoire, sa propre noblesse, et chacune d’elles a formé au cours des ans des sorciers et des sorcières de premier plan.
rapporter       	Pendant votre année à Poudlard, chaque fois que vous obtiendrez de bons résultats, vous rapporterez des points à votre maison, mais chaque fois que vous enfreindrez les règles communes, votre maison perdra des points.
enfreindre      	Pendant votre année à Poudlard, chaque fois que vous obtiendrez de bons résultats, vous rapporterez des points à votre maison, mais chaque fois que vous enfreindrez les règles communes, votre maison perdra des points.
conseiller      	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
soigner         	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
tenue           	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
attarder        	Le regard du professeur s’attarda sur Neville dont la cape était attachée de travers et sur Ron qui avait toujours une tache sur le nez.
