HPfrb1ch12-0001	miroir            	LE MIROIR DU RISÉD
HPfrb1ch12-0002	geler             	Le lac avait gelé et les jumeaux Weasley reçurent une punition pour avoir fabriqué des boules de neige magiques qui suivaient Quirrell partout où il allait en visant son turban.
HPfrb1ch12-0003	frigorifier       	Hagrid s’occupait de soigner les quelques hiboux qui arrivaient à traverser l’air glacé pour apporter le courrier, frigorifiés.
HPfrb1ch12-0004	chauffer          	Des feux chauffaient la Grande Salle et la salle commune de Gryffondor mais les couloirs étaient parcourus de courants d’air glacés et un vent polaire faisait trembler les fenêtres des salles de classe.
HPfrb1ch12-0005	malheureux        	– Je plains beaucoup les malheureux qui devront rester à Poudlard pendant les vacances parce que personne n’en veut à la maison, lança un jour Malefoy pendant un cours de potions.
HPfrb1ch12-0006	pouffer           	Crabbe et Goyle pouffèrent de rire, mais Harry n’y prêta aucune attention.
HPfrb1ch12-0007	défaite           	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
HPfrb1ch12-0008	rieur             	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
HPfrb1ch12-0009	remplacer         	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
HPfrb1ch12-0010	virtuosité        	Mais il s’était très vite rendu compte que sa plaisanterie n’amusait personne car tout le monde avait été impressionné par la virtuosité avec laquelle Harry avait réussi à s’accrocher à son balai.
HPfrb1ch12-0011	jaloux            	Jaloux et furieux, Malefoy se consolait en saisissant toutes les occasions de rappeler que Harry n’avait pas de famille digne de ce nom.
HPfrb1ch12-0012	sapin             	Lorsqu’ils sortirent du cours de potions, un énorme sapin avançait dans le couloir en haletant, soufflant, ahanant.
HPfrb1ch12-0013	trahir            	Les deux pieds immenses qu’on voyait dépasser trahissaient la présence de Hagrid derrière le sapin.
HPfrb1ch12-0014	branchage         	– Vous avez besoin d’aide ? demanda Ron en passant la tête parmi les branchages.
HPfrb1ch12-0015	viser             	Tu vises la place de garde-chasse quand tu sortiras de Poudlard ?
HPfrb1ch12-0016	palace            	C’est vrai que pour quelqu’un de ta famille, la cabane de Hagrid doit avoir l’air d’un palace.
HPfrb1ch12-0017	provoquer         	– Il a été provoqué, professeur, dit Hagrid en montrant sa grosse tête hirsute derrière le sapin.
HPfrb1ch12-0018	insulter          	Malefoy a insulté sa famille.
HPfrb1ch12-0019	doucereux         	– C’est possible, Hagrid, mais il est interdit de se battre, à Poudlard, répliqua Rogue d’un ton doucereux.
