HPfrb1ch16-0001	trappe          	SOUS LA TRAPPE
HPfrb1ch16-0002	hantise         	Longtemps encore, Harry se demanderait comment il avait pu faire pour passer ses examens tout en ayant sans cesse la hantise de voir Voldemort surgir dans la salle de classe.
HPfrb1ch16-0003	utilisateur     	Les élèves avaient reçu des plumes neuves auxquelles on avait jeté un sort qui empêchait leurs utilisateurs de tricher.
HPfrb1ch16-0004	tricher         	Les élèves avaient reçu des plumes neuves auxquelles on avait jeté un sort qui empêchait leurs utilisateurs de tricher.
HPfrb1ch16-0005	pratique        	Il y eut aussi un examen pratique.
HPfrb1ch16-0006	ananas          	Le professeur Flitwick les appela un par un dans sa classe pour voir s’ils arrivaient à faire danser un ananas sur une table.
HPfrb1ch16-0007	tabatière       	Le professeur McGonagall les regarda transformer une souris en tabatière
HPfrb1ch16-0008	paniquer        	Ils étaient tous paniqués devant Rogue qui les surveillait de près pendant qu’ils essayaient de fabriquer une potion d’Amnésie.
HPfrb1ch16-0009	amnésie         	Ils étaient tous paniqués devant Rogue qui les surveillait de près pendant qu’ils essayaient de fabriquer une potion d’Amnésie.
HPfrb1ch16-0010	transpercer     	Harry fit de son mieux pour ne pas prêter attention aux douleurs qui, par instants, lui transperçaient le front depuis son aventure dans la forêt.
HPfrb1ch16-0011	anxieux         	Neville pensait qu’il était anxieux à cause de ses examens, car il n’arrivait presque plus à dormir.
HPfrb1ch16-0012	dégouliner      	Son vieux cauchemar le réveillait sans cesse, plus effrayant que jamais : aux images habituelles s’ajoutait celle d’une silhouette encapuchonnée, dégoulinante de sang de licorne.
HPfrb1ch16-0013	souci           	Ron et Hermione n’avaient pas tous ces soucis ; c’est sans doute pourquoi ils paraissaient moins préoccupés que Harry par le sort de la Pierre.
HPfrb1ch16-0014	absorber        	La pensée de Voldemort leur faisait peur, mais il n’était pas présent dans leurs rêves et ils étaient si absorbés par leurs révisions qu’ils n’avaient guère le temps de s’inquiéter des manigances de Rogue ou de quiconque d’autre.
HPfrb1ch16-0015	manigance       	La pensée de Voldemort leur faisait peur, mais il n’était pas présent dans leurs rêves et ils étaient si absorbés par leurs révisions qu’ils n’avaient guère le temps de s’inquiéter des manigances de Rogue ou de quiconque d’autre.
HPfrb1ch16-0016	inventeur       	Ils durent passer une heure à répondre à des questions concernant de vieux sorciers un peu fous, inventeurs de chaudrons dont le contenu tournait tout seul puis ils furent enfin libres pendant toute une semaine jusqu’aux résultats des examens.
HPfrb1ch16-0017	penser          	– C’était beaucoup plus facile que je ne le pensais, dit Hermione tandis qu’ils rejoignaient les autres dans le parc ensoleillé.
HPfrb1ch16-0018	code            	Je n’aurais même pas eu besoin d’apprendre le Code de conduite des loups-garous de 1637, ni l’ascension d’Elfric l’Insatiable.
HPfrb1ch16-0019	ascension       	Je n’aurais même pas eu besoin d’apprendre le Code de conduite des loups-garous de 1637, ni l’ascension d’Elfric l’Insatiable.
HPfrb1ch16-0020	insatiable      	Je n’aurais même pas eu besoin d’apprendre le Code de conduite des loups-garous de 1637, ni l’ascension d’Elfric l’Insatiable.
HPfrb1ch16-0021	tentacule       	Les jumeaux Weasley chatouillaient les tentacules d’un calmar géant qui se réchauffait entre deux eaux.
HPfrb1ch16-0022	calmar          	Les jumeaux Weasley chatouillaient les tentacules d’un calmar géant qui se réchauffait entre deux eaux.
HPfrb1ch16-0023	finir           	– Fini les révisions, soupira Ron avec bonheur en s’étirant dans l’herbe.
HPfrb1ch16-0024	étirer          	– Fini les révisions, soupira Ron avec bonheur en s’étirant dans l’herbe.
HPfrb1ch16-0025	tranquillité    	Tu pourrais être plus joyeux, Harry, on a une semaine de tranquillité avant de savoir tout ce qu’on a fait de travers.
HPfrb1ch16-0026	avertissement   	Je crois plutôt que c’est un avertissement.
HPfrb1ch16-0027	détendre        	– Détends-toi, conseilla Ron. Hermione a raison.
HPfrb1ch16-0028	parage          	Il n’y a rien à craindre pour la Pierre tant que Dumbledore est dans les parages.
HPfrb1ch16-0029	malaise         	Mais Harry était convaincu que son sentiment de malaise n’avait rien à voir avec le travail.
HPfrb1ch16-0030	raconter        	– Qu’est-ce que tu racontes ? dit Ron.
HPfrb1ch16-0031	écosser         	Il avait relevé ses manches et ses bas de pantalon et s’occupait à écosser des petits pois dans un grand bol.
HPfrb1ch16-0032	bol             	Il avait relevé ses manches et ses bas de pantalon et s’occupait à écosser des petits pois dans un grand bol.
HPfrb1ch16-0033	stupéfait       	En voyant l’air stupéfait des trois autres, il leva les sourcils.
HPfrb1ch16-0034	sanglier        	Il y a des tas de gens un peu bizarres à la Tête de Sanglier.
HPfrb1ch16-0035	marchand        	Peut-être que c’était un marchand de dragons ?
HPfrb1ch16-0036	courageusement  	– On veut voir le professeur Dumbledore, dit courageusement Hermione.
HPfrb1ch16-0037	saugrenu        	– Voir le professeur Dumbledore ? répéta le professeur McGonagall, comme si elle trouvait l’idée particulièrement saugrenue.
HPfrb1ch16-0038	habile          	Sa réponse n’était pas très habile, pensa-t-il en voyant le professeur McGonagall froncer le nez.
HPfrb1ch16-0039	urgent          	Il a reçu un hibou urgent du ministère de la Magie et il s’est immédiatement envolé pour Londres.
HPfrb1ch16-0040	magie           	– Vous avez quelque chose de plus important à lui dire que le ministre de la Magie, Potter ?
HPfrb1ch16-0041	méfiant         	Elle parut à la fois stupéfaite et méfiante.
HPfrb1ch16-0042	veiller         	Si vous recommencez à vous promener la nuit dans les couloirs, je veillerai personnellement à ce que vous soyez renvoyé du collège.
HPfrb1ch16-0043	personnellement 	Si vous recommencez à vous promener la nuit dans les couloirs, je veillerai personnellement à ce que vous soyez renvoyé du collège.
HPfrb1ch16-0044	terriblement    	Oh, professeur, ajouta-t-il en prenant une voix haut perchée, je suis terriblement inquiète, j’ai peur d’avoir mal répondu à la question 14 b…
HPfrb1ch16-0045	surveillance    	Elle accepta cependant d’assurer la surveillance de Rogue.
HPfrb1ch16-0046	flamboyer       	Il était pâle et ses yeux flamboyaient.
HPfrb1ch16-0047	cahier          	Hermione parcourait ses cahiers de cours, espérant y dénicher le moyen de neutraliser les sortilèges qu’ils devraient affronter.
HPfrb1ch16-0048	évader          	Neville apparut derrière un fauteuil en tenant contre lui son crapaud qui s’était à nouveau évadé.
HPfrb1ch16-0049	balader         	– Vous allez encore vous balader ?
HPfrb1ch16-0050	meuble          	Et il lâcha son crapaud qui disparut sous un meuble.
HPfrb1ch16-0051	falloir         	– Désolée, Neville, dit-elle, mais il le faut.
HPfrb1ch16-0052	rigide          	Aussitôt, les bras de Neville se collèrent le long de ses flancs, ses jambes se joignirent, son corps devint rigide, il vacilla un instant, puis tomba en avant et resta immobile à plat ventre, raide comme une planche.
HPfrb1ch16-0053	saucisson       	– C’est le maléfice du Saucisson, dit Hermione d’une voix navrée.
HPfrb1ch16-0054	ligoter         	C’est comme s’il était ligoté et bâillonné.
HPfrb1ch16-0055	bâillonner      	C’est comme s’il était ligoté et bâillonné.
HPfrb1ch16-0056	présage         	Être obligés de laisser Neville dans cet état ne leur semblait pas un très bon présage.
HPfrb1ch16-0057	teigne          	Parvenus devant le premier escalier, ils aperçurent Miss Teigne tapie en haut des marches.
HPfrb1ch16-0058	tapir           	Parvenus devant le premier escalier, ils aperçurent Miss Teigne tapie en haut des marches.
