HPfrb1ch17-0001	deux           	L’HOMME AUX DEUX VISAGES
HPfrb1ch17-0002	tranquillement 	Oui, c’est moi, dit-il tranquillement.
HPfrb1ch17-0003	coupable       	Oui, Severus faisait un bon coupable, n’est-ce pas ?
HPfrb1ch17-0004	visuel         	À cause d’elle, j’ai perdu le contact visuel avec vous.
HPfrb1ch17-0005	ligoter        	Aussitôt, des cordes surgirent de nulle part et ligotèrent solidement Harry.
HPfrb1ch17-0006	manigancer     	On peut faire confiance à Dumbledore pour manigancer ce genre de choses…
HPfrb1ch17-0007	désinvolte     	– Oh mais, bien sûr, il vous déteste, répondit Quirrell d’un ton désinvolte.
HPfrb1ch17-0008	mépriser       	Ils se méprisaient cordialement.
HPfrb1ch17-0009	cordialement   	Ils se méprisaient cordialement.
HPfrb1ch17-0010	convulser      	Pour la première fois, pendant une fraction de seconde, les traits de Quirrell se convulsèrent dans une expression de peur.
HPfrb1ch17-0011	instruction    	– Parfois, dit-il, j’ai du mal à suivre les instructions de mon maître.
HPfrb1ch17-0012	fidèlement     	Depuis ce temps-là, je l’ai servi fidèlement, bien que je l’aie laissé tomber à plusieurs reprises.
HPfrb1ch17-0013	sévir          	Il a dû sévir, avec moi.
HPfrb1ch17-0014	conséquent     	Par conséquent, s’il se regardait dans le miroir, il se verrait en train de la trouver, il verrait donc du même coup l’endroit où elle était cachée !
HPfrb1ch17-0015	remarquer      	Il essaya de se glisser discrètement vers la gauche pour se mettre face au miroir sans que Quirrell le remarque, mais les cordes étaient trop serrées autour de ses chevilles.
HPfrb1ch17-0016	servir         	– Sers-toi du garçon…
HPfrb1ch17-0017	mentir         	Il faut que je lui mente, pensa-t-il.
HPfrb1ch17-0018	exprimer       	Mais il avait à peine fait quelques pas qu’une voix aiguë s’exprima alors que Quirrell n’avait pas ouvert la bouche.
HPfrb1ch17-0019	mentir         	Il ment…
HPfrb1ch17-0020	pétrifier      	Pétrifié, il regarda Quirrell lever les bras et commencer à défaire son turban.
HPfrb1ch17-0021	terrifiant     	Derrière la tête de Quirrell, au lieu de son crâne, il y avait un visage, le visage le plus terrifiant que Harry eût jamais vu.
HPfrb1ch17-0022	fente          	Il était d’une blancheur de craie avec des yeux rouges flamboyants et des fentes en guise de narines, comme sur la tête d’un serpent.
HPfrb1ch17-0023	vapeur         	Ombre et vapeur…
HPfrb1ch17-0024	abreuver       	Dans la forêt, tu as vu le fidèle Quirrell s’en abreuver pour moi…
HPfrb1ch17-0025	recréer        	Et lorsque j’aurai l’élixir de longue vie, je pourrai recréer un corps qui sera bien à moi…
HPfrb1ch17-0026	menteur        	– MENTEUR !
HPfrb1ch17-0027	émouvant       	– Comme c’est émouvant… siffla-t-il.
HPfrb1ch17-0028	apprécier      	J’apprécie toujours le courage…
HPfrb1ch17-0029	bravoure       	J’ai d’abord tué ton père et il m’a résisté avec une grande bravoure…
HPfrb1ch17-0030	jamais         	– JAMAIS !
HPfrb1ch17-0031	lâcher         	Il se mit à hurler en se débattant de toutes ses forces et à sa grande surprise, Quirrell le lâcha.
HPfrb1ch17-0032	ampoule        	Quirrell, en revanche, était plié en deux par la douleur, le regard fixé sur ses doigts qui se couvraient d’ampoules à vue d’œil, comme brûlés par une flamme.
HPfrb1ch17-0033	attrape        	ATTRAPE-LE !
HPfrb1ch17-0034	immobiliser    	Il le fit tomber à terre et l’immobilisa en l’écrasant sous lui, les deux mains serrées autour de son cou.
HPfrb1ch17-0035	incrédule      	Tout en maintenant Harry par terre avec ses genoux, Quirrell lâcha son cou et contempla d’un air incrédule les paumes de ses mains.
HPfrb1ch17-0036	chair          	Harry voyait qu’elles étaient complètement brûlées, écarlates, la chair à vif.
HPfrb1ch17-0037	instinctif     	Quirrell leva le bras pour lancer un maléfice mortel, mais Harry, d’un geste instinctif, plaqua les mains contre le visage de son ennemi.
HPfrb1ch17-0038	glapissement   	Il ne voyait plus rien, il entendait seulement les horribles cris de Quirrell ainsi que les glapissements de Voldemort qui répétait :
HPfrb1ch17-0039	calme          	– Calme-toi, mon garçon, tu es un peu en retard, dit Dumbledore.
HPfrb1ch17-0040	lin            	Il était couché dans un lit avec des draps de lin blanc et juste à côté, il y avait une table couverte d’une quantité de friandises suffisante pour ouvrir un magasin.
HPfrb1ch17-0041	admirateur     	– Quelques cadeaux de la part de tes amis et admirateurs, dit Dumbledore, rayonnant.
HPfrb1ch17-0042	hygiénique     	Mais Madame Pomfresh a trouvé que ce ne serait peut-être pas très hygiénique et elle l’a confisqué.
HPfrb1ch17-0043	confisquer     	Mais Madame Pomfresh a trouvé que ce ne serait peut-être pas très hygiénique et elle l’a confisqué.
HPfrb1ch17-0044	grandement     	Mr Ronald Weasley et Miss Granger vont être grandement soulagés de voir que tu es revenu à toi.
HPfrb1ch17-0045	distraire      	– Je vois qu’il est inutile d’essayer de te distraire.
HPfrb1ch17-0046	admirablement  	Je suis arrivé à temps pour l’en empêcher, bien que tu te sois admirablement débrouillé tout seul, je le reconnais.
