tranquillement 	Oui, c’est moi, dit-il tranquillement.
coupable       	Oui, Severus faisait un bon coupable, n’est-ce pas ?
visuel         	À cause d’elle, j’ai perdu le contact visuel avec vous.
manigancer     	On peut faire confiance à Dumbledore pour manigancer ce genre de choses…
désinvolte     	– Oh mais, bien sûr, il vous déteste, répondit Quirrell d’un ton désinvolte.
mépriser       	Ils se méprisaient cordialement.
cordialement   	Ils se méprisaient cordialement.
convulser      	Pour la première fois, pendant une fraction de seconde, les traits de Quirrell se convulsèrent dans une expression de peur.
instruction    	– Parfois, dit-il, j’ai du mal à suivre les instructions de mon maître.
fidèlement     	Depuis ce temps-là, je l’ai servi fidèlement, bien que je l’aie laissé tomber à plusieurs reprises.
sévir          	Il a dû sévir, avec moi.
conséquent     	Par conséquent, s’il se regardait dans le miroir, il se verrait en train de la trouver, il verrait donc du même coup l’endroit où elle était cachée !
exprimer       	Mais il avait à peine fait quelques pas qu’une voix aiguë s’exprima alors que Quirrell n’avait pas ouvert la bouche.
terrifiant     	Derrière la tête de Quirrell, au lieu de son crâne, il y avait un visage, le visage le plus terrifiant que Harry eût jamais vu.
fente          	Il était d’une blancheur de craie avec des yeux rouges flamboyants et des fentes en guise de narines, comme sur la tête d’un serpent.
vapeur         	Ombre et vapeur…
abreuver       	Dans la forêt, tu as vu le fidèle Quirrell s’en abreuver pour moi…
recréer        	Et lorsque j’aurai l’élixir de longue vie, je pourrai recréer un corps qui sera bien à moi…
menteur        	– MENTEUR !
émouvant       	– Comme c’est émouvant… siffla-t-il.
apprécier      	J’apprécie toujours le courage…
bravoure       	J’ai d’abord tué ton père et il m’a résisté avec une grande bravoure…
ampoule        	Quirrell, en revanche, était plié en deux par la douleur, le regard fixé sur ses doigts qui se couvraient d’ampoules à vue d’œil, comme brûlés par une flamme.
attrape        	ATTRAPE-LE !
incrédule      	Tout en maintenant Harry par terre avec ses genoux, Quirrell lâcha son cou et contempla d’un air incrédule les paumes de ses mains.
chair          	Harry voyait qu’elles étaient complètement brûlées, écarlates, la chair à vif.
instinctif     	Quirrell leva le bras pour lancer un maléfice mortel, mais Harry, d’un geste instinctif, plaqua les mains contre le visage de son ennemi.
glapissement   	Il ne voyait plus rien, il entendait seulement les horribles cris de Quirrell ainsi que les glapissements de Voldemort qui répétait :
lin            	Il était couché dans un lit avec des draps de lin blanc et juste à côté, il y avait une table couverte d’une quantité de friandises suffisante pour ouvrir un magasin.
admirateur     	– Quelques cadeaux de la part de tes amis et admirateurs, dit Dumbledore, rayonnant.
hygiénique     	Mais Madame Pomfresh a trouvé que ce ne serait peut-être pas très hygiénique et elle l’a confisqué.
confisquer     	Mais Madame Pomfresh a trouvé que ce ne serait peut-être pas très hygiénique et elle l’a confisqué.
grandement     	Mr Ronald Weasley et Miss Granger vont être grandement soulagés de voir que tu es revenu à toi.
distraire      	– Je vois qu’il est inutile d’essayer de te distraire.
admirablement  	Je suis arrivé à temps pour l’en empêcher, bien que tu te sois admirablement débrouillé tout seul, je le reconnais.
équilibré      	Après tout, pour un esprit équilibré, la mort n’est qu’une grande aventure de plus.
accroître      	La peur d’un nom ne fait qu’accroître la peur de la chose elle-même.
amour          	S’il y a une chose que Voldemort est incapable de comprendre, c’est l’amour.
haine          	Quirrell était plein de haine, de cupidité, d’ambition, il partageait son âme avec Voldemort et c’est pour cela qu’il ne supportait pas de te toucher.
ambition       	Quirrell était plein de haine, de cupidité, d’ambition, il partageait son âme avec Voldemort et c’est pour cela qu’il ne supportait pas de te toucher.
âme            	Quirrell était plein de haine, de cupidité, d’ambition, il partageait son âme avec Voldemort et c’est pour cela qu’il ne supportait pas de te toucher.
susciter       	Toucher quelqu’un qui a été marqué par quelque chose d’aussi beau ne pouvait susciter en lui que de la souffrance.
possession     	Il se trouve que ton père l’avait laissée en ma possession et j’ai pensé que tu aimerais peut-être l’avoir.
rêveur         	Oui, dit Dumbledore d’un air rêveur.
réagir         	C’est curieux comme les gens réagissent, n’est-ce pas ?
dette          	Le professeur Rogue ne supportait pas d’avoir une dette envers ton père…
intelligence   	Mon intelligence me surprend moi
priver         	Depuis, j’ai peur d’en manger, mais toi, ne t’en prive surtout pas !
caramel        	Enfin, je pense que je ne risque rien avec un caramel.
circonstance   	C’était une de ces rares circonstances où la vérité paraît encore plus étrange et plus passionnante que les rumeurs.
omettre        	Harry leur fit un récit détaillé, sans rien omettre : Quirrell, le miroir, la Pierre, Voldemort.
public         	Ron et Hermione, bon public, l’écoutaient en étouffant des exclamations aux bons moments.
ranimer        	J’ai ranimé Ron – il m’a fallu un bout de temps – et on s’est précipités vers la volière pour envoyer un mot à Dumbledore.
projet         	Il doit savoir à peu près tout ce qui se passe à l’école et je pense qu’il devait se douter de notre projet, mais au lieu d’essayer de nous arrêter, il a cherché à nous aider.
dingue         	– Décidément, Dumbledore est vraiment dingue, dit Ron avec fierté.
quart          	Ça fait presque un quart d’heure, maintenant.
réplique       	DEHORS ! dit-elle d’un ton sans réplique.
pincé          	– Le professeur Dumbledore a dit que tu avais le droit d’y assister, dit-elle d’un ton pincé, comme si elle était persuadée que Dumbledore ignorait les risques que peut présenter un festin.
rapport        	Comme d’habitude, il paraissait trop grand par rapport à la pièce.
chevet         	Il s’assit au chevet de Harry et fondit en larmes.
congé          	– Mais non, sourit Hagrid, Dumbledore m’a accordé un jour de congé hier pour le préparer.
reliure        	Il lui donna un beau livre à la reliure de cuir.
consécutif     	Elle était décorée aux couleurs vert et argent des Serpentard pour célébrer leur septième victoire consécutive.
importuner     	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
bavardage      	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
vieillard      	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
décerner       	Le moment est maintenant venu de décerner la coupe des Quatre Maisons.
décompte       	Le décompte des points nous donne le résultat suivant : en quatrième place, Gryffondor avec trois cent douze points.
trépignement   	Un tonnerre d’applaudissements, d’acclamations et de trépignements explosa à la table des Serpentard.
radis          	Il avait soudain l’air d’un radis qui aurait pris un coup de soleil.
addition       	Ceux qui étaient en état de faire des additions tout en s’égosillant savaient que Gryffondor avait à présent quatre cent soixante-douze points – exactement le même nombre que Serpentard.
ex aequo       	Ils étaient ex aequo.
extérieur      	Quelqu’un qui se serait trouvé à l’extérieur de la Grande Salle aurait pu penser qu’une terrible explosion venait de se produire, tant le vacarme qui s’éleva de la table des Gryffondor était assourdissant.
explosion      	Quelqu’un qui se serait trouvé à l’extérieur de la Grande Salle aurait pu penser qu’une terrible explosion venait de se produire, tant le vacarme qui s’éleva de la table des Gryffondor était assourdissant.
embrassade     	Harry, Ron et Hermione se levèrent pour acclamer Neville qui avait le teint livide et disparut bientôt sous les embrassades.
altier         	Il frappa dans ses mains et en un instant, le vert et argent se transforma en rouge et or, et le grand serpent disparut, remplacé par le lion altier des Gryffondor.
égard          	Harry croisa son regard et il sut aussitôt que les sentiments de Rogue à son égard n’avaient pas changé.
contrariété    	Mais il n’en éprouvait aucune contrariété.
catastrophique 	Hermione, bien entendu, avait été la meilleure et même Neville avait réussi à passer de justesse : sa bonne note en botanique rattrapait celle, catastrophique, qu’il avait obtenue en potions.
armoire        	Bientôt, leurs armoires se vidèrent, leur valises furent fin prêtes et le crapaud de Neville s’égara dans un coin des toilettes.
tristement     	On distribua aux élèves des avis qui les prévenaient que l’usage de la magie était interdit pendant les vacances (« Chaque année j’espère qu’ils vont oublier de nous les donner », dit tristement Fred).
verdoyant      	Tout le monde parlait et riait tandis que le paysage devenait de plus en plus verdoyant et soigné.
blouson        	On mangeait des Dragées surprises de Bertie Crochue et on enlevait les robes de sorcier pour remettre vestes et blousons.
rider          	Un vieux gardien ridé les faisait passer par groupes de deux ou trois pour qu’ils n’attirent pas l’attention en surgissant soudain au milieu de la barrière.
affoler        	Inutile d’affoler les Moldus.
fuser          	Harry entendait fuser autour de lui des « Au revoir, Harry, à bientôt, Potter ! »
malpoli        	– Tais-toi un peu Ginny, et ne montre pas du doigt, c’est malpoli.
moustachu      	C’était l’oncle Vernon, toujours moustachu, toujours écarlate, toujours furieux que Harry ait l’audace de se promener avec un hibou dans une cage au milieu d’une gare remplie de gens parfaitement normaux.
