HPfrb2ch02-0001	tennis       	 -souris, et des yeux verts globuleux de la taille d’une balle de tennis.
HPfrb2ch02-0002	taie         	 Harry remarqua qu’elle était vêtue d’une espèce de taie d’oreiller dans laquelle on avait découpé des trous pour laisser passer les bras et les jambes.
HPfrb2ch02-0003	endormi      	 merci, répondit Harry en longeant le mur vers la chaise de son bureau sur laquelle il se laissa tomber, à côté d’Hedwige endormie dans sa grande cage.
HPfrb2ch02-0004	impoli       	 », mais il eut peur d’être impoli et demanda plutôt :
HPfrb2ch02-0005	discourtois  	 Excusez-moi, je ne voudrais pas vous paraître discourtois, mais je ne crois pas que le moment soit bien choisi pour recevoir un elfe de maison dans ma chambre.
HPfrb2ch02-0006	gravité      	 – Eh bien voilà, Monsieur, répondit l’elfe avec gravité.
HPfrb2ch02-0007	inciter      	 Harry essaya de l’inciter au silence tout en s’efforçant de le réconforter et le fit asseoir sur le lit où il resta là à hoqueter.
HPfrb2ch02-0008	hoqueter     	 Harry essaya de l’inciter au silence tout en s’efforçant de le réconforter et le fit asseoir sur le lit où il resta là à hoqueter.
HPfrb2ch02-0009	poupée       	 Il avait l’air d’une grosse poupée repoussante de laideur.
HPfrb2ch02-0010	repoussant   	 Il avait l’air d’une grosse poupée repoussante de laideur.
HPfrb2ch02-0011	laideur      	 Il avait l’air d’une grosse poupée repoussante de laideur.
HPfrb2ch02-0012	adoration    	 Enfin, l’elfe parvint à se calmer et fixa Harry de ses grands yeux humides avec une expression d’adoration.
HPfrb2ch02-0013	égayer       	 – Les sorciers que vous fréquentez ne doivent pas être très aimables, plaisanta Harry en espérant l’égayer.
HPfrb2ch02-0014	barreau      	 Hedwige s’était réveillée en poussant un hululement particulièrement perçant et battait frénétiquement des ailes contre les barreaux de sa cage.
HPfrb2ch02-0015	loucher      	 – Il fallait que Dobby se punisse, Monsieur, dit l’elfe qui s’était mis à loucher légèrement.
HPfrb2ch02-0016	service      	 – Dobby est au service d’une famille de sorciers, Monsieur… Dobby est un elfe de maison qui doit servir à tout jamais la même maison et la même famille.
HPfrb2ch02-0017	sévèrement   	 Dobby va devoir se punir très sévèrement pour être venu vous voir, Monsieur.
HPfrb2ch02-0018	affranchir   	 – Pour retrouver sa liberté, un elfe de maison doit être affranchi par ses maîtres, Monsieur.
HPfrb2ch02-0019	gratitude    	 Harry regretta d’avoir parlé car à nouveau, Dobby se répandit en gémissements de gratitude.
HPfrb2ch02-0020	générosité   	 – S’il vous plaît, murmura précipitamment Harry, je vous en prie, taisez-vous, si jamais les Dursley entendent quelque chose, s’ils s’aperçoivent de votre présence… – Harry Potter demande s’il peut aider Dobby… Dobby avait entendu parler de votre grandeur, Monsieur, mais il ne savait rien de votre générosité…
HPfrb2ch02-0021	humble       	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
HPfrb2ch02-0022	modeste      	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
HPfrb2ch02-0023	révérencieux 	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
HPfrb2ch02-0024	exorbité     	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
HPfrb2ch02-0025	précipitation	 – Désolé, dit Harry avec précipitation.
HPfrb2ch02-0026	vaillant     	 Harry Potter est vaillant et audacieux !
HPfrb2ch02-0027	audacieux    	 Harry Potter est vaillant et audacieux !
HPfrb2ch02-0028	couteau      	 Il y eut un long silence seulement troublé par des bruits de couteaux et de fourchettes et le ronronnement de la voix de l’oncle Vernon qu’on entendait au rez-de-chaussée.
HPfrb2ch02-0029	fourchette   	 Il y eut un long silence seulement troublé par des bruits de couteaux et de fourchettes et le ronronnement de la voix de l’oncle Vernon qu’on entendait au rez-de-chaussée.
HPfrb2ch02-0030	ronronnement 	 Il y eut un long silence seulement troublé par des bruits de couteaux et de fourchettes et le ronronnement de la voix de l’oncle Vernon qu’on entendait au rez-de-chaussée.
HPfrb2ch02-0031	généreux     	 Il est trop grand, trop généreux, pour qu’on prenne le risque de le perdre.
HPfrb2ch02-0032	complot      	 – Il existe un complot, Harry Potter.
HPfrb2ch02-0033	péril        	 Harry Potter ne doit pas mettre sa vie en péril.
HPfrb2ch02-0034	rivaliser    	 Dobby a entendu dire que les pouvoirs de Dumbledore rivalisent avec ceux de Celui-Dont-On-Ne-Doit-Pas-Prononcer
HPfrb2ch02-0035	pressant     	 Pourtant, Monsieur… La voix de Dobby se transforma en un murmure pressant.
HPfrb2ch02-0036	garnement    	 Un instant plus tard, Harry, le cœur battant à tout rompre, entendit l’oncle Vernon se diriger vers le hall en lançant d’une voix forte : – Dudley a encore dû laisser sa télévision allumée, le garnement !
HPfrb2ch02-0037	penderie     	 Dans le placard ! murmura Harry en poussant Dobby dans la penderie qu’il referma sur lui.
HPfrb2ch02-0038	golfeur      	 Tu viens de gâcher la chute de ma blague sur le golfeur japonais…
HPfrb2ch02-0039	japonais     	 Tu viens de gâcher la chute de ma blague sur le golfeur japonais…
HPfrb2ch02-0040	délivrer     	 Tremblant de la tête aux pieds, Harry délivra Dobby de la penderie.
HPfrb2ch02-0041	sournois     	 dit Dobby d’un ton sournois.
HPfrb2ch02-0042	intercepter  	 – C’est vous qui avez intercepté mes lettres ?
HPfrb2ch02-0043	liasse       	 Il fit un rapide pas en arrière pour rester hors de portée de Harry et tira une épaisse liasse d’enveloppes de sa taie d’oreiller.
HPfrb2ch02-0044	désordonné   	 Harry reconnut l’écriture propre et nette d’Hermione et celle beaucoup plus désordonnée de Ron.
HPfrb2ch02-0045	gribouillis  	 Il aperçut même un gribouillis qui semblait être de la main de Hagrid, le garde-chasse de Poudlard.
HPfrb2ch02-0046	condition    	 – Harry Potter aura ses lettres, Monsieur, à condition qu’il donne sa parole à Dobby qu’il ne retournera pas à Poudlard.
HPfrb2ch02-0047	dévaler      	 Et avant que Harry ait pu faire un geste, Dobby se précipita sur la porte de la chambre, l’ouvrit et dévala l’escalier.
HPfrb2ch02-0048	moquette     	 Il sauta d’un bond les six dernières marches et atterrit sur la moquette du hall d’entrée avec la souplesse d’un chat, cherchant Dobby des yeux.
HPfrb2ch02-0049	souplesse    	 Il sauta d’un bond les six dernières marches et atterrit sur la moquette du hall d’entrée avec la souplesse d’un chat, cherchant Dobby des yeux.
HPfrb2ch02-0050	désopilant   	 – Racontez donc à Pétunia cette histoire désopilante sur les plombiers américains, Mr Mason.
HPfrb2ch02-0051	plombier     	 – Racontez donc à Pétunia cette histoire désopilante sur les plombiers américains, Mr Mason.
HPfrb2ch02-0052	américain    	 – Racontez donc à Pétunia cette histoire désopilante sur les plombiers américains, Mr Mason.
HPfrb2ch02-0053	pâtissier    	 Le chef-d’œuvre pâtissier de sa tante, la montagne de crème et de violettes en sucre, flottait dans l’air, près du plafond.
HPfrb2ch02-0054	buffet       	 Dans un coin, il vit Dobby accroupi sur le buffet.
HPfrb2ch02-0055	éclabousser  	 Le plat vola en éclats, éclaboussant les murs et les fenêtres de crème fouettée et de violettes.
HPfrb2ch02-0056	fouet        	 Dobby disparut alors avec un bruit sec, comme le claquement d’un fouet.
HPfrb2ch02-0057	minimiser    	 Tout d’abord, il sembla que l’oncle Vernon allait réussir à minimiser l’incident («
HPfrb2ch02-0058	incident     	 Tout d’abord, il sembla que l’oncle Vernon allait réussir à minimiser l’incident («
HPfrb2ch02-0059	perturber    	 Ce n’est rien, c’est notre neveu, il est un peu perturbé…
HPfrb2ch02-0060	écorcher     	 Il ramena les Mason stupéfaits dans la salle à manger, promit à Harry de l’écorcher vif dès que ses invités seraient partis et lui donna une serpillière.
HPfrb2ch02-0061	serpillière  	 Il ramena les Mason stupéfaits dans la salle à manger, promit à Harry de l’écorcher vif dès que ses invités seraient partis et lui donna une serpillière.
HPfrb2ch02-0062	congélateur  	 La tante Pétunia dénicha un peu de glace dans le congélateur et Harry, toujours sous le choc, entreprit de nettoyer la cuisine.
HPfrb2ch02-0063	conception   	 Mr Mason, lui, resta juste assez longtemps pour préciser aux Dursley que son épouse avait une peur bleue des oiseaux de toutes formes et de toutes tailles et leur demander si c’était là leur conception de l’humour.
HPfrb2ch02-0064	démoniaque   	 Dans la cuisine, Harry, appuyé sur le manche de son balai de peur que ses jambes ne le trahissent, vit l’oncle Vernon s’avancer vers lui, une lueur démoniaque dans ses yeux minuscules.
HPfrb2ch02-0065	lévitation   	 Cher Mr Potter, Nous avons été informés qu’un sortilège de lévitation a été utilisé dans votre lieu de résidence ce soir à neuf heures douze.
HPfrb2ch02-0066	résidence    	 Cher Mr Potter, Nous avons été informés qu’un sortilège de lévitation a été utilisé dans votre lieu de résidence ce soir à neuf heures douze.
HPfrb2ch02-0067	cycle        	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
HPfrb2ch02-0068	récidive     	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
HPfrb2ch02-0069	utilisation  	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
HPfrb2ch02-0070	expulsion    	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
HPfrb2ch02-0071	ledit        	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
HPfrb2ch02-0072	restriction  	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
HPfrb2ch02-0073	alinéa       	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
HPfrb2ch02-0074	susceptible  	 Nous vous rappelons également que toute pratique de sorcellerie susceptible d’être remarquée par des membres de la communauté non magique (Moldus) constitue un délit puni par l’article 13 du code du secret établi par la Confédération internationale des mages et sorciers.
HPfrb2ch02-0075	communauté   	 Nous vous rappelons également que toute pratique de sorcellerie susceptible d’être remarquée par des membres de la communauté non magique (Moldus) constitue un délit puni par l’article 13 du code du secret établi par la Confédération internationale des mages et sorciers.
HPfrb2ch02-0076	délit        	 Nous vous rappelons également que toute pratique de sorcellerie susceptible d’être remarquée par des membres de la communauté non magique (Moldus) constitue un délit puni par l’article 13 du code du secret établi par la Confédération internationale des mages et sorciers.
HPfrb2ch02-0077	assurance    	 En vous souhaitant d’agréables vacances, nous vous prions de croire, cher Mr Potter, en l’assurance de nos sentiments distingués.
HPfrb2ch02-0078	abusif       	 Service des Usages abusifs de la Magie.
HPfrb2ch02-0079	déglutir     	 Harry releva la tête et déglutit avec difficulté.
HPfrb2ch02-0080	bouledogue   	 Il avait l’air d’un énorme bouledogue toutes dents dehors.
HPfrb2ch02-0081	boucler      	 Le reste du temps, il était bouclé dans sa chambre.
HPfrb2ch02-0082	intraitable  	 Trois jours passèrent et les Dursley se montraient toujours aussi intraitables.
HPfrb2ch02-0083	exclusion    	 À quoi bon essayer de s’échapper par la magie si cela devait entraîner son exclusion de Poudlard ?
HPfrb2ch02-0084	soupe        	 La trappe aménagée dans la porte bascula et la main de la tante Pétunia apparut, poussant à l’intérieur de la chambre un bol rempli de soupe en boîte.
HPfrb2ch02-0085	lampée       	 La soupe était froide, ce qui ne l’empêcha pas d’en avaler la moitié d’une seule lampée.
HPfrb2ch02-0086	mangeoire    	 Il traversa alors la chambre et versa dans la mangeoire vide d’Hedwige les quelques morceaux de légumes détrempés restés au fond du bol.
HPfrb2ch02-0087	détremper    	 Il traversa alors la chambre et versa dans la mangeoire vide d’Hedwige les quelques morceaux de légumes détrempés restés au fond du bol.
HPfrb2ch02-0088	gargouiller  	 Épuisé, l’estomac gargouillant, tournant et retournant sans cesse dans sa tête les mêmes questions insolubles, Harry sombra dans un sommeil agité.
HPfrb2ch02-0089	insoluble    	 Épuisé, l’estomac gargouillant, tournant et retournant sans cesse dans sa tête les mêmes questions insolubles, Harry sombra dans un sommeil agité.
HPfrb2ch02-0090	litière      	 Allongé sur une litière de paille, faible et affamé, il voyait les visiteurs le regarder avec des yeux ronds.
HPfrb2ch02-0091	paille       	 Allongé sur une litière de paille, faible et affamé, il voyait les visiteurs le regarder avec des yeux ronds.
HPfrb2ch02-0092	lancinant    	 – Arrête, marmonnait Harry, tandis que le bruit lancinant des coups sur le métal martelait son cerveau douloureux.
HPfrb2ch02-0093	consteller   	 Le clair de lune entrait par la fenêtre et quelqu’un l’observait véritablement à travers les barreaux : un visage constellé de taches de son, avec des cheveux roux et un long nez.
