tennis       	 -souris, et des yeux verts globuleux de la taille d’une balle de tennis.
taie         	 Harry remarqua qu’elle était vêtue d’une espèce de taie d’oreiller dans laquelle on avait découpé des trous pour laisser passer les bras et les jambes.
endormi      	 merci, répondit Harry en longeant le mur vers la chaise de son bureau sur laquelle il se laissa tomber, à côté d’Hedwige endormie dans sa grande cage.
impoli       	 », mais il eut peur d’être impoli et demanda plutôt :
discourtois  	 Excusez-moi, je ne voudrais pas vous paraître discourtois, mais je ne crois pas que le moment soit bien choisi pour recevoir un elfe de maison dans ma chambre.
gravité      	 – Eh bien voilà, Monsieur, répondit l’elfe avec gravité.
inciter      	 Harry essaya de l’inciter au silence tout en s’efforçant de le réconforter et le fit asseoir sur le lit où il resta là à hoqueter.
hoqueter     	 Harry essaya de l’inciter au silence tout en s’efforçant de le réconforter et le fit asseoir sur le lit où il resta là à hoqueter.
poupée       	 Il avait l’air d’une grosse poupée repoussante de laideur.
repoussant   	 Il avait l’air d’une grosse poupée repoussante de laideur.
laideur      	 Il avait l’air d’une grosse poupée repoussante de laideur.
adoration    	 Enfin, l’elfe parvint à se calmer et fixa Harry de ses grands yeux humides avec une expression d’adoration.
égayer       	 – Les sorciers que vous fréquentez ne doivent pas être très aimables, plaisanta Harry en espérant l’égayer.
barreau      	 Hedwige s’était réveillée en poussant un hululement particulièrement perçant et battait frénétiquement des ailes contre les barreaux de sa cage.
loucher      	 – Il fallait que Dobby se punisse, Monsieur, dit l’elfe qui s’était mis à loucher légèrement.
service      	 – Dobby est au service d’une famille de sorciers, Monsieur… Dobby est un elfe de maison qui doit servir à tout jamais la même maison et la même famille.
sévèrement   	 Dobby va devoir se punir très sévèrement pour être venu vous voir, Monsieur.
affranchir   	 – Pour retrouver sa liberté, un elfe de maison doit être affranchi par ses maîtres, Monsieur.
gratitude    	 Harry regretta d’avoir parlé car à nouveau, Dobby se répandit en gémissements de gratitude.
générosité   	 – S’il vous plaît, murmura précipitamment Harry, je vous en prie, taisez-vous, si jamais les Dursley entendent quelque chose, s’ils s’aperçoivent de votre présence… – Harry Potter demande s’il peut aider Dobby… Dobby avait entendu parler de votre grandeur, Monsieur, mais il ne savait rien de votre générosité…
humble       	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
modeste      	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
révérencieux 	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
exorbité     	 – Harry Potter est humble et modeste, dit Dobby d’un ton révérencieux, ses gros yeux exorbités brillant d’émotion.
précipitation	 – Désolé, dit Harry avec précipitation.
vaillant     	 Harry Potter est vaillant et audacieux !
audacieux    	 Harry Potter est vaillant et audacieux !
couteau      	 Il y eut un long silence seulement troublé par des bruits de couteaux et de fourchettes et le ronronnement de la voix de l’oncle Vernon qu’on entendait au rez-de-chaussée.
fourchette   	 Il y eut un long silence seulement troublé par des bruits de couteaux et de fourchettes et le ronronnement de la voix de l’oncle Vernon qu’on entendait au rez-de-chaussée.
ronronnement 	 Il y eut un long silence seulement troublé par des bruits de couteaux et de fourchettes et le ronronnement de la voix de l’oncle Vernon qu’on entendait au rez-de-chaussée.
généreux     	 Il est trop grand, trop généreux, pour qu’on prenne le risque de le perdre.
complot      	 – Il existe un complot, Harry Potter.
péril        	 Harry Potter ne doit pas mettre sa vie en péril.
rivaliser    	 Dobby a entendu dire que les pouvoirs de Dumbledore rivalisent avec ceux de Celui-Dont-On-Ne-Doit-Pas-Prononcer
pressant     	 Pourtant, Monsieur… La voix de Dobby se transforma en un murmure pressant.
garnement    	 Un instant plus tard, Harry, le cœur battant à tout rompre, entendit l’oncle Vernon se diriger vers le hall en lançant d’une voix forte : – Dudley a encore dû laisser sa télévision allumée, le garnement !
penderie     	 Dans le placard ! murmura Harry en poussant Dobby dans la penderie qu’il referma sur lui.
golfeur      	 Tu viens de gâcher la chute de ma blague sur le golfeur japonais…
japonais     	 Tu viens de gâcher la chute de ma blague sur le golfeur japonais…
délivrer     	 Tremblant de la tête aux pieds, Harry délivra Dobby de la penderie.
sournois     	 dit Dobby d’un ton sournois.
intercepter  	 – C’est vous qui avez intercepté mes lettres ?
liasse       	 Il fit un rapide pas en arrière pour rester hors de portée de Harry et tira une épaisse liasse d’enveloppes de sa taie d’oreiller.
désordonné   	 Harry reconnut l’écriture propre et nette d’Hermione et celle beaucoup plus désordonnée de Ron.
gribouillis  	 Il aperçut même un gribouillis qui semblait être de la main de Hagrid, le garde-chasse de Poudlard.
condition    	 – Harry Potter aura ses lettres, Monsieur, à condition qu’il donne sa parole à Dobby qu’il ne retournera pas à Poudlard.
dévaler      	 Et avant que Harry ait pu faire un geste, Dobby se précipita sur la porte de la chambre, l’ouvrit et dévala l’escalier.
moquette     	 Il sauta d’un bond les six dernières marches et atterrit sur la moquette du hall d’entrée avec la souplesse d’un chat, cherchant Dobby des yeux.
souplesse    	 Il sauta d’un bond les six dernières marches et atterrit sur la moquette du hall d’entrée avec la souplesse d’un chat, cherchant Dobby des yeux.
désopilant   	 – Racontez donc à Pétunia cette histoire désopilante sur les plombiers américains, Mr Mason.
plombier     	 – Racontez donc à Pétunia cette histoire désopilante sur les plombiers américains, Mr Mason.
américain    	 – Racontez donc à Pétunia cette histoire désopilante sur les plombiers américains, Mr Mason.
pâtissier    	 Le chef-d’œuvre pâtissier de sa tante, la montagne de crème et de violettes en sucre, flottait dans l’air, près du plafond.
buffet       	 Dans un coin, il vit Dobby accroupi sur le buffet.
éclabousser  	 Le plat vola en éclats, éclaboussant les murs et les fenêtres de crème fouettée et de violettes.
fouet        	 Dobby disparut alors avec un bruit sec, comme le claquement d’un fouet.
minimiser    	 Tout d’abord, il sembla que l’oncle Vernon allait réussir à minimiser l’incident («
incident     	 Tout d’abord, il sembla que l’oncle Vernon allait réussir à minimiser l’incident («
perturber    	 Ce n’est rien, c’est notre neveu, il est un peu perturbé…
écorcher     	 Il ramena les Mason stupéfaits dans la salle à manger, promit à Harry de l’écorcher vif dès que ses invités seraient partis et lui donna une serpillière.
serpillière  	 Il ramena les Mason stupéfaits dans la salle à manger, promit à Harry de l’écorcher vif dès que ses invités seraient partis et lui donna une serpillière.
congélateur  	 La tante Pétunia dénicha un peu de glace dans le congélateur et Harry, toujours sous le choc, entreprit de nettoyer la cuisine.
conception   	 Mr Mason, lui, resta juste assez longtemps pour préciser aux Dursley que son épouse avait une peur bleue des oiseaux de toutes formes et de toutes tailles et leur demander si c’était là leur conception de l’humour.
démoniaque   	 Dans la cuisine, Harry, appuyé sur le manche de son balai de peur que ses jambes ne le trahissent, vit l’oncle Vernon s’avancer vers lui, une lueur démoniaque dans ses yeux minuscules.
lévitation   	 Cher Mr Potter, Nous avons été informés qu’un sortilège de lévitation a été utilisé dans votre lieu de résidence ce soir à neuf heures douze.
résidence    	 Cher Mr Potter, Nous avons été informés qu’un sortilège de lévitation a été utilisé dans votre lieu de résidence ce soir à neuf heures douze.
cycle        	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
récidive     	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
utilisation  	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
expulsion    	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
ledit        	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
