terrier        	 3 LE TERRIER
turquoise      	 bée lorsqu’il vit que Ron était penché à la fenêtre arrière d’une vieille voiture vert turquoise qui s’était immobilisée dans les airs.
trafiquer      	 Elle est à Papa, ce n’est pas nous qui l’avons trafiquée.
accélérateur   	 – Si les Dursley se réveillent, je suis mort, dit Harry en nouant solidement la corde autour des barreaux tandis que Fred donnait de grands coups d’accélérateur.
scène          	 Harry recula près de la cage d’Hedwige qui observait la scène en silence.
emballer       	 Le moteur de la voiture s’emballa et soudain, il y eut un grand bruit : Fred avait foncé tout droit dans les airs et les barreaux de la fenêtre avaient été arrachés net.
astuce         	 – Les sorciers pensent que c’est une perte de temps d’apprendre les astuces des Moldus, dit Fred, mais ils ont des techniques qui valent la peine d’être connues, même si elles sont un peu lentes.
technique      	 – Les sorciers pensent que c’est une perte de temps d’apprendre les astuces des Moldus, dit Fred, mais ils ont des techniques qui valent la peine d’être connues, même si elles sont un peu lentes.
beuglement     	 puis il laissa échapper un beuglement de taureau furieux et plongea sur Harry en le saisissant par une cheville.
taureau        	 puis il laissa échapper un beuglement de taureau furieux et plongea sur Harry en le saisissant par une cheville.
confortablement	 Les Weasley éclatèrent de rire et Harry s’installa confortablement sur la banquette en souriant d’une oreille à l’autre.
planer         	 George donna à Ron l’épingle à cheveux et un instant plus tard, Hedwige s’élançait avec bonheur par la fenêtre de la voiture qu’elle accompagna en planant comme un fantôme.
louche         	 – Vraiment louche, tout ça, dit enfin Fred.
intime         	 D’après Papa, il faisait partie des intimes de Tu-Sais-Qui.
gentillesse    	 À côté de Drago Malefoy, Dudley Dursley était un modèle de gentillesse, de sensibilité et de prévenance !
sensibilité    	 À côté de Drago Malefoy, Dudley Dursley était un modèle de gentillesse, de sensibilité et de prévenance !
prévenance     	 À côté de Drago Malefoy, Dudley Dursley était un modèle de gentillesse, de sensibilité et de prévenance !
repassage      	 – Maman a toujours eu envie d’avoir un elfe de maison pour s’occuper du repassage, dit George.
pouilleux      	 Mais tout ce qu’on a, c’est une vieille goule pouilleuse dans le grenier et des gnomes qui envahissent le jardin.
grenier        	 Mais tout ce qu’on a, c’est une vieille goule pouilleuse dans le grenier et des gnomes qui envahissent le jardin.
manoir         	 Les elfes de maison, on les trouve dans les vieux manoirs ou les châteaux, aucune chance d’en voir un chez nous… Harry resta silencieux.
pavaner        	 Il imaginait très bien Malefoy se pavanant dans un vaste manoir.
épuisement     	 Ce n’aurait pas été la première fois qu’il se serait évanoui d’épuisement en allant porter le courrier.
