HPfr05.txt-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfr05.txt-0002	fermer          	Il savait qu’il faisait jour, mais il garda les yeux fermés.
HPfr05.txt-0003	nommer          	Dans un demi-sommeil, il se demanda s’il n’avait pas rêvé, si le géant nommé Hagrid existait bien, s’il n’allait pas se retrouver dans son placard lorsqu’il ouvrirait les yeux.
HPfr05.txt-0004	exister         	Dans un demi-sommeil, il se demanda s’il n’avait pas rêvé, si le géant nommé Hagrid existait bien, s’il n’allait pas se retrouver dans son placard lorsqu’il ouvrirait les yeux.
HPfr05.txt-0005	désespéré       	– C’est bien ce que je pensais, marmonna-t-il, désespéré.
HPfr05.txt-0006	cogne           	Voilà la tante Pétunia qui cogne à la porte du placard pour me réveiller.
HPfr05.txt-0007	résigner        	Résigné, il ouvrit les yeux et se redressa.
HPfr05.txt-0008	illuminer       	Le gros manteau de Hagrid glissa de ses épaules et il vit l’intérieur de la cabane illuminé de soleil.
HPfr05.txt-0009	patte           	Hagrid dormait toujours sur le canapé écrasé et Harry aperçut un hibou qui tapait d’une patte au carreau de la fenêtre, un journal dans le bec.
HPfr05.txt-0010	carreau         	Hagrid dormait toujours sur le canapé écrasé et Harry aperçut un hibou qui tapait d’une patte au carreau de la fenêtre, un journal dans le bec.
HPfr05.txt-0011	sensation       	Il éprouvait une telle sensation de bonheur qu’il avait l’impression de sentir son corps flotter comme un ballon.
HPfr05.txt-0012	bonheur         	Il éprouvait une telle sensation de bonheur qu’il avait l’impression de sentir son corps flotter comme un ballon.
HPfr05.txt-0013	uniquement      	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0014	trousseau       	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0015	produit         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0016	pelote          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0017	ficelle         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0018	menthe          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0019	sachet          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0020	poignée         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0021	monnaie         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
HPfr05.txt-0022	ensommeiller    	– Donne-lui cinq Noises, dit Hagrid d’une voix ensommeillée.
HPfr05.txt-0023	bronze          	– Les petites pièces en bronze.
HPfr05.txt-0024	bourse          	L’oiseau tendit une patte et Harry déposa cinq Noises dans la petite bourse en cuir qui y était attachée.
