HPfr06.txt-0001	rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
HPfr06.txt-0002	mois             	Le dernier mois que Harry passa chez les Dursley n’eut rien de très amusant.
HPfr06.txt-0003	déprimer         	D’une certaine manière, c’était mieux qu’avant, mais un peu déprimant malgré tout.
HPfr06.txt-0004	baptiser         	Harry restait donc dans sa chambre en compagnie de sa chouette qu’il avait baptisée Hedwige, un nom trouvé dans son Histoire de la magie.
HPfr06.txt-0005	soirée           	Il passait ses journées et ses soirées à dévorer ses manuels scolaires tandis qu’Hedwige allait se promener, sortant et rentrant par la fenêtre ouverte.
HPfr06.txt-0006	dévorer          	Il passait ses journées et ses soirées à dévorer ses manuels scolaires tandis qu’Hedwige allait se promener, sortant et rentrant par la fenêtre ouverte.
HPfr06.txt-0007	ménage           	Fort heureusement, la tante Pétunia ne venait plus faire le ménage car Hedwige ne cessait de ramener des cadavres de souris.
HPfr06.txt-0008	cadavre          	Fort heureusement, la tante Pétunia ne venait plus faire le ménage car Hedwige ne cessait de ramener des cadavres de souris.
HPfr06.txt-0009	barrer           	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
HPfr06.txt-0010	calendrier       	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
HPfr06.txt-0011	accrocher        	Tous les soirs avant de se coucher, Harry barrait un jour sur le calendrier de fortune qu’il avait fait lui-même sur un morceau de papier accroché au mur.
HPfr06.txt-0012	toussoter        	Dans le salon, les Dursley regardaient un jeu télévisé et il toussota pour signaler sa présence.
HPfr06.txt-0013	tapis            	Les tapis volants sont en panne ?
HPfr06.txt-0014	conscience       	– Je ne sais pas, dit Harry en prenant conscience pour la première fois de son ignorance à ce sujet.
HPfr06.txt-0015	ignorance        	– Je ne sais pas, dit Harry en prenant conscience pour la première fois de son ignorance à ce sujet.
HPfr06.txt-0016	décréter         	– Ils sont tous fous ! décréta l’oncle Vernon.
HPfr06.txt-0017	hôpital          	Non, j’emmène Dudley à l’hôpital.
HPfr06.txt-0018	enlever          	Il faut lui faire enlever cette maudite queue en tire-bouchon avant qu’il entre au collège.
HPfr06.txt-0019	jean             	Le lendemain, Harry se réveilla dès cinq heures du matin et s’habilla d’un jean.
HPfr06.txt-0020	exciter          	Il était trop excité pour se rendormir.
HPfr06.txt-0021	rendormir        	Il était trop excité pour se rendormir.
HPfr06.txt-0022	charger          	Deux heures plus tard, l’oncle Vernon chargea son énorme valise pleine de livres et de fournitures scolaires dans le coffre de la voiture et ils prirent la direction de Londres après que la tante Pétunia eut convaincu Dudley qu’il n’y avait aucun danger à s’asseoir à côté de Harry.
HPfr06.txt-0023	valise           	Deux heures plus tard, l’oncle Vernon chargea son énorme valise pleine de livres et de fournitures scolaires dans le coffre de la voiture et ils prirent la direction de Londres après que la tante Pétunia eut convaincu Dudley qu’il n’y avait aucun danger à s’asseoir à côté de Harry.
HPfr06.txt-0024	chariot          	L’oncle Vernon mit la grosse valise sur un chariot qu’il poussa lui-même, et accompagna Harry jusqu’à l’entrée des voies.
HPfr06.txt-0025	gentil           	C’était étrangement gentil de sa part, jusqu’au moment où il s’arrêta face aux quais avec un sourire méchant.
HPfr06.txt-0026	méchant          	C’était étrangement gentil de sa part, jusqu’au moment où il s’arrêta face aux quais avec un sourire méchant.
HPfr06.txt-0027	construire       	J’imagine que la tienne doit se trouver quelque part entre les deux, mais j’ai bien peur qu’elle ne soit pas encore construite.
HPfr06.txt-0028	voyageur         	La chouette enfermée dans sa cage intriguait les autres voyageurs et il sentait des regards se tourner vers lui.
HPfr06.txt-0029	destination      	Il demanda à un employé où se trouvait le train à destination de Poudlard, mais l’homme n’avait jamais entendu ce nom.
HPfr06.txt-0030	situer           	Harry étant incapable de lui dire dans quelle région l’endroit était situé, l’employé s’énerva, croyant qu’il se moquait de lui.
HPfr06.txt-0031	céder            	Harry s’efforça de ne pas céder à la panique.
HPfr06.txt-0032	horloge          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
HPfr06.txt-0033	tableau          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
HPfr06.txt-0034	arrivée          	La grosse horloge, au-dessus du tableau des arrivées, lui indiqua qu’il lui restait dix minutes avant le départ du train mais il ne savait absolument pas comment faire pour y monter.
HPfr06.txt-0035	soulever         	Il était seul au milieu de la gare, avec une valise qu’il pouvait à peine soulever, la poche pleine d’argent qui n’avait cours que chez les sorciers et une grande cage avec une chouette à l’intérieur.
HPfr06.txt-0036	composteur       	Il se demandait s’il convenait de sortir sa baguette magique pour en tapoter le composteur situé entre les deux quais lorsqu’il entendit un groupe de voyageurs parler derrière lui.
HPfr06.txt-0037	roux             	Une petite femme replète parlait à quatre garçons aux cheveux roux flamboyants.
HPfr06.txt-0038	flamboyant       	Une petite femme replète parlait à quatre garçons aux cheveux roux flamboyants.
HPfr06.txt-0039	fillette         	– 9 3/4, dit une fillette également rousse qui tenait la main de la petite femme replète.
HPfr06.txt-0040	aîné             	Celui qui semblait être l’aîné des quatre garçons se dirigea vers les voies 9 et 10.
HPfr06.txt-0041	touriste         	Harry l’observa attentivement, évitant même de cligner des yeux, mais un groupe de touristes important arriva et lui boucha la vue.
HPfr06.txt-0042	franchement      	Franchement, tu crois que c’est digne d’une mère de confondre ses enfants ?
HPfr06.txt-0043	digne            	Franchement, tu crois que c’est digne d’une mère de confondre ses enfants ?
HPfr06.txt-0044	frère            	Il s’avança à son tour vers les voies tandis que son frère jumeau lui disait de se dépêcher.
HPfr06.txt-0045	dadais           	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
HPfr06.txt-0046	tache            	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
HPfr06.txt-0047	rousseur         	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
HPfr06.txt-0048	barrière         	Il suffit de marcher droit vers la barrière qui est devant toi, entre les deux tourniquets.
HPfr06.txt-0049	tourniquet       	Il suffit de marcher droit vers la barrière qui est devant toi, entre les deux tourniquets.
HPfr06.txt-0050	trac             	Si tu as le trac, il vaut mieux marcher très vite.
HPfr06.txt-0051	solide           	Elle paraissait très solide.
HPfr06.txt-0052	bousculer        	Il s’avança alors en poussant son chariot et marcha de plus en plus vite, bousculé par les voyageurs qui se hâtaient vers les voies 9 et 10.
HPfr06.txt-0053	rapprocher       	La barrière se rapprochait dangereusement.
HPfr06.txt-0054	dangereusement   	La barrière se rapprochait dangereusement.
HPfr06.txt-0055	freiner          	Trop tard pour freiner, à présent.
HPfr06.txt-0056	cinquante        	Il n’était plus qu’à cinquante centimètres.
HPfr06.txt-0057	obstacle         	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfr06.txt-0058	rouvrir          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfr06.txt-0059	locomotive       	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfr06.txt-0060	vif              	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfr06.txt-0061	presser          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfr06.txt-0062	compact          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfr06.txt-0063	express          	Express
HPfr06.txt-0064	arche            	En regardant derrière lui, Harry vit une grande arche de fer forgé à la place de la barrière et des tourniquets.
HPfr06.txt-0065	fer              	En regardant derrière lui, Harry vit une grande arche de fer forgé à la place de la barrière et des tourniquets.
HPfr06.txt-0066	çà               	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
HPfr06.txt-0067	ponctuer         	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
HPfr06.txt-0068	grognon          	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
HPfr06.txt-0069	wagon            	Les premiers wagons étaient déjà pleins d’élèves.
