HPfr07.txt-0001	contrarier      	Elle avait le visage sévère des gens qu’il vaut mieux éviter de contrarier, pensa aussitôt Harry.
HPfr07.txt-0002	enflammer       	Des torches enflammées étaient fixées aux murs de pierre, comme à Gringotts, et face à eux, un somptueux escalier de marbre permettait de monter dans les étages.
HPfr07.txt-0003	somptueux       	Des torches enflammées étaient fixées aux murs de pierre, comme à Gringotts, et face à eux, un somptueux escalier de marbre permettait de monter dans les étages.
HPfr07.txt-0004	daller          	Guidés par le professeur McGonagall, ils traversèrent l’immense salle au sol dallé et entrèrent dans une petite salle réservée aux élèves de première année.
HPfr07.txt-0005	exiguïté        	L’exiguïté des lieux les obligea à se serrer les uns contre les autres et ils restèrent debout en silence, lançant autour d’eux des regards un peu inquiets.
HPfr07.txt-0006	début           	Le banquet de début d’année va bientôt commencer mais avant que vous preniez place dans la Grande Salle, vous allez être répartis dans les différentes maisons.
HPfr07.txt-0007	répartition     	Cette répartition constitue une cérémonie très importante.
HPfr07.txt-0008	cérémonie       	Cette répartition constitue une cérémonie très importante.
HPfr07.txt-0009	séjour          	Vous devez savoir, en effet, que tout au long de votre séjour à l’école, votre maison sera pour vous comme une seconde famille.
HPfr07.txt-0010	dortoir         	Vous y suivrez les mêmes cours, vous y dormirez dans le même dortoir et vous passerez votre temps libre dans la même salle commune.
HPfr07.txt-0011	former          	Chaque maison a sa propre histoire, sa propre noblesse, et chacune d’elles a formé au cours des ans des sorciers et des sorcières de premier plan.
HPfr07.txt-0012	rapporter       	Pendant votre année à Poudlard, chaque fois que vous obtiendrez de bons résultats, vous rapporterez des points à votre maison, mais chaque fois que vous enfreindrez les règles communes, votre maison perdra des points.
HPfr07.txt-0013	enfreindre      	Pendant votre année à Poudlard, chaque fois que vous obtiendrez de bons résultats, vous rapporterez des points à votre maison, mais chaque fois que vous enfreindrez les règles communes, votre maison perdra des points.
HPfr07.txt-0014	conseiller      	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
HPfr07.txt-0015	soigner         	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
HPfr07.txt-0016	tenue           	Je vous conseille de profiter du temps qui vous reste avant le début de cette cérémonie pour soigner votre tenue.
HPfr07.txt-0017	attarder        	Le regard du professeur s’attarda sur Neville dont la cape était attachée de travers et sur Ron qui avait toujours une tache sur le nez.
HPfr07.txt-0018	fébrile         	D’un geste fébrile, Harry essaya d’aplatir ses cheveux.
HPfr07.txt-0019	test            	– J’imagine qu’ils vont nous faire passer des tests.
HPfr07.txt-0020	appréhension    	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfr07.txt-0021	carnet          	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfr07.txt-0022	mystérieusement 	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfr07.txt-0023	soupçonner      	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
HPfr07.txt-0024	destin          	À tout moment, maintenant, le professeur McGonagall allait entrer et l’emmener vers son destin fatal.
HPfr07.txt-0025	fatal           	À tout moment, maintenant, le professeur McGonagall allait entrer et l’emmener vers son destin fatal.
HPfr07.txt-0026	fantôme         	Une vingtaine de fantômes venaient d’apparaître en traversant le mur du fond.
HPfr07.txt-0027	nacré           	D’un blanc nacré, légèrement transparents, ils flottaient à travers la salle sans accorder un regard aux élèves rassemblés.
HPfr07.txt-0028	transparent     	D’un blanc nacré, légèrement transparents, ils flottaient à travers la salle sans accorder un regard aux élèves rassemblés.
HPfr07.txt-0029	disputer        	Ils paraissaient se disputer.
HPfr07.txt-0030	moine           	L’un d’eux, qui ressemblait à un petit moine gras, lança : – Oublions et pardonnons.
HPfr07.txt-0031	pardonner       	L’un d’eux, qui ressemblait à un petit moine gras, lança : – Oublions et pardonnons.
HPfr07.txt-0032	mériter         	– Mon cher Frère, n’avons-nous pas donné à Peeves toutes les chances qu’il méritait ?
HPfr07.txt-0033	spectre         	– Mon cher Frère, n’avons-nous pas donné à Peeves toutes les chances qu’il méritait ? répondit un autre spectre, vêtu de hauts-de-chausse et le cou entouré d’une fraise.
HPfr07.txt-0034	brusque         	– Allons-y, maintenant, dit une voix brusque.
HPfr07.txt-0035	rang            	– Mettez-vous en rang et suivez-moi, dit le professeur aux élèves.
HPfr07.txt-0036	double          	Il se glissa entre Ron et un garçon aux cheveux blonds et la file des élèves quitta la salle, traversa à nouveau le hall, puis franchit une double porte qui ouvrait sur la Grande Salle.
HPfr07.txt-0037	chandelle       	Des milliers de chandelles suspendues dans les airs éclairaient quatre longues tables autour desquelles les autres étudiants étaient déjà assis, devant des assiettes et des gobelets d’or étincelants.
HPfr07.txt-0038	gobelet         	Des milliers de chandelles suspendues dans les airs éclairaient quatre longues tables autour desquelles les autres étudiants étaient déjà assis, devant des assiettes et des gobelets d’or étincelants.
HPfr07.txt-0039	clarté          	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
HPfr07.txt-0040	incertain       	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
HPfr07.txt-0041	lanterne        	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
HPfr07.txt-0042	disperser       	Dispersés parmi les étudiants, les fantômes brillaient comme des panaches de brume argentée.
HPfr07.txt-0043	gêné            	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
HPfr07.txt-0044	velours         	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
HPfr07.txt-0045	parsemer        	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
HPfr07.txt-0046	rapiécer        	Le chapeau était râpé, sale, rapiécé.
HPfr07.txt-0047	lapin           	Peut-être allait-on leur demander d’en faire sortir un lapin ?
HPfr07.txt-0048	total           	Pendant quelques instants, il régna un silence total.
HPfr07.txt-0049	déchirure       	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
HPfr07.txt-0050	chanter         	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
