HPfr09.txt-0001	duel           	DUEL À MINUIT
HPfr09.txt-0002	détestable     	Harry avait toujours cru qu’il était impossible de rencontrer quelqu’un d’aussi détestable que Dudley, mais c’était avant de faire la connaissance de Drago Malefoy.
HPfr09.txt-0003	hélas          	Hélas, une note au tableau d’affichage les informa que les cours de vol sur balai seraient également communs entre les deux maisons.
HPfr09.txt-0004	affichage      	Hélas, une note au tableau d’affichage les informa que les cours de vol sur balai seraient également communs entre les deux maisons.
HPfr09.txt-0005	ridiculiser    	Je n’attendais que ça : me ridiculiser devant Malefoy en essayant de manier un manche à balai.
HPfr09.txt-0006	leçon          	Les leçons de vol étaient celles qu’il attendait avec le plus d’impatience.
HPfr09.txt-0007	vanter         	Je sais que Malefoy se vante toujours d’être un grand joueur de Quidditch, mais ça ne coûte rien de le dire.
HPfr09.txt-0008	terrain        	Il faudra voir sur le terrain.
HPfr09.txt-0009	héros          	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0010	invariablement 	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0011	poursuite      	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0012	haletant       	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0013	issue          	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0014	justesse       	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0015	hélicoptère    	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0016	piloter        	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfr09.txt-0017	enfance        	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
HPfr09.txt-0018	acrobatie      	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
HPfr09.txt-0019	aérien         	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
HPfr09.txt-0020	collision      	Même Ron racontait à qui voulait l’entendre qu’il avait failli entrer en collision avec un deltaplane alors qu’il pilotait le vieux balai de Charlie.
HPfr09.txt-0021	dispute        	Ron avait déjà eu une longue dispute avec Dean Thomas, qui partageait leur dortoir, à propos du football.
HPfr09.txt-0022	affiche        	Un soir Harry avait surpris Ron en train de tapoter une affiche de Dean représentant l’équipe de football de West Ham pour essayer, en vain, de faire bouger les joueurs.
HPfr09.txt-0023	décision       	Harry songeait en son for intérieur que c’était une sage décision, étant donné le nombre incroyable d’accidents que Neville avait déjà eu dans sa vie en restant les deux pieds sur terre.
HPfr09.txt-0024	jeudi          	Le premier cours de balai volant devait avoir lieu le jeudi.
HPfr09.txt-0025	infliger       	Au petit déjeuner, elle leur infligea les stupides conseils en matière de vol qu’elle avait trouvés à la bibliothèque dans un livre intitulé Le Quidditch à travers les âges.
