HPfr12.txt-0001	miroir            	LE MIROIR DU RISÉD
HPfr12.txt-0002	geler             	Le lac avait gelé et les jumeaux Weasley reçurent une punition pour avoir fabriqué des boules de neige magiques qui suivaient Quirrell partout où il allait en visant son turban.
HPfr12.txt-0003	frigorifier       	Hagrid s’occupait de soigner les quelques hiboux qui arrivaient à traverser l’air glacé pour apporter le courrier, frigorifiés.
HPfr12.txt-0004	chauffer          	Des feux chauffaient la Grande Salle et la salle commune de Gryffondor mais les couloirs étaient parcourus de courants d’air glacés et un vent polaire faisait trembler les fenêtres des salles de classe.
HPfr12.txt-0005	malheureux        	– Je plains beaucoup les malheureux qui devront rester à Poudlard pendant les vacances parce que personne n’en veut à la maison, lança un jour Malefoy pendant un cours de potions.
HPfr12.txt-0006	pouffer           	Crabbe et Goyle pouffèrent de rire, mais Harry n’y prêta aucune attention.
HPfr12.txt-0007	défaite           	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
HPfr12.txt-0008	rieur             	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
HPfr12.txt-0009	remplacer         	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
HPfr12.txt-0010	virtuosité        	Mais il s’était très vite rendu compte que sa plaisanterie n’amusait personne car tout le monde avait été impressionné par la virtuosité avec laquelle Harry avait réussi à s’accrocher à son balai.
HPfr12.txt-0011	jaloux            	Jaloux et furieux, Malefoy se consolait en saisissant toutes les occasions de rappeler que Harry n’avait pas de famille digne de ce nom.
HPfr12.txt-0012	sapin             	Lorsqu’ils sortirent du cours de potions, un énorme sapin avançait dans le couloir en haletant, soufflant, ahanant.
HPfr12.txt-0013	trahir            	Les deux pieds immenses qu’on voyait dépasser trahissaient la présence de Hagrid derrière le sapin.
HPfr12.txt-0014	branchage         	– Vous avez besoin d’aide ? demanda Ron en passant la tête parmi les branchages.
HPfr12.txt-0015	palace            	C’est vrai que pour quelqu’un de ta famille, la cabane de Hagrid doit avoir l’air d’un palace.
HPfr12.txt-0016	provoquer         	– Il a été provoqué, professeur, dit Hagrid en montrant sa grosse tête hirsute derrière le sapin.
HPfr12.txt-0017	doucereux         	– C’est possible, Hagrid, mais il est interdit de se battre, à Poudlard, répliqua Rogue d’un ton doucereux.
HPfr12.txt-0018	gaieté            	– Allons, un peu de gaieté, c’est bientôt Noël, dit Hagrid.
HPfr12.txt-0019	merveille         	Venez un peu avec moi, on va aller voir la Grande Salle, c’est une merveille.
HPfr12.txt-0020	décoration        	Tous trois suivirent Hagrid et son arbre jusqu’à la Grande Salle où le professeur McGonagall et le professeur Flitwick s’affairaient à installer les décorations.
HPfr12.txt-0021	guirlande         	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
HPfr12.txt-0022	gui               	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
HPfr12.txt-0023	glaçon            	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
HPfr12.txt-0024	branche           	– Tu as raison, dit Ron, s’arrachant à la contemplation du professeur Flitwick qui faisait apparaître au bout de sa baguette magique des boules d’or qu’il accrochait aux branches du nouveau sapin.
HPfr12.txt-0025	passionner        	Vous êtes vraiment passionnés !
HPfr12.txt-0026	interloquer       	– Quoi ? s’exclama Hagrid, interloqué.
HPfr12.txt-0027	épargner          	– À moins que vous ne vouliez nous le dire vous-même pour nous épargner d’autres recherches, ajouta Harry.
HPfr12.txt-0028	contemporain      	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
HPfr12.txt-0029	récent            	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
HPfr12.txt-0030	progrès           	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
HPfr12.txt-0031	feuilleter        	Feuilleter tous ces volumes représentait une tâche immense, mais ils n’avaient pas renoncé pour autant.
HPfr12.txt-0032	volume            	Feuilleter tous ces volumes représentait une tâche immense, mais ils n’avaient pas renoncé pour autant.
HPfr12.txt-0033	titre             	Hermione étudia une liste de titres et de thèmes qui pouvaient faire allusion à Nicolas Flamel tandis que Ron se promenait le long des étagères en prenant des livres au hasard.
HPfr12.txt-0034	thème             	Hermione étudia une liste de titres et de thèmes qui pouvaient faire allusion à Nicolas Flamel tandis que Ron se promenait le long des étagères en prenant des livres au hasard.
HPfr12.txt-0035	aventurer         	Harry, lui, s’était aventuré du côté de la Réserve, mais il fallait un mot de l’un des professeurs pour avoir accès aux ouvrages qu’on y conservait et il savait bien qu’il n’obtiendrait jamais une telle autorisation.
HPfr12.txt-0036	réserve           	Harry, lui, s’était aventuré du côté de la Réserve, mais il fallait un mot de l’un des professeurs pour avoir accès aux ouvrages qu’on y conservait et il savait bien qu’il n’obtiendrait jamais une telle autorisation.
HPfr12.txt-0037	bibliothécaire    	Madame Pince, la bibliothécaire, le menaça d’un plumeau.
