HPfr17.txt-0001	tranquillement 	Oui, c’est moi, dit-il tranquillement.
HPfr17.txt-0002	coupable       	Oui, Severus faisait un bon coupable, n’est-ce pas ?
HPfr17.txt-0003	visuel         	À cause d’elle, j’ai perdu le contact visuel avec vous.
HPfr17.txt-0004	manigancer     	On peut faire confiance à Dumbledore pour manigancer ce genre de choses…
HPfr17.txt-0005	désinvolte     	– Oh mais, bien sûr, il vous déteste, répondit Quirrell d’un ton désinvolte.
HPfr17.txt-0006	mépriser       	Ils se méprisaient cordialement.
HPfr17.txt-0007	cordialement   	Ils se méprisaient cordialement.
HPfr17.txt-0008	convulser      	Pour la première fois, pendant une fraction de seconde, les traits de Quirrell se convulsèrent dans une expression de peur.
HPfr17.txt-0009	instruction    	– Parfois, dit-il, j’ai du mal à suivre les instructions de mon maître.
HPfr17.txt-0010	fidèlement     	Depuis ce temps-là, je l’ai servi fidèlement, bien que je l’aie laissé tomber à plusieurs reprises.
HPfr17.txt-0011	sévir          	Il a dû sévir, avec moi.
HPfr17.txt-0012	conséquent     	Par conséquent, s’il se regardait dans le miroir, il se verrait en train de la trouver, il verrait donc du même coup l’endroit où elle était cachée !
HPfr17.txt-0013	exprimer       	Mais il avait à peine fait quelques pas qu’une voix aiguë s’exprima alors que Quirrell n’avait pas ouvert la bouche.
HPfr17.txt-0014	terrifiant     	Derrière la tête de Quirrell, au lieu de son crâne, il y avait un visage, le visage le plus terrifiant que Harry eût jamais vu.
HPfr17.txt-0015	fente          	Il était d’une blancheur de craie avec des yeux rouges flamboyants et des fentes en guise de narines, comme sur la tête d’un serpent.
HPfr17.txt-0016	vapeur         	Ombre et vapeur…
HPfr17.txt-0017	abreuver       	Dans la forêt, tu as vu le fidèle Quirrell s’en abreuver pour moi…
HPfr17.txt-0018	recréer        	Et lorsque j’aurai l’élixir de longue vie, je pourrai recréer un corps qui sera bien à moi…
HPfr17.txt-0019	menteur        	– MENTEUR !
HPfr17.txt-0020	émouvant       	– Comme c’est émouvant… siffla-t-il.
HPfr17.txt-0021	apprécier      	J’apprécie toujours le courage…
HPfr17.txt-0022	bravoure       	J’ai d’abord tué ton père et il m’a résisté avec une grande bravoure…
HPfr17.txt-0023	ampoule        	Quirrell, en revanche, était plié en deux par la douleur, le regard fixé sur ses doigts qui se couvraient d’ampoules à vue d’œil, comme brûlés par une flamme.
HPfr17.txt-0024	attrape        	ATTRAPE-LE !
HPfr17.txt-0025	incrédule      	Tout en maintenant Harry par terre avec ses genoux, Quirrell lâcha son cou et contempla d’un air incrédule les paumes de ses mains.
HPfr17.txt-0026	chair          	Harry voyait qu’elles étaient complètement brûlées, écarlates, la chair à vif.
HPfr17.txt-0027	instinctif     	Quirrell leva le bras pour lancer un maléfice mortel, mais Harry, d’un geste instinctif, plaqua les mains contre le visage de son ennemi.
HPfr17.txt-0028	glapissement   	Il ne voyait plus rien, il entendait seulement les horribles cris de Quirrell ainsi que les glapissements de Voldemort qui répétait :
HPfr17.txt-0029	lin            	Il était couché dans un lit avec des draps de lin blanc et juste à côté, il y avait une table couverte d’une quantité de friandises suffisante pour ouvrir un magasin.
HPfr17.txt-0030	admirateur     	– Quelques cadeaux de la part de tes amis et admirateurs, dit Dumbledore, rayonnant.
HPfr17.txt-0031	hygiénique     	Mais Madame Pomfresh a trouvé que ce ne serait peut-être pas très hygiénique et elle l’a confisqué.
HPfr17.txt-0032	confisquer     	Mais Madame Pomfresh a trouvé que ce ne serait peut-être pas très hygiénique et elle l’a confisqué.
HPfr17.txt-0033	grandement     	Mr Ronald Weasley et Miss Granger vont être grandement soulagés de voir que tu es revenu à toi.
HPfr17.txt-0034	distraire      	– Je vois qu’il est inutile d’essayer de te distraire.
HPfr17.txt-0035	admirablement  	Je suis arrivé à temps pour l’en empêcher, bien que tu te sois admirablement débrouillé tout seul, je le reconnais.
HPfr17.txt-0036	équilibré      	Après tout, pour un esprit équilibré, la mort n’est qu’une grande aventure de plus.
HPfr17.txt-0037	accroître      	La peur d’un nom ne fait qu’accroître la peur de la chose elle-même.
HPfr17.txt-0038	amour          	S’il y a une chose que Voldemort est incapable de comprendre, c’est l’amour.
HPfr17.txt-0039	haine          	Quirrell était plein de haine, de cupidité, d’ambition, il partageait son âme avec Voldemort et c’est pour cela qu’il ne supportait pas de te toucher.
