vitre          	UNE VITRE DISPARAÎT
disparaître    	UNE VITRE DISPARAÎT
dix            	Il s’était passé près de dix ans depuis que les Dursley avaient trouvé au saut du lit leur neveu devant la porte, mais Privet Drive n’avait quasiment pas changé.
saut           	Il s’était passé près de dix ans depuis que les Dursley avaient trouvé au saut du lit leur neveu devant la porte, mais Privet Drive n’avait quasiment pas changé.
quasiment      	Il s’était passé près de dix ans depuis que les Dursley avaient trouvé au saut du lit leur neveu devant la porte, mais Privet Drive n’avait quasiment pas changé.
propret        	Ce jour-là, le soleil se leva sur les mêmes petits jardins proprets en faisant étinceler la plaque de cuivre qui portait le numéro 4, à l’entrée de la maison des Dursley.
cuivre         	Ce jour-là, le soleil se leva sur les mêmes petits jardins proprets en faisant étinceler la plaque de cuivre qui portait le numéro 4, à l’entrée de la maison des Dursley.
infiltrer      	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
living-room    	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
semblable      	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
télévision     	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
fameux         	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
mémoire        	La lumière du matin s’infiltra dans un living-room exactement semblable, à quelques détails près, à celui où Mr Dursley avait appris par la télévision le fameux vol des hiboux, de sinistre mémoire.
photo          	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
exhiber        	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
manteau        	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
cheminée       	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
idée           	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
écouler        	Seules les photos exhibées sur le manteau de la cheminée donnaient une idée du temps qui s’était écoulé depuis cette date.
dix            	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
tôt            	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
nombreux       	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
cliché         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
exposer        	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
ballon         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
rose           	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
coiffer        	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
bonnet         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
pompon         	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
différent      	Dix ans plus tôt, on distinguait sur les nombreux clichés exposés quelque chose qui ressemblait à un gros ballon rose coiffé de bonnets à pompons de différentes couleurs.
blond          	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
vélo           	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
manège         	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
forain         	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
ordinateur     	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
compagnie      	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
père           	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
couvrir        	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
deviner        	Rien dans la pièce ne laissait deviner qu’un autre petit garçon habitait la même maison.
pourtant       	Et pourtant, Harry Potter était toujours là, encore endormi pour le moment, mais plus pour longtemps.
endormir       	Et pourtant, Harry Potter était toujours là, encore endormi pour le moment, mais plus pour longtemps.
longtemps      	Et pourtant, Harry Potter était toujours là, encore endormi pour le moment, mais plus pour longtemps.
rompre         	Car sa tante Pétunia était bien réveillée et ce fut sa voix perçante qui rompit pour la première fois le silence du matin.
debout         	– Allez, debout !
immédiatement  	Immédiatement !
sursaut        	Harry se réveilla en sursaut.
tambouriner    	Sa tante tambourina à la porte.
hurler         	– Vite, debout ! hurla-t-elle de sa voix suraiguë.
suraigu        	– Vite, debout ! hurla-t-elle de sa voix suraiguë.
cuisine        	Harry l’entendit s’éloigner vers la cuisine et poser une poêle sur la cuisinière.
poêle          	Harry l’entendit s’éloigner vers la cuisine et poser une poêle sur la cuisinière.
cuisinière     	Harry l’entendit s’éloigner vers la cuisine et poser une poêle sur la cuisinière.
rappeler       	Il se tourna sur le dos et essaya de se rappeler le rêve qu’il était en train de faire.
rêve           	Il se tourna sur le dos et essaya de se rappeler le rêve qu’il était en train de faire.
beau           	C’était un beau rêve, avec une moto qui volait, et il eut l’étrange impression d’avoir déjà fait le même rêve auparavant.
auparavant     	C’était un beau rêve, avec une moto qui volait, et il eut l’étrange impression d’avoir déjà fait le même rêve auparavant.
dépêcher       	– Allez, dépêche-toi, je veux que tu surveilles le bacon.
surveiller     	– Allez, dépêche-toi, je veux que tu surveilles le bacon.
bacon          	– Allez, dépêche-toi, je veux que tu surveilles le bacon.
laisser        	Ne le laisse surtout pas brûler.
surtout        	Ne le laisse surtout pas brûler.
brûler         	Ne le laisse surtout pas brûler.
absolument     	Tout doit être absolument parfait le jour de l’anniversaire de Dudley.
parfait        	Tout doit être absolument parfait le jour de l’anniversaire de Dudley.
anniversaire   	Tout doit être absolument parfait le jour de l’anniversaire de Dudley.
émettre        	Harry émit un grognement.
grognement     	Harry émit un grognement.
glapir         	– Qu’est-ce que tu dis ? glapit sa tante derrière la porte.
oublier        	Comment avait-il pu l’oublier ?
lentement      	Harry se glissa lentement hors du lit et chercha ses chaussettes.
hors           	Harry se glissa lentement hors du lit et chercha ses chaussettes.
