nulle              	LES LETTRES DE NULLE PART
part               	LES LETTRES DE NULLE PART
fuite              	La fuite du boa brésilien valut à Harry la plus longue punition qu’il eût jamais reçue.
brésilien          	La fuite du boa brésilien valut à Harry la plus longue punition qu’il eût jamais reçue.
ressortir          	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
écraser            	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
étrenner           	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
béquille           	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
content            	Harry était content que l’école ait pris fin, mais il n’arrivait pas à échapper à la bande de Dudley qui venait chaque jour à la maison.
bête               	Piers, Dennis, Malcolm et Gordon étaient tous grands et stupides, mais comme Dudley était encore plus grand et plus bête qu’eux, c’était lui qui était le chef.
chef               	Piers, Dennis, Malcolm et Gordon étaient tous grands et stupides, mais comme Dudley était encore plus grand et plus bête qu’eux, c’était lui qui était le chef.
ravir              	Et les autres étaient ravis de pratiquer le sport préféré de Dudley : la chasse au Harry.
pratiquer          	Et les autres étaient ravis de pratiquer le sport préféré de Dudley : la chasse au Harry.
chasse             	Et les autres étaient ravis de pratiquer le sport préféré de Dudley : la chasse au Harry.
septembre          	Car en septembre, il entrerait au collège et, pour la première fois de sa vie, il ne serait plus dans la même école que Dudley.
collège            	Car en septembre, il entrerait au collège et, pour la première fois de sa vie, il ne serait plus dans la même école que Dudley.
privé              	Dudley irait à Smelting, un collège privé où l’oncle Vernon avait fait ses études.
étude              	Dudley irait à Smelting, un collège privé où l’oncle Vernon avait fait ses études.
inscrire           	Piers Polkiss y était inscrit, lui aussi.
trou               	– Là où tu vas, on met la tête des nouveaux dans le trou des toilettes, dit-il à Harry.
toilette           	– Là où tu vas, on met la tête des nouveaux dans le trou des toilettes, dit-il à Harry.
entraîner          	Si tu veux t’entraîner, monte avec moi dans la salle de bains.
monter             	Si tu veux t’entraîner, monte avec moi dans la salle de bains.
atroce             	Non, merci, répondit Harry, ces pauvres toilettes n’ont jamais vu quelque chose d’aussi atroce que ta tête, ça les rendrait malades.
juillet            	Un jour de juillet, la tante Pétunia emmena Dudley à Londres pour lui acheter l’uniforme de sa nouvelle école.
uniforme           	Un jour de juillet, la tante Pétunia emmena Dudley à Londres pour lui acheter l’uniforme de sa nouvelle école.
pénible            	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
trébucher          	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
refroidir          	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
passion            	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
gâteau             	Harry fut même autorisé à regarder la télévision en mangeant un gâteau au chocolat qui avait dû séjourner quelques années au fond d’un placard.
séjourner          	Harry fut même autorisé à regarder la télévision en mangeant un gâteau au chocolat qui avait dû séjourner quelques années au fond d’un placard.
fond               	Harry fut même autorisé à regarder la télévision en mangeant un gâteau au chocolat qui avait dû séjourner quelques années au fond d’un placard.
parader            	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
habit              	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
flamber            	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
frac               	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
pantalon           	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
golf               	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
canotier           	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
élève              	Les élèves de Smelting avaient également une canne dont ils se servaient pour se taper dessus quand les professeurs ne les voyaient pas.
canne              	Les élèves de Smelting avaient également une canne dont ils se servaient pour se taper dessus quand les professeurs ne les voyaient pas.
servir             	Les élèves de Smelting avaient également une canne dont ils se servaient pour se taper dessus quand les professeurs ne les voyaient pas.
