clé            	LE GARDIEN DES CLÉS
bêtement       	– C’était un coup de canon ? demanda-t-il bêtement.
fusil          	Il tenait un fusil à la main.
contenir       	À présent, ils savaient ce que contenait le long paquet qu’il avait eu sous le bras la veille.
armer          	Je vous préviens, je suis armé !
gond           	On cogna sur la porte avec tant de force qu’elle fut arrachée de ses gonds et tomba à plat sur le sol dans un fracas assourdissant.
fracas         	On cogna sur la porte avec tant de force qu’elle fut arrachée de ses gonds et tomba à plat sur le sol dans un fracas assourdissant.
encadrement    	Un véritable géant se tenait dans l’encadrement.
crinière       	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
emmêler        	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
broussailleux  	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
distinctement  	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
scarabée       	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
foisonnement   	Son visage était presque entièrement caché par une longue crinière de cheveux emmêlés et par une grande barbe broussailleuse, mais on voyait distinctement ses yeux qui brillaient comme deux scarabées noirs au milieu de ce foisonnement.
ramasser       	Il se pencha, ramassa la porte et la remit sans difficulté sur ses gonds.
difficulté     	Il se pencha, ramassa la porte et la remit sans difficulté sur ses gonds.
vacarme        	Au-dehors, le vacarme de la tempête s’était un peu atténué.
atténuer       	Au-dehors, le vacarme de la tempête s’était un peu atténué.
refus          	Si vous aviez une tasse de thé, ce ne serait pas de refus, dit le géant.
pétrifier      	Il s’avança vers le canapé où Dudley était resté assis, pétrifié de terreur.
bouger         	– Bouge-toi un peu, gros tas, dit-il.
courir         	Dudley poussa un petit cri et courut se réfugier derrière sa mère, tout aussi terrifiée, qui se cachait elle-même derrière l’oncle Vernon.
réfugier       	Dudley poussa un petit cri et courut se réfugier derrière sa mère, tout aussi terrifiée, qui se cachait elle-même derrière l’oncle Vernon.
terrifier      	Dudley poussa un petit cri et courut se réfugier derrière sa mère, tout aussi terrifiée, qui se cachait elle-même derrière l’oncle Vernon.
ride           	Harry leva la tête vers son visage hirsute et vit de petites rides apparaître autour de ses yeux en forme de scarabée : le géant souriait.
ressembler     	Tu ressembles beaucoup à ton père, mais tu as les yeux de ta maman.
commettre      	Vous avez commis une violation de domicile avec effraction.
violation      	Vous avez commis une violation de domicile avec effraction.
domicile       	Vous avez commis une violation de domicile avec effraction.
effraction     	Vous avez commis une violation de domicile avec effraction.
pruneau        	Ah, ça suffit, Dursley, espèce de vieux pruneau ! dit le géant.
nœud           	Il tendit le bras, arracha le fusil des mains de l’oncle Vernon, fit un nœud avec le canon aussi facilement que s’il avait été en caoutchouc et le jeta dans un coin de la pièce.
facilement     	Il tendit le bras, arracha le fusil des mains de l’oncle Vernon, fit un nœud avec le canon aussi facilement que s’il avait été en caoutchouc et le jeta dans un coin de la pièce.
souris         	L’oncle Vernon émit à nouveau un drôle de bruit, comme une souris sur laquelle on aurait marché.
