traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
fermer          	Il savait qu’il faisait jour, mais il garda les yeux fermés.
nommer          	Dans un demi-sommeil, il se demanda s’il n’avait pas rêvé, si le géant nommé Hagrid existait bien, s’il n’allait pas se retrouver dans son placard lorsqu’il ouvrirait les yeux.
exister         	Dans un demi-sommeil, il se demanda s’il n’avait pas rêvé, si le géant nommé Hagrid existait bien, s’il n’allait pas se retrouver dans son placard lorsqu’il ouvrirait les yeux.
désespéré       	– C’est bien ce que je pensais, marmonna-t-il, désespéré.
cogne           	Voilà la tante Pétunia qui cogne à la porte du placard pour me réveiller.
résigner        	Résigné, il ouvrit les yeux et se redressa.
illuminer       	Le gros manteau de Hagrid glissa de ses épaules et il vit l’intérieur de la cabane illuminé de soleil.
patte           	Hagrid dormait toujours sur le canapé écrasé et Harry aperçut un hibou qui tapait d’une patte au carreau de la fenêtre, un journal dans le bec.
carreau         	Hagrid dormait toujours sur le canapé écrasé et Harry aperçut un hibou qui tapait d’une patte au carreau de la fenêtre, un journal dans le bec.
sensation       	Il éprouvait une telle sensation de bonheur qu’il avait l’impression de sentir son corps flotter comme un ballon.
bonheur         	Il éprouvait une telle sensation de bonheur qu’il avait l’impression de sentir son corps flotter comme un ballon.
menacer         	Harry essaya de le chasser, mais l’oiseau le menaça avec des claquements de bec féroces et continua de s’en prendre au manteau.
payer           	– Paye-le, grommela Hagrid sans bouger de son canapé.
uniquement      	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
trousseau       	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
