type            	– À côté du grand type roux.
quarante        	Il y avait cent quarante-deux escaliers, à Poudlard, des larges, des étroits, des courbes, des carrés, des délabrés, certains avec une ou deux marches escamotables qu’il fallait se souvenir d’enjamber pour ne pas tomber, ou d’autres qui menaient ailleurs le vendredi.
courbe          	Il y avait cent quarante-deux escaliers, à Poudlard, des larges, des étroits, des courbes, des carrés, des délabrés, certains avec une ou deux marches escamotables qu’il fallait se souvenir d’enjamber pour ne pas tomber, ou d’autres qui menaient ailleurs le vendredi.
escamotable     	Il y avait cent quarante-deux escaliers, à Poudlard, des larges, des étroits, des courbes, des carrés, des délabrés, certains avec une ou deux marches escamotables qu’il fallait se souvenir d’enjamber pour ne pas tomber, ou d’autres qui menaient ailleurs le vendredi.
poliment        	Il y avait aussi les portes qui refusaient de s’ouvrir si on ne le leur demandait pas poliment, ou si on ne les chatouillait pas au bon endroit, et d’autres qui n’étaient que des pans de mur déguisés en portes.
chatouiller     	Il y avait aussi les portes qui refusaient de s’ouvrir si on ne le leur demandait pas poliment, ou si on ne les chatouillait pas au bon endroit, et d’autres qui n’étaient que des pans de mur déguisés en portes.
pan             	Il y avait aussi les portes qui refusaient de s’ouvrir si on ne le leur demandait pas poliment, ou si on ne les chatouillait pas au bon endroit, et d’autres qui n’étaient que des pans de mur déguisés en portes.
déguiser        	Il y avait aussi les portes qui refusaient de s’ouvrir si on ne le leur demandait pas poliment, ou si on ne les chatouillait pas au bon endroit, et d’autres qui n’étaient que des pans de mur déguisés en portes.
persuader       	Les gens représentés sur les tableaux accrochés aux murs passaient leur temps à se rendre visite les uns aux autres et Harry était persuadé que les armures se promenaient parfois dans les couloirs.
faciliter       	Quant aux fantômes, ils ne facilitaient pas la tâche.
bombarder       	Quasi-Sans-Tête était toujours heureux d’aider les nouveaux de Gryffondor à trouver leur chemin, mais Peeves, l’esprit frappeur, était pire que deux portes verrouillées et un faux escalier ; il bombardait les nouveaux de morceaux de craie, tirait les tapis sous leurs pieds, renversait des corbeilles à papier sur leur tête ou se glissait silencieusement derrière eux et leur attrapait le nez en hurlant : « JE T’AI EU ! » d’une voix perçante.
craie           	Quasi-Sans-Tête était toujours heureux d’aider les nouveaux de Gryffondor à trouver leur chemin, mais Peeves, l’esprit frappeur, était pire que deux portes verrouillées et un faux escalier ; il bombardait les nouveaux de morceaux de craie, tirait les tapis sous leurs pieds, renversait des corbeilles à papier sur leur tête ou se glissait silencieusement derrière eux et leur attrapait le nez en hurlant : « JE T’AI EU ! » d’une voix perçante.
