duel           	DUEL À MINUIT
détestable     	Harry avait toujours cru qu’il était impossible de rencontrer quelqu’un d’aussi détestable que Dudley, mais c’était avant de faire la connaissance de Drago Malefoy.
hélas          	Hélas, une note au tableau d’affichage les informa que les cours de vol sur balai seraient également communs entre les deux maisons.
affichage      	Hélas, une note au tableau d’affichage les informa que les cours de vol sur balai seraient également communs entre les deux maisons.
ridiculiser    	Je n’attendais que ça : me ridiculiser devant Malefoy en essayant de manier un manche à balai.
leçon          	Les leçons de vol étaient celles qu’il attendait avec le plus d’impatience.
vanter         	Je sais que Malefoy se vante toujours d’être un grand joueur de Quidditch, mais ça ne coûte rien de le dire.
terrain        	Il faudra voir sur le terrain.
héros          	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
invariablement 	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
poursuite      	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
haletant       	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
issue          	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
justesse       	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
hélicoptère    	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
piloter        	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
vanter         	Il n’était d’ailleurs pas le seul à se vanter.
enfance        	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
acrobatie      	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
aérien         	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
collision      	Même Ron racontait à qui voulait l’entendre qu’il avait failli entrer en collision avec un deltaplane alors qu’il pilotait le vieux balai de Charlie.
dispute        	Ron avait déjà eu une longue dispute avec Dean Thomas, qui partageait leur dortoir, à propos du football.
affiche        	Un soir Harry avait surpris Ron en train de tapoter une affiche de Dean représentant l’équipe de football de West Ham pour essayer, en vain, de faire bouger les joueurs.
décision       	Harry songeait en son for intérieur que c’était une sage décision, étant donné le nombre incroyable d’accidents que Neville avait déjà eu dans sa vie en restant les deux pieds sur terre.
jeudi          	Le premier cours de balai volant devait avoir lieu le jeudi.
