miroir            	LE MIROIR DU RISÉD
geler             	Le lac avait gelé et les jumeaux Weasley reçurent une punition pour avoir fabriqué des boules de neige magiques qui suivaient Quirrell partout où il allait en visant son turban.
frigorifier       	Hagrid s’occupait de soigner les quelques hiboux qui arrivaient à traverser l’air glacé pour apporter le courrier, frigorifiés.
chauffer          	Des feux chauffaient la Grande Salle et la salle commune de Gryffondor mais les couloirs étaient parcourus de courants d’air glacés et un vent polaire faisait trembler les fenêtres des salles de classe.
malheureux        	– Je plains beaucoup les malheureux qui devront rester à Poudlard pendant les vacances parce que personne n’en veut à la maison, lança un jour Malefoy pendant un cours de potions.
pouffer           	Crabbe et Goyle pouffèrent de rire, mais Harry n’y prêta aucune attention.
défaite           	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
rieur             	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
remplacer         	Dégoûté par la défaite des Serpentard, il avait essayé de mettre les rieurs de son côté en répétant partout que la prochaine fois, on pourrait remplacer Harry par un crapaud en train de bâiller.
virtuosité        	Mais il s’était très vite rendu compte que sa plaisanterie n’amusait personne car tout le monde avait été impressionné par la virtuosité avec laquelle Harry avait réussi à s’accrocher à son balai.
jaloux            	Jaloux et furieux, Malefoy se consolait en saisissant toutes les occasions de rappeler que Harry n’avait pas de famille digne de ce nom.
sapin             	Lorsqu’ils sortirent du cours de potions, un énorme sapin avançait dans le couloir en haletant, soufflant, ahanant.
trahir            	Les deux pieds immenses qu’on voyait dépasser trahissaient la présence de Hagrid derrière le sapin.
branchage         	– Vous avez besoin d’aide ? demanda Ron en passant la tête parmi les branchages.
viser             	Tu vises la place de garde-chasse quand tu sortiras de Poudlard ?
palace            	C’est vrai que pour quelqu’un de ta famille, la cabane de Hagrid doit avoir l’air d’un palace.
provoquer         	– Il a été provoqué, professeur, dit Hagrid en montrant sa grosse tête hirsute derrière le sapin.
insulter          	Malefoy a insulté sa famille.
doucereux         	– C’est possible, Hagrid, mais il est interdit de se battre, à Poudlard, répliqua Rogue d’un ton doucereux.
gaieté            	– Allons, un peu de gaieté, c’est bientôt Noël, dit Hagrid.
merveille         	Venez un peu avec moi, on va aller voir la Grande Salle, c’est une merveille.
décoration        	Tous trois suivirent Hagrid et son arbre jusqu’à la Grande Salle où le professeur McGonagall et le professeur Flitwick s’affairaient à installer les décorations.
guirlande         	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
