capitolo          	capitolo          	CAPITOLO
il                	il                	IL BAMBINO CHE È SOPRAVVISSUTO
bambino           	bambino           	IL BAMBINO CHE È SOPRAVVISSUTO
che               	che               	IL BAMBINO CHE È SOPRAVVISSUTO
è                 	essere            	IL BAMBINO CHE È SOPRAVVISSUTO
sopravvissuto     	sopravvivere      	IL BAMBINO CHE È SOPRAVVISSUTO
signore           	signore           	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
e                 	e                 	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
di                	di                	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
numero            	numero            	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
orgogliosi        	orgoglioso        	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
affermare         	affermare         	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
perfettamente     	perfettamente     	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
normali           	normale           	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
grazie            	grazie            	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
tante             	tanto             	Il signore e la signora Dursley, di Privet Drive numero 4, erano orgogliosi di affermare di essere perfettamente normali, e grazie tante.
ultime            	ultimo            	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
persone           	persona           	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
al                	a                 	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
mondo             	mondo             	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
da                	da                	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
cui               	cui               	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
aspettarsi        	aspettarsi        	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
cose              	cosa              	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
strane            	strano            	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
o                 	o                 	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
misteriose        	misterioso        	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
perché            	perché            	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
sciocchezze       	sciocchezza       	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
genere            	genere            	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
proprio           	proprio           	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
non               	non               	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
approvavano       	approvare         	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
direttore         	direttore         	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
una               	uno               	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
ditta             	ditta             	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
nome              	nome              	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
fabbricava        	fabbricare        	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
trapani           	trapano           	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
uomo              	uomo              	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
corpulento        	corpulento        	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
nerboruto         	nerboruto         	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
quasi             	quasi             	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
senza             	senza             	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
collo             	collo             	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
con               	con               	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
grosso            	grosso            	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
paio              	paio              	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
baffi             	baffo             	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
magra             	magro             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
bionda            	biondo            	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
due               	due               	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
volte             	volta             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
più               	più               	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
lungo             	lungo             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
tornava           	tornare           	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
assai             	assai             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
utile             	utile             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
dato              	dato              	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
passava           	passare           	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
gran              	grande            	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
parte             	parte             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
tempo             	tempo             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
