HPitb1ch04-0001	chiave	DELLE CHIAVI BUM!
HPitb1ch04-0002	cannone	«Dov’è il cannone?
HPitb1ch04-0003	stupidamente	chiese stupidamente.
HPitb1ch04-0004	slittare	Alle loro spalle si udì un boato e zio Vernon piombò slittando nella stanza.
HPitb1ch04-0005	contenere	In mano aveva un fucile... ora sapevano che cosa conteneva l’involto lungo e sottile che si era portato dietro.
HPitb1ch04-0006	involto	In mano aveva un fucile... ora sapevano che cosa conteneva l’involto lungo e sottile che si era portato dietro.
HPitb1ch04-0007	pausa	«Vi avverto... sono armato!» Ci fu una pausa.
HPitb1ch04-0008	netto	La porta venne colpita con una tale forza che uscì di netto dai cardini e atterrò con uno schianto assordante sul pavimento.
HPitb1ch04-0009	cardine	La porta venne colpita con una tale forza che uscì di netto dai cardini e atterrò con uno schianto assordante sul pavimento.
HPitb1ch04-0010	schianto	La porta venne colpita con una tale forza che uscì di netto dai cardini e atterrò con uno schianto assordante sul pavimento.
HPitb1ch04-0011	stagliarsi	Sulla soglia si stagliava un uomo gigantesco.
HPitb1ch04-0012	criniera	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
HPitb1ch04-0013	incolto	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
HPitb1ch04-0014	aggrovigliare	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
HPitb1ch04-0015	distinguersi	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
HPitb1ch04-0016	scintillare	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
HPitb1ch04-0017	scarafaggio	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
HPitb1ch04-0018	piegarsi	Il gigante sembrò farsi piccolo piccolo per entrare nella catapecchia, piegandosi in modo da sfiorare appena il soffitto con la testa.
HPitb1ch04-0019	rinfilare	Poi si chinò a terra, raccolse la porta e la rinfilò nei cardini con la massima disinvoltura.
HPitb1ch04-0020	massimo	Poi si chinò a terra, raccolse la porta e la rinfilò nei cardini con la massima disinvoltura.
HPitb1ch04-0021	disinvoltura	Poi si chinò a terra, raccolse la porta e la rinfilò nei cardini con la massima disinvoltura.
HPitb1ch04-0022	fragore	Il fragore della tempesta fuori si attutì un poco.
HPitb1ch04-0023	attutirsi	Il fragore della tempesta fuori si attutì un poco.
HPitb1ch04-0024	giacere	Non è stato mica un viaggio facile, eh...» A grandi passi, si avvicinò al divano dove Dudley giaceva pietrificato dal terrore.
HPitb1ch04-0025	pietrificare	Non è stato mica un viaggio facile, eh...» A grandi passi, si avvicinò al divano dove Dudley giaceva pietrificato dal terrore.
HPitb1ch04-0026	terrore	Non è stato mica un viaggio facile, eh...» A grandi passi, si avvicinò al divano dove Dudley giaceva pietrificato dal terrore.
HPitb1ch04-0027	scansarsi	«Scansati, ciccione!» gli intimò lo sconosciuto.
HPitb1ch04-0028	ciccione	«Scansati, ciccione!» gli intimò lo sconosciuto.
HPitb1ch04-0029	squittio	Con uno squittio, Dudley corse a nascondersi dietro la madre, che per il terrore si era rannicchiata dietro zio Vernon.
HPitb1ch04-0030	nascondersi	Con uno squittio, Dudley corse a nascondersi dietro la madre, che per il terrore si era rannicchiata dietro zio Vernon.
HPitb1ch04-0031	socchiudere	Harry alzò lo sguardo su quel volto feroce, misterioso e selvaggio, e vide gli occhi lucidi come scarafaggi socchiudersi in un sorriso.
HPitb1ch04-0032	soldo	«L’ultima volta che ti ho visto, eri ancora un soldo di cacio» disse il gigante.
HPitb1ch04-0033	cacio	«L’ultima volta che ti ho visto, eri ancora un soldo di cacio» disse il gigante.
HPitb1ch04-0034	ingiungere	«Le ingiungo di andarsene immediatamente, signore!» disse.
HPitb1ch04-0035	effrazione	«Questa è un’effrazione bella e buona!» «Ma chiudi il becco, scemo d’un Dursley!» esclamò il gigante;
HPitb1ch04-0036	becco	«Questa è un’effrazione bella e buona!» «Ma chiudi il becco, scemo d’un Dursley!» esclamò il gigante;
HPitb1ch04-0037	scemo	«Questa è un’effrazione bella e buona!» «Ma chiudi il becco, scemo d’un Dursley!» esclamò il gigante;
HPitb1ch04-0038	schienale	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
HPitb1ch04-0039	annodare	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
HPitb1ch04-0040	canna	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
HPitb1ch04-0041	facilità	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
HPitb1ch04-0042	gomma	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
HPitb1ch04-0043	calpestare	Zio Vernon emise un altro rumore strano, come un topo che viene calpestato.
HPitb1ch04-0044	sapore	Ho una cosetta per te... mi sa che a un certo punto mi ci sono seduto sopra, ma il sapore sarà ancora buono».
HPitb1ch04-0045	pastrano	Da una tasca interna del suo pastrano nero estrasse una scatola leggermente schiacciata.
HPitb1ch04-0046	leggermente	Da una tasca interna del suo pastrano nero estrasse una scatola leggermente schiacciata.
HPitb1ch04-0047	schiacciato	Da una tasca interna del suo pastrano nero estrasse una scatola leggermente schiacciata.
HPitb1ch04-0048	appiccicoso	Dentro c’era una torta al cioccolato grossa e appiccicosa con su scritto, a lettere verdi di glassa:
HPitb1ch04-0049	scritto	Dentro c’era una torta al cioccolato grossa e appiccicosa con su scritto, a lettere verdi di glassa:
HPitb1ch04-0050	glassa	Dentro c’era una torta al cioccolato grossa e appiccicosa con su scritto, a lettere verdi di glassa:
HPitb1ch04-0051	perdersi	Voleva dirgli grazie, ma le parole si persero prima di arrivargli alle labbra, e quel che invece gli uscì fu:
HPitb1ch04-0052	presentarsi	«Giusto, va’, non mi sono presentato.
HPitb1ch04-0053	sfregare	«Allora, ’sto tè?» disse poi sfregandosi le mani.
HPitb1ch04-0054	focolare	Lo sguardo gli cadde sul focolare vuoto, a eccezione dei pacchetti di patatine accartocciati, e sbuffò.
HPitb1ch04-0055	eccezione	Lo sguardo gli cadde sul focolare vuoto, a eccezione dei pacchetti di patatine accartocciati, e sbuffò.
HPitb1ch04-0056	accartocciato	Lo sguardo gli cadde sul focolare vuoto, a eccezione dei pacchetti di patatine accartocciati, e sbuffò.
HPitb1ch04-0057	ritrarsi	gli altri non potevano vedere quel che faceva, ma quando si ritrasse, un attimo dopo, il fuoco scoppiettava, illuminando l’umida catapecchia di un tremulo bagliore.
HPitb1ch04-0058	scoppiettare	gli altri non potevano vedere quel che faceva, ma quando si ritrasse, un attimo dopo, il fuoco scoppiettava, illuminando l’umida catapecchia di un tremulo bagliore.
