chiavi          	chiave          	DELLE CHIAVI BUM!
cannone         	cannone         	«Dov’è il cannone?
stupidamente    	stupidamente    	chiese stupidamente.
slittando       	slittare        	Alle loro spalle si udì un boato e zio Vernon piombò slittando nella stanza.
conteneva       	contenere       	In mano aveva un fucile... ora sapevano che cosa conteneva l’involto lungo e sottile che si era portato dietro.
involto         	involto         	In mano aveva un fucile... ora sapevano che cosa conteneva l’involto lungo e sottile che si era portato dietro.
pausa           	pausa           	«Vi avverto... sono armato!» Ci fu una pausa.
netto           	netto           	La porta venne colpita con una tale forza che uscì di netto dai cardini e atterrò con uno schianto assordante sul pavimento.
cardini         	cardine         	La porta venne colpita con una tale forza che uscì di netto dai cardini e atterrò con uno schianto assordante sul pavimento.
schianto        	schianto        	La porta venne colpita con una tale forza che uscì di netto dai cardini e atterrò con uno schianto assordante sul pavimento.
stagliava       	stagliarsi      	Sulla soglia si stagliava un uomo gigantesco.
criniera        	criniera        	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
incolta         	incolto         	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
aggrovigliata   	aggrovigliare   	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
distinguevano   	distinguersi    	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
scintillavano   	scintillare     	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
scarafaggi      	scarafaggio     	Aveva il volto quasi nascosto da una criniera lunga e ispida e da una barba incolta e aggrovigliata, ma si distinguevano gli occhi che scintillavano come scarafaggi neri sotto tutti quei capelli.
piegandosi      	piegarsi        	Il gigante sembrò farsi piccolo piccolo per entrare nella catapecchia, piegandosi in modo da sfiorare appena il soffitto con la testa.
rinfilò         	rinfilare       	Poi si chinò a terra, raccolse la porta e la rinfilò nei cardini con la massima disinvoltura.
massima         	massimo         	Poi si chinò a terra, raccolse la porta e la rinfilò nei cardini con la massima disinvoltura.
disinvoltura    	disinvoltura    	Poi si chinò a terra, raccolse la porta e la rinfilò nei cardini con la massima disinvoltura.
fragore         	fragore         	Il fragore della tempesta fuori si attutì un poco.
attutì          	attutirsi       	Il fragore della tempesta fuori si attutì un poco.
giaceva         	giacere         	Non è stato mica un viaggio facile, eh...» A grandi passi, si avvicinò al divano dove Dudley giaceva pietrificato dal terrore.
pietrificato    	pietrificare    	Non è stato mica un viaggio facile, eh...» A grandi passi, si avvicinò al divano dove Dudley giaceva pietrificato dal terrore.
terrore         	terrore         	Non è stato mica un viaggio facile, eh...» A grandi passi, si avvicinò al divano dove Dudley giaceva pietrificato dal terrore.
scansati        	scansarsi       	«Scansati, ciccione!» gli intimò lo sconosciuto.
ciccione        	ciccione        	«Scansati, ciccione!» gli intimò lo sconosciuto.
squittio        	squittio        	Con uno squittio, Dudley corse a nascondersi dietro la madre, che per il terrore si era rannicchiata dietro zio Vernon.
nascondersi     	nascondersi     	Con uno squittio, Dudley corse a nascondersi dietro la madre, che per il terrore si era rannicchiata dietro zio Vernon.
socchiudersi    	socchiudere     	Harry alzò lo sguardo su quel volto feroce, misterioso e selvaggio, e vide gli occhi lucidi come scarafaggi socchiudersi in un sorriso.
soldo           	soldo           	«L’ultima volta che ti ho visto, eri ancora un soldo di cacio» disse il gigante.
cacio           	cacio           	«L’ultima volta che ti ho visto, eri ancora un soldo di cacio» disse il gigante.
