HPitb1ch05-0001	benché	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
HPitb1ch05-0002	sfondato	Hagrid, in carne e ossa, dormiva sul divano sfondato e un gufo raspava con gli artigli alla finestra, tenendo un giornale nel becco.
HPitb1ch05-0003	raspare	Hagrid, in carne e ossa, dormiva sul divano sfondato e un gufo raspava con gli artigli alla finestra, tenendo un giornale nel becco.
HPitb1ch05-0004	artiglio	Hagrid, in carne e ossa, dormiva sul divano sfondato e un gufo raspava con gli artigli alla finestra, tenendo un giornale nel becco.
HPitb1ch05-0005	leggero	Era talmente contento che si sentiva leggero come un palloncino.
HPitb1ch05-0006	palloncino	Era talmente contento che si sentiva leggero come un palloncino.
HPitb1ch05-0007	svolazzare	Il gufo volò dentro e lasciò cadere il giornale su Hagrid, e poiché non si svegliava, cominciò a svolazzare sul pavimento beccando il suo pastrano.
HPitb1ch05-0008	beccare	Il gufo volò dentro e lasciò cadere il giornale su Hagrid, e poiché non si svegliava, cominciò a svolazzare sul pavimento beccando il suo pastrano.
HPitb1ch05-0009	scacciare	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
HPitb1ch05-0010	schioccare	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
HPitb1ch05-0011	infierire	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
HPitb1ch05-0012	soprabito	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
HPitb1ch05-0013	bisognare	«Come?» «Bisogna pagarlo per la consegna del giornale.
HPitb1ch05-0014	consegna	«Come?» «Bisogna pagarlo per la consegna del giornale.
HPitb1ch05-0015	mazzo	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
HPitb1ch05-0016	repellente	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
HPitb1ch05-0017	granello	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
HPitb1ch05-0018	gomitolo	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
HPitb1ch05-0019	spago	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
HPitb1ch05-0020	menta	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
HPitb1ch05-0021	bustina	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
HPitb1ch05-0022	moneta	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
