benché           	benché          	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
sfondato         	sfondato        	Hagrid, in carne e ossa, dormiva sul divano sfondato e un gufo raspava con gli artigli alla finestra, tenendo un giornale nel becco.
raspava          	raspare         	Hagrid, in carne e ossa, dormiva sul divano sfondato e un gufo raspava con gli artigli alla finestra, tenendo un giornale nel becco.
artigli          	artiglio        	Hagrid, in carne e ossa, dormiva sul divano sfondato e un gufo raspava con gli artigli alla finestra, tenendo un giornale nel becco.
leggero          	leggero         	Era talmente contento che si sentiva leggero come un palloncino.
palloncino       	palloncino      	Era talmente contento che si sentiva leggero come un palloncino.
svolazzare       	svolazzare      	Il gufo volò dentro e lasciò cadere il giornale su Hagrid, e poiché non si svegliava, cominciò a svolazzare sul pavimento beccando il suo pastrano.
beccando         	beccare         	Il gufo volò dentro e lasciò cadere il giornale su Hagrid, e poiché non si svegliava, cominciò a svolazzare sul pavimento beccando il suo pastrano.
scacciarlo       	scacciare       	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
schioccò         	schioccare      	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
infierire        	infierire       	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
soprabito        	soprabito       	Harry cercò di scacciarlo con la mano, ma quello schioccò il becco con aria feroce e continuò a infierire sul soprabito.
bisogna          	bisognare       	«Come?» «Bisogna pagarlo per la consegna del giornale.
consegna         	consegna        	«Come?» «Bisogna pagarlo per la consegna del giornale.
mazzi            	mazzo           	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
repellente       	repellente      	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
granelli         	granello        	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
gomitoli         	gomitolo        	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
spago            	spago           	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
menta            	menta           	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
bustine          	bustina         	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
monete           	moneta          	Mazzi di chiavi, repellente per lumache in granelli, gomitoli di spago, caramelle alla menta, bustine di tè... finalmente, Harry tirò fuori una manciata di monete dall’aspetto strano.
assonnata        	assonnato       	«Dagli cinque zellini» disse Hagrid con voce assonnata.
bronzo           	bronzo          	» «Le monetine di bronzo».
denaro           	denaro          	Harry contò cinque piccole monete di bronzo e il gufo allungò la zampa per consentirgli di mettere il denaro in un borsellino di cuoio che vi portava legato.
borsellino       	borsellino      	Harry contò cinque piccole monete di bronzo e il gufo allungò la zampa per consentirgli di mettere il denaro in un borsellino di cuoio che vi portava legato.
legato           	legare          	Harry contò cinque piccole monete di bronzo e il gufo allungò la zampa per consentirgli di mettere il denaro in un borsellino di cuoio che vi portava legato.
rumorosamente    	rumorosamente   	Hagrid sbadigliò rumorosamente, si mise seduto e si stiracchiò.
stiracchiò       	stiracchiare    	Hagrid sbadigliò rumorosamente, si mise seduto e si stiracchiò.
felicità         	felicità        	Gli era appena venuto in mente un pensiero che lo fece sentire come se quel palloncino di felicità gli si fosse bucato.
bucato           	bucarsi         	Gli era appena venuto in mente un pensiero che lo fece sentire come se quel palloncino di felicità gli si fosse bucato.
centesimo        	centesimo       	«Io non ho soldi... e hai sentito zio Vernon, ieri sera... Lui non tirerà fuori un centesimo perché io frequenti la scuola di magia».
fetta            	fetta           	Acchiappa una salsiccia, fredde non sono malaccio... e non mi dispiacerebbe neanche una fetta della tua torta di compleanno».
rapina           	rapina          	«Sì... E bisogna essere matti per tentare una rapina, te lo dico io.
scherza          	scherzare       	Con i goblin non si scherza.
custodire        	custodire       	La Gringott è il posto più sicuro del mondo, se vuoi custodire qualcosa... tranne Hogwarts, forse.
affari           	affare          	Affari di Hogwarts».
gonfiò           	gonfiare        	Hagrid gonfiò il petto tutto fiero.
petto            	petto           	Hagrid gonfiò il petto tutto fiero.
commissioni      	commissione     	«Di solito lui mi manda a fare le sue commissioni importanti.
terso            	terso           	Ora il cielo era terso e il mare luccicava sotto il sole.
luccicava        	luccicare       	Ora il cielo era terso e il mare luccicava sotto il sole.
affitto          	affitto         	La barca che zio Vernon aveva preso in affitto era ancora lì, piena d’acqua per via del temporale.
temporale        	temporale       	La barca che zio Vernon aveva preso in affitto era ancora lì, piena d’acqua per via del temporale.
volo             	volo            	«In volo» rispose Hagrid.
seccatura        	seccatura       	«Che seccatura dover remare, però» disse Hagrid lanciando a Harry un’altra delle sue occhiate di sottecchi.
remare           	remare          	«Che seccatura dover remare, però» disse Hagrid lanciando a Harry un’altra delle sue occhiate di sottecchi.
sottecchi        	sottecchi       	«Che seccatura dover remare, però» disse Hagrid lanciando a Harry un’altra delle sue occhiate di sottecchi.
accelero         	accelerare      	«Se accelero un po’ la cosa, ti va di non dire niente, quando saremo a Hogwarts?
assistere        	assistere       	» «Certo che sì» disse Harry, che non vedeva l’ora di assistere ad altre magie.
fiancata         	fiancata        	Hagrid estrasse di nuovo l’ombrello rosa, lo batté due volte sulla fiancata della barca e partirono verso terra a tutta velocità.
organizzare      	organizzare     	«Perché bisogna essere matti per organizzare una rapina alla Gringott?» chiese Harry.
sfogliando       	sfogliare       	«Magie... incantesimi» disse Hagrid, sfogliando il giornale mentre parlava.
guardia          	guardia         	«Dicono che a guardia delle camere blindate ci sono dei draghi.
blindate         	blindato        	«Dicono che a guardia delle camere blindate ci sono dei draghi.
draghi           	drago           	«Dicono che a guardia delle camere blindate ci sono dei draghi.
chilometri       	chilometro      	E poi bisogna trovare la strada... Vedi, la Gringott si trova centinaia di chilometri sotto Londra.
crepare          	crepare         	Anche se riesci a mettere le mani su qualcosa, prima di rivedere la luce fai in tempo a crepare di fame».
gazzetta         	gazzetta        	Harry continuava a pensare a tutte queste cose mentre Hagrid leggeva il giornale, La Gazzetta del Profeta.
profeta          	profeta         	Harry continuava a pensare a tutte queste cose mentre Hagrid leggeva il giornale, La Gazzetta del Profeta.
ministero        	ministero       	«Il Ministero della Magia ha fatto dei pasticci, come al solito» borbottò Hagrid girando pagina.
pasticci         	pasticcio       	«Il Ministero della Magia ha fatto dei pasticci, come al solito» borbottò Hagrid girando pagina.
pagina           	pagina          	«Il Ministero della Magia ha fatto dei pasticci, come al solito» borbottò Hagrid girando pagina.
trattenersi      	trattenersi     	» chiese Harry, incapace di trattenersi.
ministro         	ministro        	«Naturalmente, come Ministro volevano Silente, ma lui non lascerebbe mai Hogwarts, e così l’incarico è andato al vecchio Cornelius Fudge.
lascerebbe       	lascare         	«Naturalmente, come Ministro volevano Silente, ma lui non lascerebbe mai Hogwarts, e così l’incarico è andato al vecchio Cornelius Fudge.
incarico         	incarico        	«Naturalmente, come Ministro volevano Silente, ma lui non lascerebbe mai Hogwarts, e così l’incarico è andato al vecchio Cornelius Fudge.
casinista        	casinista       	È casinista come pochi:
altrimenti       	altrimenti      	Diamine, Harry, perché tutti altrimenti vogliono risolvere i loro problemi con la magia.
risolvere        	risolvere       	Diamine, Harry, perché tutti altrimenti vogliono risolvere i loro problemi con la magia.
immischiamo      	immischiare     	No, è meglio che non ci immischiamo».
urtò             	urtare          	In quel momento, la barca urtò dolcemente la banchina del porto.
banchina         	banchina        	In quel momento, la barca urtò dolcemente la banchina del porto.
ripiegò          	ripiegare       	Hagrid ripiegò il giornale ed entrambi risalirono la scaletta di pietra che portava alla strada.
scaletta         	scaletta        	Hagrid ripiegò il giornale ed entrambi risalirono la scaletta di pietra che portava alla strada.
pietra           	pietra          	Hagrid ripiegò il giornale ed entrambi risalirono la scaletta di pietra che portava alla strada.
cittadina        	cittadino       	I passanti guardavano Hagrid con tanto d’occhi, mentre i due attraversavano la cittadina diretti alla stazione.
stazione         	stazione        	I passanti guardavano Hagrid con tanto d’occhi, mentre i due attraversavano la cittadina diretti alla stazione.
comuni           	comune          	Non soltanto Hagrid era due volte più alto del normale, ma continuava a additare cose del tutto comuni, come i parchimetri, dicendo ad alta voce:
parchimetri      	parchimetro     	Non soltanto Hagrid era due volte più alto del normale, ma continuava a additare cose del tutto comuni, come i parchimetri, dicendo ad alta voce:
inventano        	inventare       	Questa è la roba che si inventano i Babbani!
caspita          	caspita         	«Caspita, quanto mi piacerebbe avere un drago».
treno            	treno           	Il treno per Londra partiva di lì a cinque minuti.
banconote        	banconota       	Hagrid, che non capiva i ‘soldi dei Babbani’, come li chiamava lui, diede le banconote a Harry perché comprasse i biglietti.
sferruzzare      	sferruzzare     	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
tendone          	tendone         	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
circo            	circo           	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
canarino         	canarino        	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
maglie           	maglia          	«Hai ancora la lettera, Harry?» chiese mentre contava le maglie.
foglio           	foglio          	Harry spiegò un secondo foglio che la sera prima non aveva notato e lesse.
studenti         	studente        	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Uniforme Gli studenti del primo anno dovranno avere:
divise           	divisa          	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
tinta            	tinta           	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
unita            	unito           	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
punta            	punta           	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
guanti           	guanto          	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
protezione       	protezione      	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
invernale        	invernale       	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
alamari          	alamaro         	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
indumenti        	indumento       	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
allievi          	allievo         	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
contrassegnati   	contrassegnare  	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
targhetta        	targhetta       	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
copia            	copia           	Libri di testo Tutti gli allievi dovranno avere una copia dei seguenti testi:
seguenti         	seguente        	Libri di testo Tutti gli allievi dovranno avere una copia dei seguenti testi:
manuale          	manuale         	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
teoria           	teoria          	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
guida            	guida           	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
