HPitb1ch07-0001	parlante	CAPITOLO 7 IL CAPPELLO PARLANTE La porta si aprì all’istante.
HPitb1ch07-0002	contrariare	è una persona che bisogna evitare di contrariare.
HPitb1ch07-0003	comodamente	La Sala d’Ingresso era così grande che ci sarebbe entrata comodamente tutta la casa dei Dursley.
HPitb1ch07-0004	fiammeggiante	Le pareti di pietra erano illuminate da torce fiammeggianti come quelle della Gringott, il soffitto era talmente alto che si scorgeva a malapena e di fronte a loro una sontuosa scalinata in marmo conduceva ai piani superiori.
HPitb1ch07-0005	sontuoso	Le pareti di pietra erano illuminate da torce fiammeggianti come quelle della Gringott, il soffitto era talmente alto che si scorgeva a malapena e di fronte a loro una sontuosa scalinata in marmo conduceva ai piani superiori.
HPitb1ch07-0006	lastra	I ragazzi seguirono la professoressa McGonagall calpestando il pavimento a lastre di pietra.
HPitb1ch07-0007	scolaresca	Harry udiva il brusio di centinaia di voci provenire da una porta a destra – il resto della scolaresca doveva essere già arrivato – ma la professoressa McGonagall condusse quelli del primo anno in una saletta vuota, oltre la Sala d’Ingresso.
HPitb1ch07-0008	stiparsi	Ci si stiparono dentro, molto più pigiati di quanto normalmente avrebbero fatto, guardandosi intorno tutti nervosi.
HPitb1ch07-0009	pigiare	Ci si stiparono dentro, molto più pigiati di quanto normalmente avrebbero fatto, guardandosi intorno tutti nervosi.
HPitb1ch07-0010	breve	«Il banchetto per l’inizio dell’anno scolastico avrà luogo tra breve, ma prima di prendere posto nella Sala Grande, verrete smistati nelle vostre Case.
HPitb1ch07-0011	smistare	«Il banchetto per l’inizio dell’anno scolastico avrà luogo tra breve, ma prima di prendere posto nella Sala Grande, verrete smistati nelle vostre Case.
HPitb1ch07-0012	vostro	«Il banchetto per l’inizio dell’anno scolastico avrà luogo tra breve, ma prima di prendere posto nella Sala Grande, verrete smistati nelle vostre Case.
HPitb1ch07-0013	smistamento	Lo Smistamento è una cerimonia molto importante, perché per tutto il tempo che passerete qui a Hogwarts, la vostra Casa sarà un po’ come la vostra famiglia.
HPitb1ch07-0014	cerimonia	Lo Smistamento è una cerimonia molto importante, perché per tutto il tempo che passerete qui a Hogwarts, la vostra Casa sarà un po’ come la vostra famiglia.
HPitb1ch07-0015	lezione	Frequenterete le lezioni con i vostri compagni di Casa, dormirete nei dormitori della vostra Casa e passerete il tempo libero nella sala comune della vostra Casa.
HPitb1ch07-0016	dormitorio	Frequenterete le lezioni con i vostri compagni di Casa, dormirete nei dormitori della vostra Casa e passerete il tempo libero nella sala comune della vostra Casa.
HPitb1ch07-0017	sfornare	Ciascuna ha la sua nobile storia e ciascuna ha sfornato maghi e streghe di prim’ordine.
HPitb1ch07-0018	violazione	Per il tempo che resterete a Hogwarts, i trionfi che otterrete faranno vincere punti alla vostra Casa, mentre ogni violazione delle regole gliene farà perdere.
HPitb1ch07-0019	totalizzare	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
HPitb1ch07-0020	premiare	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
HPitb1ch07-0021	coppa	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
HPitb1ch07-0022	costituire	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
HPitb1ch07-0023	lustro	Spero che ognuno di voi darà lustro alla Casa cui verrà destinato.
HPitb1ch07-0024	rimettersi	Nell’attesa, vi suggerisco di rimettervi il più possibile in ordine».
HPitb1ch07-0025	indugiare	E così dicendo, i suoi occhi indugiarono per un attimo sul mantello di Neville, che era tutto storto, e sul naso sporco di Ron.
HPitb1ch07-0026	prova	«Una specie di prova, credo.
HPitb1ch07-0027	ansioso	Si guardò intorno ansioso e vide che tutti gli altri erano terrorizzati quanto lui.
HPitb1ch07-0028	spiattellare	Nessuno aveva molta voglia di parlare, tranne Hermione Granger che stava spiattellando a bassa voce, con parlantina inarrestabile, tutti gli incantesimi che aveva imparato, chiedendosi di quale dei tanti avrebbe dovuto servirsi.
HPitb1ch07-0029	parlantina	Nessuno aveva molta voglia di parlare, tranne Hermione Granger che stava spiattellando a bassa voce, con parlantina inarrestabile, tutti gli incantesimi che aveva imparato, chiedendosi di quale dei tanti avrebbe dovuto servirsi.
HPitb1ch07-0030	inarrestabile	Nessuno aveva molta voglia di parlare, tranne Hermione Granger che stava spiattellando a bassa voce, con parlantina inarrestabile, tutti gli incantesimi che aveva imparato, chiedendosi di quale dei tanti avrebbe dovuto servirsi.
HPitb1ch07-0031	disperatamente	Harry cercava disperatamente di non ascoltarla.
HPitb1ch07-0032	nota	Non era mai stato tanto nervoso in vita sua, mai, neanche quando era tornato a casa dai Dursley con una nota della scuola in cui si diceva che, non si sapeva come, aveva fatto diventare blu il parrucchino dell’insegnante.
HPitb1ch07-0033	blu	Non era mai stato tanto nervoso in vita sua, mai, neanche quando era tornato a casa dai Dursley con una nota della scuola in cui si diceva che, non si sapeva come, aveva fatto diventare blu il parrucchino dell’insegnante.
HPitb1ch07-0034	destino	Ormai ogni momento era buono perché la professoressa McGonagall tornasse per condurlo verso il suo destino.
HPitb1ch07-0035	letteralmente	Poi accadde una cosa che gli fece letteralmente fare un salto... Dietro di lui, molti ragazzi gridarono.
HPitb1ch07-0036	ventina	Una ventina di fantasmi erano appena entrati nella stanza, attraversando la parete in fondo.
HPitb1ch07-0037	fantasma	Una ventina di fantasmi erano appena entrati nella stanza, attraversando la parete in fondo.
HPitb1ch07-0038	perlaceo	Di color bianco perlaceo e leggermente trasparenti, scivolavano per la stanza parlando tra loro quasi senza guardare gli allievi del primo anno.
HPitb1ch07-0039	trasparente	Di color bianco perlaceo e leggermente trasparenti, scivolavano per la stanza parlando tra loro quasi senza guardare gli allievi del primo anno.
HPitb1ch07-0040	monaco	Quello che assomigliava a un monaco piccolo e grasso stava dicendo:
HPitb1ch07-0041	perdonare	«Io sono dell’idea che bisogna perdonare e dimenticare;
HPitb1ch07-0042	frate	dobbiamo dargli un’altra possibilità...» «Mio caro Frate, non abbiamo forse dato a Peeves tutte le possibilità che meritava?
HPitb1ch07-0043	discredito	Non fa che gettare discredito sul nostro nome, e poi non è neanche un vero e proprio fantasma... Ehi, dico, che cosa ci fate qui?» Un fantasma in calzamaglia e gorgiera aveva d’un tratto notato gli studenti del primo anno.
HPitb1ch07-0044	calzamaglia	Non fa che gettare discredito sul nostro nome, e poi non è neanche un vero e proprio fantasma... Ehi, dico, che cosa ci fate qui?» Un fantasma in calzamaglia e gorgiera aveva d’un tratto notato gli studenti del primo anno.
HPitb1ch07-0045	gorgiera	Non fa che gettare discredito sul nostro nome, e poi non è neanche un vero e proprio fantasma... Ehi, dico, che cosa ci fate qui?» Un fantasma in calzamaglia e gorgiera aveva d’un tratto notato gli studenti del primo anno.
HPitb1ch07-0046	sgombrare	«E ora, sgombrare!» ordinò una voce aspra.
HPitb1ch07-0047	dileguarsi	Uno a uno, i fantasmi si dileguarono attraversando la parete di fronte.
HPitb1ch07-0048	piombo	Harry, sentendosi le gambe pesanti come il piombo, si mise in fila dietro a un ragazzo dai capelli rossicci e Ron dietro di lui.
HPitb1ch07-0049	rossiccio	Harry, sentendosi le gambe pesanti come il piombo, si mise in fila dietro a un ragazzo dai capelli rossicci e Ron dietro di lui.
HPitb1ch07-0050	doppio	Uscirono dalla stanza, attraversarono di nuovo la Sala d’Ingresso, oltrepassarono un paio di doppie porte, ed entrarono nella Sala Grande.
HPitb1ch07-0051	splendido	Harry non aveva mai immaginato in vita sua che potesse esistere un posto tanto splendido e sorprendente.
HPitb1ch07-0052	sorprendente	Harry non aveva mai immaginato in vita sua che potesse esistere un posto tanto splendido e sorprendente.
HPitb1ch07-0053	candela	La sala era illuminata da migliaia e migliaia di candele sospese a mezz’aria sopra quattro lunghi tavoli, intorno ai quali erano seduti gli altri studenti.
HPitb1ch07-0054	apparecchiare	I tavoli erano apparecchiati con piatti e calici d’oro scintillanti.
HPitb1ch07-0055	rialzato	In fondo, rialzato, c’era un altro tavolo lungo, intorno al quale erano seduti gli insegnanti.
HPitb1ch07-0056	punteggiare	Qua e là, tra gli studenti, i fantasmi punteggiavano la sala come velate luci argentee.
HPitb1ch07-0057	trapungere	Soprattutto per evitare tutti quegli occhi che li fissavano, Harry alzò lo sguardo in alto e vide un soffitto di un nero intenso trapunto di stelle.
HPitb1ch07-0058	collocare	Rapidamente Harry abbassò di nuovo lo sguardo, mentre la professoressa McGonagall, senza fare rumore, collocava uno sgabello a quattro gambe davanti agli allievi del primo anno.
HPitb1ch07-0059	rattoppare	Era un cappello tutto rattoppato, consunto e pieno di macchie.
HPitb1ch07-0060	consunto	Era un cappello tutto rattoppato, consunto e pieno di macchie.
HPitb1ch07-0061	macchia	Era un cappello tutto rattoppato, consunto e pieno di macchie.
HPitb1ch07-0062	coniglio	Forse sarebbe stato chiesto loro di estrarne un coniglio, pensò Harry emozionato.
HPitb1ch07-0063	assoluto	Per qualche secondo regnò il silenzio più assoluto.
HPitb1ch07-0064	contrarsi	Poi il cappello si contrasse.
HPitb1ch07-0065	strappo	Uno strappo vicino al bordo si spalancò come una bocca, e lui cominciò a cantare:
HPitb1ch07-0066	cantare	Uno strappo vicino al bordo si spalancò come una bocca, e lui cominciò a cantare:
HPitb1ch07-0067	scappellarsi	io ve lo giuro che mi scappello se uno migliore ne troverete.
HPitb1ch07-0068	bombetta	Potete tenervi le vostre bombette, i vostri cilindri lucidi e alteri, son io quello che a posto vi mette e al mio confronto gli altri son zeri.
HPitb1ch07-0069	altero	Potete tenervi le vostre bombette, i vostri cilindri lucidi e alteri, son io quello che a posto vi mette e al mio confronto gli altri son zeri.
HPitb1ch07-0070	zero	Potete tenervi le vostre bombette, i vostri cilindri lucidi e alteri, son io quello che a posto vi mette e al mio confronto gli altri son zeri.
HPitb1ch07-0071	culla	È forse Grifondoro la vostra via, culla dei coraggiosi di cuore:
HPitb1ch07-0072	audacia	audacia, fegato, cavalleria fan di quel luogo uno splendore.
HPitb1ch07-0073	cavalleria	audacia, fegato, cavalleria fan di quel luogo uno splendore.
HPitb1ch07-0074	splendore	audacia, fegato, cavalleria fan di quel luogo uno splendore.
HPitb1ch07-0075	albergare	O forse è a Tassofrasso la vostra vita, dove chi alberga è giusto e leale:
HPitb1ch07-0076	leale	O forse è a Tassofrasso la vostra vita, dove chi alberga è giusto e leale:
HPitb1ch07-0077	pazienza	qui la pazienza regna infinita e il duro lavoro non è innaturale.
HPitb1ch07-0078	infinito	qui la pazienza regna infinita e il duro lavoro non è innaturale.
HPitb1ch07-0079	innaturale	qui la pazienza regna infinita e il duro lavoro non è innaturale.
HPitb1ch07-0080	sapienza	Oppure Corvonero, il vecchio e il saggio, se siete svegli e pronti di mente, ragione e sapienza qui trovan linguaggio che si confà a simile gente.
HPitb1ch07-0081	linguaggio	Oppure Corvonero, il vecchio e il saggio, se siete svegli e pronti di mente, ragione e sapienza qui trovan linguaggio che si confà a simile gente.
HPitb1ch07-0082	confarsi	Oppure Corvonero, il vecchio e il saggio, se siete svegli e pronti di mente, ragione e sapienza qui trovan linguaggio che si confà a simile gente.
HPitb1ch07-0083	astuto	O forse a Serpeverde, ragazzi miei, voi troverete gli amici migliori, quei tipi astuti e per niente babbei che qui raggiungono fini e onori!
HPitb1ch07-0084	dunque	Venite dunque senza paure e mettetemi in capo all’istante;
HPitb1ch07-0085	filastrocca	con me sarete in mani sicure perché io sono un Cappello Parlante!» Non appena ebbe terminato la sua filastrocca, tutta la sala scoppiò in un applauso fragoroso.
HPitb1ch07-0086	applauso	con me sarete in mani sicure perché io sono un Cappello Parlante!» Non appena ebbe terminato la sua filastrocca, tutta la sala scoppiò in un applauso fragoroso.
HPitb1ch07-0087	fragoroso	con me sarete in mani sicure perché io sono un Cappello Parlante!» Non appena ebbe terminato la sua filastrocca, tutta la sala scoppiò in un applauso fragoroso.
HPitb1ch07-0088	blaterare	continuava a blaterare di un combattimento con un troll!» Harry sorrise debolmente.
HPitb1ch07-0089	combattimento	continuava a blaterare di un combattimento con un troll!» Harry sorrise debolmente.
HPitb1ch07-0090	troll	continuava a blaterare di un combattimento con un troll!» Harry sorrise debolmente.
HPitb1ch07-0091	separato	Sì, indossare il cappello era molto meglio che dover fare un incantesimo, ma gli sarebbe piaciuto che la cosa avvenisse in separata sede, non sotto gli occhi di tutti.
HPitb1ch07-0092	sede	Sì, indossare il cappello era molto meglio che dover fare un incantesimo, ma gli sarebbe piaciuto che la cosa avvenisse in separata sede, non sotto gli occhi di tutti.
HPitb1ch07-0093	salutare	Harry vide il fantasma del Frate Grasso salutarla allegramente con la mano.
HPitb1ch07-0094	egli	molti allievi della Casa di Corvonero si alzarono per stringere la mano a Terry, quando egli ebbe preso posto tra loro.
