parlante       	parlante        	CAPITOLO 7 IL CAPPELLO PARLANTE La porta si aprì all’istante.
contrariare    	contrariare     	è una persona che bisogna evitare di contrariare.
comodamente    	comodamente     	La Sala d’Ingresso era così grande che ci sarebbe entrata comodamente tutta la casa dei Dursley.
fiammeggianti  	fiammeggiante   	Le pareti di pietra erano illuminate da torce fiammeggianti come quelle della Gringott, il soffitto era talmente alto che si scorgeva a malapena e di fronte a loro una sontuosa scalinata in marmo conduceva ai piani superiori.
sontuosa       	sontuoso        	Le pareti di pietra erano illuminate da torce fiammeggianti come quelle della Gringott, il soffitto era talmente alto che si scorgeva a malapena e di fronte a loro una sontuosa scalinata in marmo conduceva ai piani superiori.
lastre         	lastra          	I ragazzi seguirono la professoressa McGonagall calpestando il pavimento a lastre di pietra.
scolaresca     	scolaresca      	Harry udiva il brusio di centinaia di voci provenire da una porta a destra – il resto della scolaresca doveva essere già arrivato – ma la professoressa McGonagall condusse quelli del primo anno in una saletta vuota, oltre la Sala d’Ingresso.
stiparono      	stiparsi        	Ci si stiparono dentro, molto più pigiati di quanto normalmente avrebbero fatto, guardandosi intorno tutti nervosi.
pigiati        	pigiare         	Ci si stiparono dentro, molto più pigiati di quanto normalmente avrebbero fatto, guardandosi intorno tutti nervosi.
breve          	breve           	«Il banchetto per l’inizio dell’anno scolastico avrà luogo tra breve, ma prima di prendere posto nella Sala Grande, verrete smistati nelle vostre Case.
smistati       	smistare        	«Il banchetto per l’inizio dell’anno scolastico avrà luogo tra breve, ma prima di prendere posto nella Sala Grande, verrete smistati nelle vostre Case.
vostre         	vostro          	«Il banchetto per l’inizio dell’anno scolastico avrà luogo tra breve, ma prima di prendere posto nella Sala Grande, verrete smistati nelle vostre Case.
smistamento    	smistamento     	Lo Smistamento è una cerimonia molto importante, perché per tutto il tempo che passerete qui a Hogwarts, la vostra Casa sarà un po’ come la vostra famiglia.
cerimonia      	cerimonia       	Lo Smistamento è una cerimonia molto importante, perché per tutto il tempo che passerete qui a Hogwarts, la vostra Casa sarà un po’ come la vostra famiglia.
lezioni        	lezione         	Frequenterete le lezioni con i vostri compagni di Casa, dormirete nei dormitori della vostra Casa e passerete il tempo libero nella sala comune della vostra Casa.
dormitori      	dormitorio      	Frequenterete le lezioni con i vostri compagni di Casa, dormirete nei dormitori della vostra Casa e passerete il tempo libero nella sala comune della vostra Casa.
sfornato       	sfornare        	Ciascuna ha la sua nobile storia e ciascuna ha sfornato maghi e streghe di prim’ordine.
violazione     	violazione      	Per il tempo che resterete a Hogwarts, i trionfi che otterrete faranno vincere punti alla vostra Casa, mentre ogni violazione delle regole gliene farà perdere.
totalizzato    	totalizzare     	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
premiata       	premiare        	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
coppa          	coppa           	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
costituisce    	costituire      	Alla fine dell’anno, la Casa che avrà totalizzato più punti verrà premiata con la Coppa delle Case, il che costituisce un grande onore.
lustro         	lustro          	Spero che ognuno di voi darà lustro alla Casa cui verrà destinato.
rimettervi     	rimettersi      	Nell’attesa, vi suggerisco di rimettervi il più possibile in ordine».
indugiarono    	indugiare       	E così dicendo, i suoi occhi indugiarono per un attimo sul mantello di Neville, che era tutto storto, e sul naso sporco di Ron.
prova          	prova           	«Una specie di prova, credo.
ansioso        	ansioso         	Si guardò intorno ansioso e vide che tutti gli altri erano terrorizzati quanto lui.
spiattellando  	spiattellare    	Nessuno aveva molta voglia di parlare, tranne Hermione Granger che stava spiattellando a bassa voce, con parlantina inarrestabile, tutti gli incantesimi che aveva imparato, chiedendosi di quale dei tanti avrebbe dovuto servirsi.
parlantina     	parlantina      	Nessuno aveva molta voglia di parlare, tranne Hermione Granger che stava spiattellando a bassa voce, con parlantina inarrestabile, tutti gli incantesimi che aveva imparato, chiedendosi di quale dei tanti avrebbe dovuto servirsi.
inarrestabile  	inarrestabile   	Nessuno aveva molta voglia di parlare, tranne Hermione Granger che stava spiattellando a bassa voce, con parlantina inarrestabile, tutti gli incantesimi che aveva imparato, chiedendosi di quale dei tanti avrebbe dovuto servirsi.
disperatamente 	disperatamente  	Harry cercava disperatamente di non ascoltarla.
nota           	nota            	Non era mai stato tanto nervoso in vita sua, mai, neanche quando era tornato a casa dai Dursley con una nota della scuola in cui si diceva che, non si sapeva come, aveva fatto diventare blu il parrucchino dell’insegnante.
blu            	blu             	Non era mai stato tanto nervoso in vita sua, mai, neanche quando era tornato a casa dai Dursley con una nota della scuola in cui si diceva che, non si sapeva come, aveva fatto diventare blu il parrucchino dell’insegnante.
destino        	destino         	Ormai ogni momento era buono perché la professoressa McGonagall tornasse per condurlo verso il suo destino.
letteralmente  	letteralmente   	Poi accadde una cosa che gli fece letteralmente fare un salto... Dietro di lui, molti ragazzi gridarono.
ventina        	ventina         	Una ventina di fantasmi erano appena entrati nella stanza, attraversando la parete in fondo.
fantasmi       	fantasma        	Una ventina di fantasmi erano appena entrati nella stanza, attraversando la parete in fondo.
perlaceo       	perlaceo        	Di color bianco perlaceo e leggermente trasparenti, scivolavano per la stanza parlando tra loro quasi senza guardare gli allievi del primo anno.
trasparenti    	trasparente     	Di color bianco perlaceo e leggermente trasparenti, scivolavano per la stanza parlando tra loro quasi senza guardare gli allievi del primo anno.
monaco         	monaco          	Quello che assomigliava a un monaco piccolo e grasso stava dicendo:
perdonare      	perdonare       	«Io sono dell’idea che bisogna perdonare e dimenticare;
frate          	frate           	dobbiamo dargli un’altra possibilità...» «Mio caro Frate, non abbiamo forse dato a Peeves tutte le possibilità che meritava?
discredito     	discredito      	Non fa che gettare discredito sul nostro nome, e poi non è neanche un vero e proprio fantasma... Ehi, dico, che cosa ci fate qui?» Un fantasma in calzamaglia e gorgiera aveva d’un tratto notato gli studenti del primo anno.
calzamaglia    	calzamaglia     	Non fa che gettare discredito sul nostro nome, e poi non è neanche un vero e proprio fantasma... Ehi, dico, che cosa ci fate qui?» Un fantasma in calzamaglia e gorgiera aveva d’un tratto notato gli studenti del primo anno.
gorgiera       	gorgiera        	Non fa che gettare discredito sul nostro nome, e poi non è neanche un vero e proprio fantasma... Ehi, dico, che cosa ci fate qui?» Un fantasma in calzamaglia e gorgiera aveva d’un tratto notato gli studenti del primo anno.
sgombrare      	sgombrare       	«E ora, sgombrare!» ordinò una voce aspra.
dileguarono    	dileguarsi      	Uno a uno, i fantasmi si dileguarono attraversando la parete di fronte.
piombo         	piombo          	Harry, sentendosi le gambe pesanti come il piombo, si mise in fila dietro a un ragazzo dai capelli rossicci e Ron dietro di lui.
rossicci       	rossiccio       	Harry, sentendosi le gambe pesanti come il piombo, si mise in fila dietro a un ragazzo dai capelli rossicci e Ron dietro di lui.
doppie         	doppio          	Uscirono dalla stanza, attraversarono di nuovo la Sala d’Ingresso, oltrepassarono un paio di doppie porte, ed entrarono nella Sala Grande.
splendido      	splendido       	Harry non aveva mai immaginato in vita sua che potesse esistere un posto tanto splendido e sorprendente.
sorprendente   	sorprendente    	Harry non aveva mai immaginato in vita sua che potesse esistere un posto tanto splendido e sorprendente.
candele        	candela         	La sala era illuminata da migliaia e migliaia di candele sospese a mezz’aria sopra quattro lunghi tavoli, intorno ai quali erano seduti gli altri studenti.
apparecchiati  	apparecchiare   	I tavoli erano apparecchiati con piatti e calici d’oro scintillanti.
rialzato       	rialzato        	In fondo, rialzato, c’era un altro tavolo lungo, intorno al quale erano seduti gli insegnanti.
punteggiavano  	punteggiare     	Qua e là, tra gli studenti, i fantasmi punteggiavano la sala come velate luci argentee.
