HPitb1ch08-0001	maestro	MAESTRO DELLE POZIONI «Guarda lì!
HPitb1ch08-0002	spazioso	alcune ampie e spaziose;
HPitb1ch08-0003	pericolante	altre strette e pericolanti;
HPitb1ch08-0004	cortesemente	Poi c’erano porte che non si aprivano, a meno di non chiederglielo cortesemente o di non far loro il solletico nel punto giusto, e porte che non erano affatto porte ma solidi muri che facevano finta di esserlo.
HPitb1ch08-0005	solletico	Poi c’erano porte che non si aprivano, a meno di non chiederglielo cortesemente o di non far loro il solletico nel punto giusto, e porte che non erano affatto porte ma solidi muri che facevano finta di esserlo.
HPitb1ch08-0006	soggetto	Era anche molto difficile ricordare dove fossero le cose, perché tutto sembrava soggetto a incessanti spostamenti:
HPitb1ch08-0007	incessante	Era anche molto difficile ricordare dove fossero le cose, perché tutto sembrava soggetto a incessanti spostamenti:
HPitb1ch08-0008	spostamento	Era anche molto difficile ricordare dove fossero le cose, perché tutto sembrava soggetto a incessanti spostamenti:
HPitb1ch08-0009	personaggio	i personaggi dei ritratti si allontanavano continuamente per farsi visita l’un l’altro e Harry avrebbe giurato che le armature se ne andassero a zonzo.
HPitb1ch08-0010	visita	i personaggi dei ritratti si allontanavano continuamente per farsi visita l’un l’altro e Harry avrebbe giurato che le armature se ne andassero a zonzo.
HPitb1ch08-0011	zonzo	i personaggi dei ritratti si allontanavano continuamente per farsi visita l’un l’altro e Harry avrebbe giurato che le armature se ne andassero a zonzo.
HPitb1ch08-0012	situazione	Neanche i fantasmi contribuivano a rendere più semplice la situazione.
HPitb1ch08-0013	choc	Era sempre un terribile choc quando uno di loro, all’improvviso, scivolava attraverso una porta mentre stavi cercando di aprirla.
HPitb1ch08-0014	trabocchetto	Nick-Quasi-Senza-Testa era sempre lieto di indicare ai Grifondoro la giusta direzione, ma se incontravi Peeves il Poltergeist quando eri in ritardo per una lezione, era come imbattersi contemporaneamente in due porte sprangate e una scala a trabocchetto.
HPitb1ch08-0015	cesto	Ti rovesciava in testa il cestino della carta straccia, ti sfilava il tappeto da sotto i piedi, ti lanciava addosso pezzi di gessetto oppure, avvicinatosi di soppiatto, ti afferrava il naso e strillava:
HPitb1ch08-0016	gessetto	Ti rovesciava in testa il cestino della carta straccia, ti sfilava il tappeto da sotto i piedi, ti lanciava addosso pezzi di gessetto oppure, avvicinatosi di soppiatto, ti afferrava il naso e strillava:
HPitb1ch08-0017	soppiatto	Ti rovesciava in testa il cestino della carta straccia, ti sfilava il tappeto da sotto i piedi, ti lanciava addosso pezzi di gessetto oppure, avvicinatosi di soppiatto, ti afferrava il naso e strillava:
HPitb1ch08-0018	sfortunatamente	Filch li sorprese mentre cercavano di aprire una porta, che sfortunatamente risultò essere l’entrata del corridoio del terzo piano, cui era vietato l’accesso agli studenti.
HPitb1ch08-0019	entrata	Filch li sorprese mentre cercavano di aprire una porta, che sfortunatamente risultò essere l’entrata del corridoio del terzo piano, cui era vietato l’accesso agli studenti.
HPitb1ch08-0020	convinto	Non volle credere che si fossero smarriti, convinto com’era che stessero cercando di forzare la porta di proposito.
HPitb1ch08-0021	forzare	Non volle credere che si fossero smarriti, convinto com’era che stessero cercando di forzare la porta di proposito.
HPitb1ch08-0022	minacciare	Li stava giusto minacciando di rinchiuderli nei sotterranei quando il professor Quirrell, che passava di là, li aveva salvati.
HPitb1ch08-0023	salvare	Li stava giusto minacciando di rinchiuderli nei sotterranei quando il professor Quirrell, che passava di là, li aveva salvati.
HPitb1ch08-0024	gatta	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
HPitb1ch08-0025	creatura	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
HPitb1ch08-0026	cenere	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
HPitb1ch08-0027	sporgente	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
HPitb1ch08-0028	pattugliare	La gatta pattugliava i corridoi da sola.
HPitb1ch08-0029	infrangere	Bastava infrangere una regola di fronte a lei, mettere appena un piede fuori riga, ed eccola correre in cerca di Filch, che puntualmente appariva due secondi dopo, tutto ansimante.
HPitb1ch08-0030	puntualmente	Bastava infrangere una regola di fronte a lei, mettere appena un piede fuori riga, ed eccola correre in cerca di Filch, che puntualmente appariva due secondi dopo, tutto ansimante.
HPitb1ch08-0031	incomprensibile	Come Harry scoprì ben presto, la magia era tutt’altra cosa dall’agitare semplicemente la bacchetta pronunciando parole incomprensibili.
HPitb1ch08-0032	mercoledì	Ogni mercoledì a mezzanotte bisognava studiare la volta celeste con i telescopi e imparare i nomi delle stelle e i movimenti dei pianeti.
HPitb1ch08-0033	grassottello	Tre volte alla settimana, ci si doveva recare nelle serre dietro al castello per studiare Erbologia con una strega piccola e grassottella, la professoressa Sprout, che insegnava ai ragazzi a coltivare le piante e i funghi più strani spiegando a cosa servivano.
HPitb1ch08-0034	coltivare	Tre volte alla settimana, ci si doveva recare nelle serre dietro al castello per studiare Erbologia con una strega piccola e grassottella, la professoressa Sprout, che insegnava ai ragazzi a coltivare le piante e i funghi più strani spiegando a cosa servivano.
HPitb1ch08-0035	indubbiamente	Indubbiamente, la lezione più noiosa era Storia della Magia, l’unico corso tenuto da un fantasma.
HPitb1ch08-0036	noioso	Indubbiamente, la lezione più noiosa era Storia della Magia, l’unico corso tenuto da un fantasma.
HPitb1ch08-0037	corso	Indubbiamente, la lezione più noiosa era Storia della Magia, l’unico corso tenuto da un fantasma.
HPitb1ch08-0038	monotono	Binns parlava senza posa con voce monotona, mentre i ragazzi scribacchiavano nomi e date confondendo Emeric il Maligno e Uric Testamatta.
HPitb1ch08-0039	cattedra	Invece il professor Flitwick, l’insegnante di Incantesimi, era un mago piccolino che doveva salire sopra una pila di libri per vedere al di là della cattedra.
HPitb1ch08-0040	registro	All’inizio della prima lezione prese il registro e, quando arrivò al nome di Harry, emise un gridolino eccitato e ruzzolò giù, scomparendo alla vista.
HPitb1ch08-0041	ruzzolare	All’inizio della prima lezione prese il registro e, quando arrivò al nome di Harry, emise un gridolino eccitato e ruzzolò giù, scomparendo alla vista.
HPitb1ch08-0042	complesso	«La Trasfigurazione è una delle materie più complesse e pericolose che apprenderete a Hogwarts» disse.
HPitb1ch08-0043	apprendere	«La Trasfigurazione è una delle materie più complesse e pericolose che apprenderete a Hogwarts» disse.
HPitb1ch08-0044	aula	«Chiunque faccia confusione nella mia aula sarà spedito fuori e non sarà più riammesso.
HPitb1ch08-0045	riammettere	«Chiunque faccia confusione nella mia aula sarà spedito fuori e non sarà più riammesso.
HPitb1ch08-0046	viceversa	Poi trasformò la sua cattedra in un maiale e viceversa.
HPitb1ch08-0047	impressionare	Tutti rimasero molto impressionati e non vedevano l’ora di cominciare, ma ben presto si resero conto che ci sarebbe voluto un bel po’ di tempo prima che riuscissero a trasformare un mobile in un animale.
