maestro         	maestro         	MAESTRO DELLE POZIONI «Guarda lì!
spaziose        	spazioso        	alcune ampie e spaziose;
pericolanti     	pericolante     	altre strette e pericolanti;
cortesemente    	cortesemente    	Poi c’erano porte che non si aprivano, a meno di non chiederglielo cortesemente o di non far loro il solletico nel punto giusto, e porte che non erano affatto porte ma solidi muri che facevano finta di esserlo.
solletico       	solletico       	Poi c’erano porte che non si aprivano, a meno di non chiederglielo cortesemente o di non far loro il solletico nel punto giusto, e porte che non erano affatto porte ma solidi muri che facevano finta di esserlo.
soggetto        	soggetto        	Era anche molto difficile ricordare dove fossero le cose, perché tutto sembrava soggetto a incessanti spostamenti:
incessanti      	incessante      	Era anche molto difficile ricordare dove fossero le cose, perché tutto sembrava soggetto a incessanti spostamenti:
spostamenti     	spostamento     	Era anche molto difficile ricordare dove fossero le cose, perché tutto sembrava soggetto a incessanti spostamenti:
personaggi      	personaggio     	i personaggi dei ritratti si allontanavano continuamente per farsi visita l’un l’altro e Harry avrebbe giurato che le armature se ne andassero a zonzo.
visita          	visita          	i personaggi dei ritratti si allontanavano continuamente per farsi visita l’un l’altro e Harry avrebbe giurato che le armature se ne andassero a zonzo.
zonzo           	zonzo           	i personaggi dei ritratti si allontanavano continuamente per farsi visita l’un l’altro e Harry avrebbe giurato che le armature se ne andassero a zonzo.
situazione      	situazione      	Neanche i fantasmi contribuivano a rendere più semplice la situazione.
choc            	choc            	Era sempre un terribile choc quando uno di loro, all’improvviso, scivolava attraverso una porta mentre stavi cercando di aprirla.
trabocchetto    	trabocchetto    	Nick-Quasi-Senza-Testa era sempre lieto di indicare ai Grifondoro la giusta direzione, ma se incontravi Peeves il Poltergeist quando eri in ritardo per una lezione, era come imbattersi contemporaneamente in due porte sprangate e una scala a trabocchetto.
cestino         	cesto           	Ti rovesciava in testa il cestino della carta straccia, ti sfilava il tappeto da sotto i piedi, ti lanciava addosso pezzi di gessetto oppure, avvicinatosi di soppiatto, ti afferrava il naso e strillava:
gessetto        	gessetto        	Ti rovesciava in testa il cestino della carta straccia, ti sfilava il tappeto da sotto i piedi, ti lanciava addosso pezzi di gessetto oppure, avvicinatosi di soppiatto, ti afferrava il naso e strillava:
soppiatto       	soppiatto       	Ti rovesciava in testa il cestino della carta straccia, ti sfilava il tappeto da sotto i piedi, ti lanciava addosso pezzi di gessetto oppure, avvicinatosi di soppiatto, ti afferrava il naso e strillava:
sfortunatamente 	sfortunatamente 	Filch li sorprese mentre cercavano di aprire una porta, che sfortunatamente risultò essere l’entrata del corridoio del terzo piano, cui era vietato l’accesso agli studenti.
entrata         	entrata         	Filch li sorprese mentre cercavano di aprire una porta, che sfortunatamente risultò essere l’entrata del corridoio del terzo piano, cui era vietato l’accesso agli studenti.
convinto        	convinto        	Non volle credere che si fossero smarriti, convinto com’era che stessero cercando di forzare la porta di proposito.
forzare         	forzare         	Non volle credere che si fossero smarriti, convinto com’era che stessero cercando di forzare la porta di proposito.
minacciando     	minacciare      	Li stava giusto minacciando di rinchiuderli nei sotterranei quando il professor Quirrell, che passava di là, li aveva salvati.
salvati         	salvare         	Li stava giusto minacciando di rinchiuderli nei sotterranei quando il professor Quirrell, che passava di là, li aveva salvati.
gatta           	gatta           	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
creatura        	creatura        	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
cenere          	cenere          	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
sporgenti       	sporgente       	Filch aveva una gatta di nome Mrs Norris, una creatura grigio cenere, tutta pelle e ossa, con due occhi sporgenti come fari, tale e quale il suo padrone.
pattugliava     	pattugliare     	La gatta pattugliava i corridoi da sola.
infrangere      	infrangere      	Bastava infrangere una regola di fronte a lei, mettere appena un piede fuori riga, ed eccola correre in cerca di Filch, che puntualmente appariva due secondi dopo, tutto ansimante.
puntualmente    	puntualmente    	Bastava infrangere una regola di fronte a lei, mettere appena un piede fuori riga, ed eccola correre in cerca di Filch, che puntualmente appariva due secondi dopo, tutto ansimante.
ncomprensibili  	incomprensibile 	Come Harry scoprì ben presto, la magia era tutt’altra cosa dall’agitare semplicemente la bacchetta pronunciando parole incomprensibili.
mercoledì       	mercoledì       	Ogni mercoledì a mezzanotte bisognava studiare la volta celeste con i telescopi e imparare i nomi delle stelle e i movimenti dei pianeti.
grassottella    	grassottello    	Tre volte alla settimana, ci si doveva recare nelle serre dietro al castello per studiare Erbologia con una strega piccola e grassottella, la professoressa Sprout, che insegnava ai ragazzi a coltivare le piante e i funghi più strani spiegando a cosa servivano.
coltivare       	coltivare       	Tre volte alla settimana, ci si doveva recare nelle serre dietro al castello per studiare Erbologia con una strega piccola e grassottella, la professoressa Sprout, che insegnava ai ragazzi a coltivare le piante e i funghi più strani spiegando a cosa servivano.
indubbiamente   	indubbiamente   	Indubbiamente, la lezione più noiosa era Storia della Magia, l’unico corso tenuto da un fantasma.
noiosa          	noioso          	Indubbiamente, la lezione più noiosa era Storia della Magia, l’unico corso tenuto da un fantasma.
corso           	corso           	Indubbiamente, la lezione più noiosa era Storia della Magia, l’unico corso tenuto da un fantasma.
monotona        	monotono        	Binns parlava senza posa con voce monotona, mentre i ragazzi scribacchiavano nomi e date confondendo Emeric il Maligno e Uric Testamatta.
cattedra        	cattedra        	Invece il professor Flitwick, l’insegnante di Incantesimi, era un mago piccolino che doveva salire sopra una pila di libri per vedere al di là della cattedra.
registro        	registro        	All’inizio della prima lezione prese il registro e, quando arrivò al nome di Harry, emise un gridolino eccitato e ruzzolò giù, scomparendo alla vista.
ruzzolò         	ruzzolare       	All’inizio della prima lezione prese il registro e, quando arrivò al nome di Harry, emise un gridolino eccitato e ruzzolò giù, scomparendo alla vista.
complesse       	complesso       	«La Trasfigurazione è una delle materie più complesse e pericolose che apprenderete a Hogwarts» disse.
apprenderete    	apprendere      	«La Trasfigurazione è una delle materie più complesse e pericolose che apprenderete a Hogwarts» disse.
aula            	aula            	«Chiunque faccia confusione nella mia aula sarà spedito fuori e non sarà più riammesso.
riammesso       	riammettere     	«Chiunque faccia confusione nella mia aula sarà spedito fuori e non sarà più riammesso.
viceversa       	viceversa       	Poi trasformò la sua cattedra in un maiale e viceversa.
impressionati   	impressionare   	Tutti rimasero molto impressionati e non vedevano l’ora di cominciare, ma ben presto si resero conto che ci sarebbe voluto un bel po’ di tempo prima che riuscissero a trasformare un mobile in un animale.
appunti         	appunto         	Presero un mucchio di appunti complicati, dopodiché ricevettero un fiammifero ciascuno e iniziarono a provare a trasformarlo in un ago.
complicati      	complicare      	Presero un mucchio di appunti complicati, dopodiché ricevettero un fiammifero ciascuno e iniziarono a provare a trasformarlo in un ago.
dopodiché       	dopodiché       	Presero un mucchio di appunti complicati, dopodiché ricevettero un fiammifero ciascuno e iniziarono a provare a trasformarlo in un ago.
acuminato       	acuminato       	la professoressa McGonagall mostrò alla classe che era diventato d’argento e acuminato, e gratificò Hermione con uno dei suoi rari sorrisi.
gratificò       	gratificare     	la professoressa McGonagall mostrò alla classe che era diventato d’argento e acuminato, e gratificò Hermione con uno dei suoi rari sorrisi.
rari            	raro            	la professoressa McGonagall mostrò alla classe che era diventato d’argento e acuminato, e gratificò Hermione con uno dei suoi rari sorrisi.
dimostrarono    	dimostrarsi     	Il corso che tutti non vedevano l’ora di frequentare era Difesa contro le Arti Oscure, ma le lezioni di Quirrell si dimostrarono un po’ una barzelletta.
barzelletta     	barzelletta     	Il corso che tutti non vedevano l’ora di frequentare era Difesa contro le Arti Oscure, ma le lezioni di Quirrell si dimostrarono un po’ una barzelletta.
odorava         	odorare         	L’aula odorava fortemente di aglio:
fortemente      	fortemente      	L’aula odorava fortemente di aglio:
aglio           	aglio           	L’aula odorava fortemente di aglio:
principe        	principe        	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
africano        	africano        	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
pegno           	pegno           	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
gratitudine     	gratitudine     	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
liberato        	liberare        	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
aleggiava       	aleggiare       	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
insistevano     	insistere       	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
imbottito       	imbottire       	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
protetto        	protetto        	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
ovunque         	ovunque         	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
avvantaggiate   	avvantaggiare   	C’era così tanto da imparare che anche persone come Ron non erano poi molto avvantaggiate.
zuccherava      	zuccherare      	«Cosa abbiamo oggi?» chiese Harry a Ron mentre zuccherava il suo porridge.
