HPitb1ch11-0001	novembre	All’inizio di novembre cominciò a fare molto freddo.
HPitb1ch11-0002	brina	Tutte le mattine il terreno era coperto di brina.
HPitb1ch11-0003	scongelare	Dalle finestre dei piani superiori si poteva scorgere Hagrid intento a scongelare le scope nel campo di Quidditch, infagottato in un lungo pastrano di fustagno, guanti di pelo di coniglio ed enormi stivali foderati di castoro.
HPitb1ch11-0004	fustagno	Dalle finestre dei piani superiori si poteva scorgere Hagrid intento a scongelare le scope nel campo di Quidditch, infagottato in un lungo pastrano di fustagno, guanti di pelo di coniglio ed enormi stivali foderati di castoro.
HPitb1ch11-0005	castoro	Dalle finestre dei piani superiori si poteva scorgere Hagrid intento a scongelare le scope nel campo di Quidditch, infagottato in un lungo pastrano di fustagno, guanti di pelo di coniglio ed enormi stivali foderati di castoro.
HPitb1ch11-0006	stagione	La stagione del Quidditch era iniziata.
HPitb1ch11-0007	classifica	Se avessero vinto, i Grifondoro sarebbero passati al secondo posto in classifica nel Campionato delle Case.
HPitb1ch11-0008	arma	Quasi nessuno aveva visto Harry giocare, perché Wood aveva deciso che, essendo l’arma segreta della squadra, non si doveva sapere della sua presenza in campo.
HPitb1ch11-0009	trapelare	Ma non si sa come, la notizia che avrebbe giocato come Cercatore era trapelata e lui non sapeva che cosa fosse peggio:
HPitb1ch11-0010	formidabile	sentirsi dire che sarebbe stato certamente formidabile o che qualcuno, a terra, avrebbe dovuto correre su e giù tenendogli sotto un materasso.
HPitb1ch11-0011	imporre	Senza di lei, non avrebbe saputo come fare con i compiti, visto che Wood imponeva alla squadra allenamenti frequenti e con breve preavviso.
HPitb1ch11-0012	frequente	Senza di lei, non avrebbe saputo come fare con i compiti, visto che Wood imponeva alla squadra allenamenti frequenti e con breve preavviso.
HPitb1ch11-0013	preavviso	Senza di lei, non avrebbe saputo come fare con i compiti, visto che Wood imponeva alla squadra allenamenti frequenti e con breve preavviso.
HPitb1ch11-0014	settecento	Harry imparò così che esistevano settecento modi di commettere un fallo a Quidditch e che durante una partita di Coppa del Mondo, nel 1473, si erano verificati tutti;
HPitb1ch11-0015	arbitro	che, sebbene i giocatori morissero di rado durante una partita di Quidditch, si aveva notizia di arbitri svaniti nel nulla e ricomparsi nel deserto del Sahara a distanza di mesi.
HPitb1ch11-0016	Sahara	che, sebbene i giocatori morissero di rado durante una partita di Quidditch, si aveva notizia di arbitri svaniti nel nulla e ricomparsi nel deserto del Sahara a distanza di mesi.
HPitb1ch11-0017	osservanza	Da quando Harry e Ron l’avevano salvata dal troll, Hermione era diventata un po’ meno rigida per quanto riguardava l’osservanza delle regole, il che la rendeva molto più simpatica.
HPitb1ch11-0018	vigilia	La vigilia della prima partita di Harry, si trovavano tutti e tre fuori nel cortile gelido, durante l’intervallo, e lei aveva fatto apparire per incanto un fuoco di un azzurro splendente, che si poteva trasportare tenendolo in un vasetto della marmellata.
HPitb1ch11-0019	intervallo	La vigilia della prima partita di Harry, si trovavano tutti e tre fuori nel cortile gelido, durante l’intervallo, e lei aveva fatto apparire per incanto un fuoco di un azzurro splendente, che si poteva trasportare tenendolo in un vasetto della marmellata.
HPitb1ch11-0020	scaldare	Ci si stavano scaldando tutti e tre la schiena, quando Piton attraversò il cortile.
HPitb1ch11-0021	purtroppo	Purtroppo, l’espressione colpevole dei loro volti attirò l’attenzione di Piton.
HPitb1ch11-0022	colpevole	Purtroppo, l’espressione colpevole dei loro volti attirò l’attenzione di Piton.
HPitb1ch11-0023	pretesto	Non aveva notato il fuoco, ma sembrava che stesse cercando un pretesto per rimproverarli.
HPitb1ch11-0024	rimproverare	Non aveva notato il fuoco, ma sembrava che stesse cercando un pretesto per rimproverarli.
HPitb1ch11-0025	copiare	Lei non avrebbe mai permesso che copiassero («Altrimenti, come fate a imparare?
HPitb1ch11-0026	soluzione	»), ma chiedendole di correggerli, i due ragazzi riuscivano a ottenere comunque le soluzioni esatte.
HPitb1ch11-0027	irrequieto	Harry si sentiva irrequieto.
HPitb1ch11-0028	riavere	Avrebbe voluto riavere Il Quidditch attraverso i secoli per distrarsi dal pensiero della partita dell’indomani, che lo rendeva nervoso.
HPitb1ch11-0029	distrarsi	Avrebbe voluto riavere Il Quidditch attraverso i secoli per distrarsi dal pensiero della partita dell’indomani, che lo rendeva nervoso.
HPitb1ch11-0030	comunicare	Alzandosi, comunicò a Ron e a Hermione che intendeva andare a chiedergli di restituirglielo.
HPitb1ch11-0031	richiesta	«Se sei proprio convinto» risposero in coro Ron e Hermione, ma Harry pensava che Piton non avrebbe rifiutato, se alla richiesta fossero stati presenti altri insegnanti.
HPitb1ch11-0032	pararsi	Una scena orribile gli si parò davanti agli occhi.
HPitb1ch11-0033	maciullare	Aveva una gamba tutta maciullata e sanguinante.
HPitb1ch11-0034	sanguinare	Aveva una gamba tutta maciullata e sanguinante.
HPitb1ch11-0035	benda	Filch gli stava porgendo delle bende.
HPitb1ch11-0036	bada	«Come si fa a tenere a bada tutte e tre le teste contemporaneamente?
HPitb1ch11-0037	sfigurare	Con il volto sfigurato dall’ira, Piton si abbassò rapidamente l’abito per nascondere la gamba.
HPitb1ch11-0038	eludere	«Il giorno di Halloween, Piton ha cercato di eludere la sorveglianza del cane a tre teste!
HPitb1ch11-0039	diversivo	E sono pronto a scommettere la mia scopa che è stato lui a far entrare il troll, per creare un diversivo!» Hermione lo ascoltava con gli occhi sbarrati.
HPitb1ch11-0040	ronzare	» Harry andò a dormire con quella domanda che gli ronzava per la testa.
HPitb1ch11-0041	chiacchierio	La Sala Grande era piena del profumo delizioso delle salsicce fritte e dell’allegro chiacchiericcio dei ragazzi che non vedevano l’ora di assistere a una bella partita di Quidditch.
HPitb1ch11-0042	incoraggiare	«Soltanto un pezzetto di pane tostato» lo incoraggiò Hermione.
HPitb1ch11-0043	malo	Harry si sentiva malissimo.
HPitb1ch11-0044	braccare	«I Cercatori sono sempre quelli che più vengono braccati dall’altra squadra».
HPitb1ch11-0045	conforto	«Grazie del conforto morale, Seamus» disse Harry guardandolo versarsi una generosa quantità di ketchup sulle salsicce.
HPitb1ch11-0046	versarsi	«Grazie del conforto morale, Seamus» disse Harry guardandolo versarsi una generosa quantità di ketchup sulle salsicce.
HPitb1ch11-0047	generoso	«Grazie del conforto morale, Seamus» disse Harry guardandolo versarsi una generosa quantità di ketchup sulle salsicce.
HPitb1ch11-0048	spalti	Per le undici, tutta la scolaresca era sugli spalti, intorno al campo di Quidditch.
HPitb1ch11-0049	binocolo	Molti erano armati di binocoli.
HPitb1ch11-0050	tifoso	Ron e Hermione si unirono a Neville, Seamus e Dean, il tifoso di calcio, che erano sulla gradinata più alta.
HPitb1ch11-0051	gradinata	Ron e Hermione si unirono a Neville, Seamus e Dean, il tifoso di calcio, che erano sulla gradinata più alta.
HPitb1ch11-0052	dipingere	Per fare una sorpresa a Harry, avevano dipinto un grosso striscione, ricavato da uno dei lenzuoli che Crosta aveva rosicchiato.
HPitb1ch11-0053	striscione	Per fare una sorpresa a Harry, avevano dipinto un grosso striscione, ricavato da uno dei lenzuoli che Crosta aveva rosicchiato.
HPitb1ch11-0054	ricavare	Per fare una sorpresa a Harry, avevano dipinto un grosso striscione, ricavato da uno dei lenzuoli che Crosta aveva rosicchiato.
HPitb1ch11-0055	disegnare	Sopra ci avevano scritto Potter sei tutti noi, e sotto Dean, che era molto bravo a disegnare, aveva schizzato un grosso leone, simbolo di Grifondoro.
HPitb1ch11-0056	ingegnoso	Poi Hermione aveva fatto un piccolo, ingegnoso incantesimo per cui i colori apparivano cangianti.
HPitb1ch11-0057	cangiante	Poi Hermione aveva fatto un piccolo, ingegnoso incantesimo per cui i colori apparivano cangianti.
HPitb1ch11-0058	spogliatoio	Nel frattempo, negli spogliatoi, Harry e il resto della squadra si stavano cambiando e indossavano la loro divisa scarlatta (i Serpeverde avrebbero giocato in verde).
HPitb1ch11-0059	completare	«...e ragazze» completò la Cacciatrice Angelina Johnson.
HPitb1ch11-0060	lupo	In bocca al lupo a tutti».
HPitb1ch11-0061	ovazione	Harry seguì Fred e George fuori dagli spogliatoi sperando che le ginocchia non gli si piegassero per l’emozione ed entrò in campo salutato da grandi ovazioni.
HPitb1ch11-0062	arbitrare	Ad arbitrare la partita sarebbe stata Madame Hooch che, ritta in mezzo al campo, aspettava le due squadre brandendo in mano la sua scopa.
HPitb1ch11-0063	raccomandarsi	«Mi raccomando a tutti, voglio una partita senza scorrettezze» disse una volta che le due squadre furono riunite intorno a lei.
HPitb1ch11-0064	scorrettezza	«Mi raccomando a tutti, voglio una partita senza scorrettezze» disse una volta che le due squadre furono riunite intorno a lei.
HPitb1ch11-0065	rivolgersi	Harry notò che sembrava rivolgersi in modo speciale al Capitano di Serpeverde, Marcus Flint, un alunno del quinto anno.
HPitb1ch11-0066	motto	Con la coda dell’occhio vide lo striscione che sventolava sopra la folla con il motto fosforescente Potter sei tutti noi.
HPitb1ch11-0067	fosforescente	Con la coda dell’occhio vide lo striscione che sventolava sopra la folla con il motto fosforescente Potter sei tutti noi.
HPitb1ch11-0068	arcione	» Harry salì in arcione alla sua Nimbus Duemila.
HPitb1ch11-0069	intercettare	«...e la Pluffa è stata intercettata immediatamente da Angelina Johnson di Grifondoro... che brava Cacciatrice è questa ragazza, e anche piuttosto carina...» «JORDAN!
HPitb1ch11-0070	effettuare	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
HPitb1ch11-0071	puntuale	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
HPitb1ch11-0072	scoperta	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
HPitb1ch11-0073	riserva	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
HPitb1ch11-0074	azione	eccolo che vola alto come un’aquila... sta per se... no, bloccato da un’ottima azione del Portiere di Grifondoro Wood, e Grifondoro è di nuovo in possesso della Pluffa.
HPitb1ch11-0075	possesso	eccolo che vola alto come un’aquila... sta per se... no, bloccato da un’ottima azione del Portiere di Grifondoro Wood, e Grifondoro è di nuovo in possesso della Pluffa.
HPitb1ch11-0076	ahi	Ed ecco la Cacciatrice di Grifondoro Katie Bell... bella picchiata intorno a Flint, poi di nuovo su... AHI!
HPitb1ch11-0077	ritornare	La Pluffa ritorna a Serpeverde.
HPitb1ch11-0078	birra	Ecco Adrian Pucey che parte a tutta birra verso le porte, ma è bloccato da un secondo Bolide lanciatogli contro da Fred o George Weasley, non riesco a distinguere chi dei due... bella mossa comunque, ora Johnson è in possesso della Pluffa, davanti a lei il campo è sgombro, e si allontana, vola via letteralmente... schiva un micidiale Bolide... è davanti alle porte – vai, Angelina!
HPitb1ch11-0079	sgombro	Ecco Adrian Pucey che parte a tutta birra verso le porte, ma è bloccato da un secondo Bolide lanciatogli contro da Fred o George Weasley, non riesco a distinguere chi dei due... bella mossa comunque, ora Johnson è in possesso della Pluffa, davanti a lei il campo è sgombro, e si allontana, vola via letteralmente... schiva un micidiale Bolide... è davanti alle porte – vai, Angelina!
HPitb1ch11-0080	micidiale	Ecco Adrian Pucey che parte a tutta birra verso le porte, ma è bloccato da un secondo Bolide lanciatogli contro da Fred o George Weasley, non riesco a distinguere chi dei due... bella mossa comunque, ora Johnson è in possesso della Pluffa, davanti a lei il campo è sgombro, e si allontana, vola via letteralmente... schiva un micidiale Bolide... è davanti alle porte – vai, Angelina!
HPitb1ch11-0081	bersaglio	– il Portiere Bletchley si tuffa... manca il bersaglio... GRIFONDORO HA SEGNATO!» L’aria gelida fu saturata dall’applauso dei Grifondoro e dalle urla e dai fischi dei Serpeverde.
HPitb1ch11-0082	saturare	– il Portiere Bletchley si tuffa... manca il bersaglio... GRIFONDORO HA SEGNATO!» L’aria gelida fu saturata dall’applauso dei Grifondoro e dalle urla e dai fischi dei Serpeverde.
HPitb1ch11-0083	fisco	– il Portiere Bletchley si tuffa... manca il bersaglio... GRIFONDORO HA SEGNATO!» L’aria gelida fu saturata dall’applauso dei Grifondoro e dalle urla e dai fischi dei Serpeverde.
HPitb1ch11-0084	orgoglio	«Stavo guardando dalla mia capanna» disse Hagrid mostrando con orgoglio un grosso binocolo che gli pendeva sul petto, «ma non è mica lo stesso che stare in mezzo alla gente allo stadio!
HPitb1ch11-0085	finora	Il Boccino finora non s’è visto, eh?
HPitb1ch11-0086	granché	«Finora Harry non ha avuto un granché da fare».
HPitb1ch11-0087	puntino	è già qualcosa» disse Hagrid portandosi il binocolo agli occhi e puntandolo verso il cielo, alla ricerca di Harry che appariva come un puntino lontano.
HPitb1ch11-0088	planare	In alto, sopra le loro teste, il ragazzo planava di qua e di là, strabuzzando gli occhi per avvistare il Boccino.
HPitb1ch11-0089	strabuzzare	In alto, sopra le loro teste, il ragazzo planava di qua e di là, strabuzzando gli occhi per avvistare il Boccino.
HPitb1ch11-0090	attacco	«È inutile esporsi ad attacchi prima del necessario».
HPitb1ch11-0091	sfogo	Quando Angelina aveva segnato, Harry aveva fatto un paio di giri della morte per dare sfogo all’euforia.
HPitb1ch11-0092	euforia	Quando Angelina aveva segnato, Harry aveva fatto un paio di giri della morte per dare sfogo all’euforia.
HPitb1ch11-0093	sprazzo	A un certo punto, aveva intravisto uno sprazzo dorato, ma era soltanto un riflesso dell’orologio da polso di uno dei gemelli Weasley, e un’altra volta un Bolide aveva deciso di schizzare verso di lui come una palla di cannone, ma lui l’aveva schivato e Fred Weasley si era messo a inseguirlo.
HPitb1ch11-0094	dorato	A un certo punto, aveva intravisto uno sprazzo dorato, ma era soltanto un riflesso dell’orologio da polso di uno dei gemelli Weasley, e un’altra volta un Bolide aveva deciso di schizzare verso di lui come una palla di cannone, ma lui l’aveva schivato e Fred Weasley si era messo a inseguirlo.
HPitb1ch11-0095	furiosamente	» aveva avuto il tempo di gridargli, mentre colpiva furiosamente il Bolide indirizzandolo contro Marcus Flint.
HPitb1ch11-0096	mormorio	«Palla a Serpeverde» stava dicendo Lee Jordan, «il Cacciatore Pucey schiva due Bolidi, due Weasley e la Cacciatrice Bell, e avanza veloce verso... aspettate un attimo... ma quello non era il Boccino?» Un mormorio percorse gli spalti, mentre Adrian Pucey lasciava cadere la Pluffa, troppo preso a seguire con lo sguardo il lampo dorato che gli aveva sfiorato l’orecchio sinistro ed era passato oltre.
HPitb1ch11-0097	ruolo	nel frattempo sembrava che i Cacciatori avessero dimenticato il loro ruolo, sospesi a mezz’aria, intenti a guardare.
HPitb1ch11-0098	accelerata	Diede un’accelerata potente... WHAM!
HPitb1ch11-0099	rigore	Madame Hooch si rivolse a Flint con parole irate e poi ordinò un rigore a favore di Grifondoro.
HPitb1ch11-0100	espulsione	«Arbitro, espulsione!
HPitb1ch11-0101	distaccato	Intanto, Lee Jordan trovava difficile mantenersi distaccato.
HPitb1ch11-0102	lampante	«Quindi... dopo questa lampante e ignobile scorrettezza...» «Jordan!» ringhiò la professoressa McGonagall.
HPitb1ch11-0103	ignobile	«Quindi... dopo questa lampante e ignobile scorrettezza...» «Jordan!» ringhiò la professoressa McGonagall.
HPitb1ch11-0104	palese	«Voglio dire, dopo questo fallo palese e disgustoso...» «Jordan, ti avverto...» «E va bene.
HPitb1ch11-0105	disgustoso	«Voglio dire, dopo questo fallo palese e disgustoso...» «Jordan, ti avverto...» «E va bene.
HPitb1ch11-0106	pericolosamente	Tutto accadde quando Harry evitò un altro Bolide che gli passò pericolosamente vicino alla testa.
HPitb1ch11-0107	scarto	La sua scopa, d’un tratto, ebbe uno scarto pauroso.
HPitb1ch11-0108	pauroso	La sua scopa, d’un tratto, ebbe uno scarto pauroso.
HPitb1ch11-0109	frazione	Per una frazione di secondo, il ragazzo credette di essere sul punto di cadere.
HPitb1ch11-0110	cavaliere	Ma una Nimbus Duemila non decideva da sola, tutto d’un tratto, di disarcionare il suo cavaliere.
HPitb1ch11-0111	sospensione	aveva una mezza idea di chiedere a Wood di domandare un minuto di sospensione.
HPitb1ch11-0112	comando	Ma poi si rese conto che la scopa non rispondeva assolutamente più ai comandi.
HPitb1ch11-0113	sterzare	Non riusciva a sterzare.
HPitb1ch11-0114	violento	Zigzagava nell’aria dando violenti scossoni che rischiavano di farlo cadere.
HPitb1ch11-0115	scossone	Zigzagava nell’aria dando violenti scossoni che rischiavano di farlo cadere.
HPitb1ch11-0116	esultare	Serpeverde segna... oh, no...» I Serpeverde esultavano.
HPitb1ch11-0117	sbalzo	Lentamente, a sbalzi e strattoni, lo stava trasportando sempre più in alto, lontano dal gioco.
HPitb1ch11-0118	strattone	Lentamente, a sbalzi e strattoni, lo stava trasportando sempre più in alto, lontano dal gioco.
HPitb1ch11-0119	capriola	La sua scopa aveva cominciato a fare le capriole, mentre lui riusciva a stento a reggersi in sella.
HPitb1ch11-0120	febbrilmente	A queste parole, Hermione afferrò il binocolo di Hagrid, ma anziché guardare in alto verso Harry, cominciò febbrilmente a scrutare le file del pubblico.
HPitb1ch11-0121	dirimpetto	Piton stava sulla gradinata dirimpetto alla loro.
HPitb1ch11-0122	sottovoce	Teneva gli occhi fissi su Harry e mormorava qualcosa sottovoce.
HPitb1ch11-0123	combinare	«Ne sta combinando una delle sue... sta stregando la scopa» disse
HPitb1ch11-0124	trarre	Gli spettatori erano tutti in piedi e guardavano terrorizzati, mentre i gemelli Weasley volavano in soccorso dell’amico, cercando di trarlo in salvo su una delle loro scope, ma invano:
HPitb1ch11-0125	invano	Gli spettatori erano tutti in piedi e guardavano terrorizzati, mentre i gemelli Weasley volavano in soccorso dell’amico, cercando di trarlo in salvo su una delle loro scope, ma invano:
HPitb1ch11-0126	accostarsi	ogni volta che gli si accostavano, la scopa di Harry faceva un balzo più in alto.
HPitb1ch11-0127	impossessarsi	Marcus Flint, impossessatosi della Pluffa, segnò cinque volte senza che nessuno se ne accorgesse.
HPitb1ch11-0128	palco	Hermione si era fatta largo tra gli spettatori per raggiungere il palco dove si trovava Piton e ora stava correndo lungo la fila di sedili alle sue spalle;
HPitb1ch11-0129	accucciarsi	Una volta raggiunto Piton, si accucciò, tirò fuori la bacchetta e bisbigliò alcune parole scelte con cura.
HPitb1ch11-0130	sprizzare	Dalla bacchetta sprizzarono delle fiamme azzurre che andarono a colpire l’orlo dell’abito di Piton.
HPitb1ch11-0131	scopo	Un improvviso gemito di dolore fece capire alla ragazza che aveva ottenuto il suo scopo.
HPitb1ch11-0132	richiamare	Richiamò il fuoco e lo rinchiuse in un vasetto, se lo mise in tasca e rifece il percorso inverso.
HPitb1ch11-0133	rifare	Richiamò il fuoco e lo rinchiuse in un vasetto, se lo mise in tasca e rifece il percorso inverso.
HPitb1ch11-0134	inverso	Richiamò il fuoco e lo rinchiuse in un vasetto, se lo mise in tasca e rifece il percorso inverso.
