HPitb1ch12-0001	specchio	LO SPECCHIO DELLE EMARB Natale si stava avvicinando.
HPitb1ch12-0002	dicembre	Un mattino di metà dicembre, il castello di Hogwarts si svegliò sotto una pesante coltre di neve.
HPitb1ch12-0003	coltre	Un mattino di metà dicembre, il castello di Hogwarts si svegliò sotto una pesante coltre di neve.
HPitb1ch12-0004	ghiaccio	Il lago era diventato una spessa lastra di ghiaccio e i gemelli Weasley erano stati puniti per aver fatto un incantesimo alle palle di neve, che si erano messe a inseguire Quirrell dovunque andasse, rimbalzando sul retro del suo turbante.
HPitb1ch12-0005	dovunque	Il lago era diventato una spessa lastra di ghiaccio e i gemelli Weasley erano stati puniti per aver fatto un incantesimo alle palle di neve, che si erano messe a inseguire Quirrell dovunque andasse, rimbalzando sul retro del suo turbante.
HPitb1ch12-0006	temporalesco	I pochi gufi che riuscivano a fendere il cielo temporalesco per consegnare la posta dovevano poi essere accuditi da Hagrid prima di poter riprendere il volo.
HPitb1ch12-0007	accudire	I pochi gufi che riuscivano a fendere il cielo temporalesco per consegnare la posta dovevano poi essere accuditi da Hagrid prima di poter riprendere il volo.
HPitb1ch12-0008	ardere	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
HPitb1ch12-0009	scoppiettante	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
HPitb1ch12-0010	spiffero	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
HPitb1ch12-0011	sferzante	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
HPitb1ch12-0012	imposta	Mentre nella sala comune di Grifondoro e nella Sala Grande ardevano fuochi scoppiettanti, i corridoi pieni di spifferi erano gelidi e un vento sferzante faceva sbattere le imposte nelle aule.
HPitb1ch12-0013	condensarsi	Il peggio erano le lezioni del professor Piton, che si tenevano nei sotterranei, dove il respiro si condensava in nuvolette e tutti cercavano di starsene il più vicino possibile ai calderoni bollenti.
HPitb1ch12-0014	nuvola	Il peggio erano le lezioni del professor Piton, che si tenevano nei sotterranei, dove il respiro si condensava in nuvolette e tutti cercavano di starsene il più vicino possibile ai calderoni bollenti.
HPitb1ch12-0015	dosare	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
HPitb1ch12-0016	spina	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
HPitb1ch12-0017	pesce	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
HPitb1ch12-0018	scorpione	Harry, che stava dosando della polvere di spine di pesce scorpione, li ignorò.
HPitb1ch12-0019	antipatico	Dalla partita di Quidditch, Malfoy era diventato, se possibile, ancora più antipatico.
HPitb1ch12-0020	sconfitta	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
HPitb1ch12-0021	suscitare	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
