HPitb1ch13-0001	impazzire	quello Specchio poteva farti impazzire» disse Ron quando Harry gli raccontò i suoi sogni.
HPitb1ch13-0002	sdegno	Era divisa fra lo sdegno al pensiero che Harry, invece di starsene a letto, se ne fosse andato in giro per la scuola per tre notti di fila («Se Filch ti avesse beccato!») e la delusione per il fatto che non avesse neanche scoperto chi fosse Nicolas Flamel.
HPitb1ch13-0003	delusione	Era divisa fra lo sdegno al pensiero che Harry, invece di starsene a letto, se ne fosse andato in giro per la scuola per tre notti di fila («Se Filch ti avesse beccato!») e la delusione per il fatto che non avesse neanche scoperto chi fosse Nicolas Flamel.
HPitb1ch13-0004	abbandonare	Avevano quasi abbandonato ogni speranza di trovare Flamel nei libri della biblioteca, sebbene Harry continuasse a essere sicuro di aver letto quel nome chissà dove.
HPitb1ch13-0005	ricreazione	All’inizio del trimestre, si rimisero a sfogliare libri ogni volta che avevano dieci minuti di ricreazione.
HPitb1ch13-0006	disposizione	Harry aveva ancor meno tempo a disposizione degli altri perché erano ricominciati gli allenamenti di Quidditch.
HPitb1ch13-0007	smorzare	Neanche la pioggia incessante che si era sostituita alla neve riusciva a smorzare la sua foga.
HPitb1ch13-0008	foga	Neanche la pioggia incessante che si era sostituita alla neve riusciva a smorzare la sua foga.
HPitb1ch13-0009	protestare	I gemelli Weasley protestavano perché Wood stava diventando un fanatico, ma Harry stava dalla sua parte.
HPitb1ch13-0010	fanatico	I gemelli Weasley protestavano perché Wood stava diventando un fanatico, ma Harry stava dalla sua parte.
HPitb1ch13-0011	esausto	E poi, a parte il desiderio di vincere, Harry aveva notato che, quando andava a letto esausto dopo l’allenamento, aveva meno incubi.
HPitb1ch13-0012	funestare	Poi un giorno, durante un allenamento particolarmente funestato dalla pioggia e dal fango, Wood diede una cattiva notizia alla squadra.
HPitb1ch13-0013	fango	Poi un giorno, durante un allenamento particolarmente funestato dalla pioggia e dal fango, Wood diede una cattiva notizia alla squadra.
HPitb1ch13-0014	impastare	» esclamò con la bocca ancora impastata di fango.
HPitb1ch13-0015	imparziale	Sarà tutt’altro che imparziale dato che c’è la possibilità che superiamo Serpeverde».
HPitb1ch13-0016	termine	Il che era un’ottima cosa, pensò Harry, ma lui aveva un motivo diverso per desiderare di non trovarsi accanto a Piton mentre giocava a Quidditch... Il resto della squadra rimase indietro per chiacchierare come sempre accadeva al termine dell’allenamento;
HPitb1ch13-0017	concentrare	«Aspetta un attimo prima di parlare» disse Ron quando Harry si sedette accanto a lui, «ho bisogno di concen...» Poi vide l’espressione sul volto di Harry.
HPitb1ch13-0018	spaventoso	Hai una faccia spaventosa!» Parlando a bassa voce, in modo che nessun altro sentisse, Harry rivelò ai due amici dell’improvviso, infausto desiderio di Piton di fare l’arbitro di Quidditch.
HPitb1ch13-0019	infausto	Hai una faccia spaventosa!» Parlando a bassa voce, in modo che nessun altro sentisse, Harry rivelò ai due amici dell’improvviso, infausto desiderio di Piton di fare l’arbitro di Quidditch.
HPitb1ch13-0020	malato	«Datti malato» aggiunse Ron.
HPitb1ch13-0021	rincarare	«Rompitela davvero» rincarò Ron.
HPitb1ch13-0022	ritiro	Se io mi ritiro, Grifondoro non può proprio giocare».
HPitb1ch13-0023	balzelloni	probabilmente aveva fatto tutta la strada fino alla Torre di Grifondoro a balzelloni, come un coniglio.
HPitb1ch13-0024	sciogliersi	Le gambe di Neville si sciolsero dai lacci invisibili e lui si rimise in piedi tutto tremante.
HPitb1ch13-0025	laccio	Le gambe di Neville si sciolsero dai lacci invisibili e lui si rimise in piedi tutto tremante.
HPitb1ch13-0026	esortare	«Va’ dalla professoressa McGonagall!» lo esortò Hermione.
HPitb1ch13-0027	prostrarsi	«Quello è abituato a calpestare il prossimo, ma questa non è una ragione per prostrarsi davanti a lui e rendergli più facile il compito».
HPitb1ch13-0028	fogna	In quella fogna di Serpeverde».
HPitb1ch13-0029	stiracchiarsi	Le labbra di Neville si stiracchiarono in un debole sorriso mentre scartava la Cioccorana.
HPitb1ch13-0030	strozzarsi	«È stato il primo che ho...» Ma le parole gli si strozzarono in gola.
