impazzire      	impazzire      	quello Specchio poteva farti impazzire» disse Ron quando Harry gli raccontò i suoi sogni.
sdegno         	sdegno         	Era divisa fra lo sdegno al pensiero che Harry, invece di starsene a letto, se ne fosse andato in giro per la scuola per tre notti di fila («Se Filch ti avesse beccato!») e la delusione per il fatto che non avesse neanche scoperto chi fosse Nicolas Flamel.
delusione      	delusione      	Era divisa fra lo sdegno al pensiero che Harry, invece di starsene a letto, se ne fosse andato in giro per la scuola per tre notti di fila («Se Filch ti avesse beccato!») e la delusione per il fatto che non avesse neanche scoperto chi fosse Nicolas Flamel.
abbandonato    	abbandonare    	Avevano quasi abbandonato ogni speranza di trovare Flamel nei libri della biblioteca, sebbene Harry continuasse a essere sicuro di aver letto quel nome chissà dove.
ricreazione    	ricreazione    	All’inizio del trimestre, si rimisero a sfogliare libri ogni volta che avevano dieci minuti di ricreazione.
disposizione   	disposizione   	Harry aveva ancor meno tempo a disposizione degli altri perché erano ricominciati gli allenamenti di Quidditch.
smorzare       	smorzare       	Neanche la pioggia incessante che si era sostituita alla neve riusciva a smorzare la sua foga.
foga           	foga           	Neanche la pioggia incessante che si era sostituita alla neve riusciva a smorzare la sua foga.
protestavano   	protestare     	I gemelli Weasley protestavano perché Wood stava diventando un fanatico, ma Harry stava dalla sua parte.
fanatico       	fanatico       	I gemelli Weasley protestavano perché Wood stava diventando un fanatico, ma Harry stava dalla sua parte.
esausto        	esausto        	E poi, a parte il desiderio di vincere, Harry aveva notato che, quando andava a letto esausto dopo l’allenamento, aveva meno incubi.
funestato      	funestare      	Poi un giorno, durante un allenamento particolarmente funestato dalla pioggia e dal fango, Wood diede una cattiva notizia alla squadra.
fango          	fango          	Poi un giorno, durante un allenamento particolarmente funestato dalla pioggia e dal fango, Wood diede una cattiva notizia alla squadra.
impastata      	impastare      	» esclamò con la bocca ancora impastata di fango.
imparziale     	imparziale     	Sarà tutt’altro che imparziale dato che c’è la possibilità che superiamo Serpeverde».
termine        	termine        	Il che era un’ottima cosa, pensò Harry, ma lui aveva un motivo diverso per desiderare di non trovarsi accanto a Piton mentre giocava a Quidditch... Il resto della squadra rimase indietro per chiacchierare come sempre accadeva al termine dell’allenamento;
concen         	concentrare    	«Aspetta un attimo prima di parlare» disse Ron quando Harry si sedette accanto a lui, «ho bisogno di concen...» Poi vide l’espressione sul volto di Harry.
spaventosa     	spaventoso     	Hai una faccia spaventosa!» Parlando a bassa voce, in modo che nessun altro sentisse, Harry rivelò ai due amici dell’improvviso, infausto desiderio di Piton di fare l’arbitro di Quidditch.
infausto       	infausto       	Hai una faccia spaventosa!» Parlando a bassa voce, in modo che nessun altro sentisse, Harry rivelò ai due amici dell’improvviso, infausto desiderio di Piton di fare l’arbitro di Quidditch.
malato         	malato         	«Datti malato» aggiunse Ron.
rincarò        	rincarare      	«Rompitela davvero» rincarò Ron.
ritiro         	ritiro         	Se io mi ritiro, Grifondoro non può proprio giocare».
balzelloni     	balzelloni     	probabilmente aveva fatto tutta la strada fino alla Torre di Grifondoro a balzelloni, come un coniglio.
sciolsero      	sciogliersi    	Le gambe di Neville si sciolsero dai lacci invisibili e lui si rimise in piedi tutto tremante.
lacci          	laccio         	Le gambe di Neville si sciolsero dai lacci invisibili e lui si rimise in piedi tutto tremante.
esortò         	esortare       	«Va’ dalla professoressa McGonagall!» lo esortò Hermione.
prostrarsi     	prostrarsi     	«Quello è abituato a calpestare il prossimo, ma questa non è una ragione per prostrarsi davanti a lui e rendergli più facile il compito».
fogna          	fogna          	In quella fogna di Serpeverde».
stiracchiarono 	stiracchiarsi  	Le labbra di Neville si stiracchiarono in un debole sorriso mentre scartava la Cioccorana.
strozzarono    	strozzarsi     	«È stato il primo che ho...» Ma le parole gli si strozzarono in gola.
