HPitb1ch17-0001	muscolo	Non un solo muscolo gli si mosse sul volto.
HPitb1ch17-0002	tagliente	«Ma io pensavo... Piton...» «Chi, Severus?» Quirrell rise, e non fu la sua solita risatina tremula, bensì una risata fredda e tagliente.
HPitb1ch17-0003	sospettare	Con lui in giro, chi sospetterebbe mai del p-p-povero, ba-balbuziente p-professor Qu-Quirrell?
HPitb1ch17-0004	balbuziente	Con lui in giro, chi sospetterebbe mai del p-p-povero, ba-balbuziente p-professor Qu-Quirrell?
HPitb1ch17-0005	involontariamente	La tua amica Granger mi ha urtato involontariamente quando è corsa ad appiccare fuoco a Piton, durante la partita a Quidditch.
HPitb1ch17-0006	impopolare	Tutti gli altri insegnanti pensavano che Piton stesse cercando di ostacolare la vittoria di Grifondoro, lui si è reso veramente impopolare... e che gran perdita di tempo, visto che, nonostante tutto, stanotte ho intenzione di ucciderti».
HPitb1ch17-0007	perdita	Tutti gli altri insegnanti pensavano che Piton stesse cercando di ostacolare la vittoria di Grifondoro, lui si è reso veramente impopolare... e che gran perdita di tempo, visto che, nonostante tutto, stanotte ho intenzione di ucciderti».
HPitb1ch17-0008	ficcanaso	«Sei troppo ficcanaso per continuare a vivere, Potter.
HPitb1ch17-0009	sincerarsi	Pensavo che mi avessi visto mentre andavo a sincerarmi di che cosa ci fosse a guardia della Pietra».
HPitb1ch17-0010	stanare	Ma purtroppo, mentre tutti correvano dappertutto cercando di stanarlo, Piton, che già sospettava di me, è venuto dritto filato al terzo piano per intercettarmi e non solo il mio troll non ti ha fatto a pezzi, ma neanche il cane a tre teste è riuscito a staccare la gamba a morsi a Piton come si deve.
HPitb1ch17-0011	indolente	«Già» rispose Quirrell indolente, girando attorno allo Specchio per osservarlo da dietro.
HPitb1ch17-0012	epoca	«All’epoca, mi stava addosso, cercava di scoprire a che punto fossi arrivato.
HPitb1ch17-0013	avidamente	E ha cercato di spaventarmi... come se fosse possibile, con Lord Voldemort dalla mia parte!» Quirrell ritornò davanti allo Specchio e ci guardò dentro avidamente.
HPitb1ch17-0014	legato	» Harry cercò di divincolarsi dalle funi che lo tenevano legato, ma quelle non cedettero.
HPitb1ch17-0015	dedicare	Doveva impedire a tutti i costi che Quirrell dedicasse tutta l’attenzione allo Specchio.
HPitb1ch17-0016	istruzione	«A volte» disse, «trovo difficile seguire le istruzioni del mio padrone... lui è un mago grande e potente, mentre io sono debole...» «Intende dire che era insieme a lei in quell’aula?» disse Harry col fiato mozzo.
HPitb1ch17-0017	pacato	«Lui è con me ovunque io vada» disse Quirrell in tono pacato.
HPitb1ch17-0018	coloro	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
HPitb1ch17-0019	ricercare	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
HPitb1ch17-0020	fedelmente	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
HPitb1ch17-0021	deludere	Esistono soltanto il potere e coloro che sono troppo deboli per ricercarlo... Da allora l’ho sempre servito fedelmente, benché lo abbia deluso molte volte.
HPitb1ch17-0022	atto	Perciò se mi guardo nello Specchio, dovrei vedermi nell’atto di trovarla... il che significa che dovrei vedere dove è nascosta!
HPitb1ch17-0023	specchiarsi	Ma come faccio a specchiarmi senza che Quirrell capisca le mie intenzioni?
HPitb1ch17-0024	compiere	Ammiccò e si rimise la Pietra in tasca... Nell’attimo stesso in cui l’immagine compiva quel gesto, Harry sentì qualcosa di pesante scivolargli davvero in tasca.
HPitb1ch17-0025	fuggire	Avrebbe osato provare a fuggire?
HPitb1ch17-0026	svolgersi	Pietrificato, guardò Quirrell che gli si avvicinava e incominciava a svolgersi il turbante.
HPitb1ch17-0027	copricapo	Senza quel copricapo, la testa di Quirrell sembrava stranamente piccola.
HPitb1ch17-0028	gesso	Era bianco come il gesso, con occhi rossi che mandavano bagliori e per narici due fessure, come un serpente.
HPitb1ch17-0029	rinvigorire	Nelle scorse settimane il sangue di unicorno mi ha rinvigorito... Hai visto quando il fedele Quirrell l’ha bevuto per me, nella Foresta... Una volta che mi impossesserò dell’Elisir di Lunga Vita, potrò crearmi un corpo tutto mio... E ora, veniamo a noi... Perché non mi dai la Pietra che hai in tasca?»
HPitb1ch17-0030	fedele	Nelle scorse settimane il sangue di unicorno mi ha rinvigorito... Hai visto quando il fedele Quirrell l’ha bevuto per me, nella Foresta... Una volta che mi impossesserò dell’Elisir di Lunga Vita, potrò crearmi un corpo tutto mio... E ora, veniamo a noi... Perché non mi dai la Pietra che hai in tasca?»
HPitb1ch17-0031	implorare	Loro sono morti implorando la mia clemenza...» «BUGIARDO!» gridò Harry d’un tratto.
HPitb1ch17-0032	clemenza	Loro sono morti implorando la mia clemenza...» «BUGIARDO!» gridò Harry d’un tratto.
HPitb1ch17-0033	bugiardo	Loro sono morti implorando la mia clemenza...» «BUGIARDO!» gridò Harry d’un tratto.
HPitb1ch17-0034	commovente	«Ma che cosa commovente...» sibilò.
HPitb1ch17-0035	apprezzare	«Io apprezzo sempre molto il coraggio... Sì, ragazzo, i tuoi genitori erano coraggiosi... Per primo ho ucciso tuo padre:
HPitb1ch17-0036	intrepido	lui aveva ingaggiato un’intrepida lotta... Tua madre, invece, non era necessario che morisse... stava solo cercando di proteggerti... E ora dammi quella Pietra, se non vuoi che sia morta invano».
HPitb1ch17-0037	diminuire	Il dolore alla testa diminuì.
HPitb1ch17-0038	vescica	Si guardava le dita, che si stavano riempiendo di vesciche a vista d’occhio.
