HPitb2ch01-0001	litigio	Non era la prima volta che scoppiava un litigio durante la colazione, al numero 4 di Privet Drive.
HPitb2ch01-0002	impigliare	«Ma mi hai preso per scemo?» ringhiò zio Vernon con un pezzetto di uovo fritto impigliato nei baffoni.
HPitb2ch01-0003	replicare	Harry tentò di replicare, ma le sue parole furono sopraffatte da un rutto lungo e sonoro di suo cugino Dudley.
HPitb2ch01-0004	sopraffatto	Harry tentò di replicare, ma le sue parole furono sopraffatte da un rutto lungo e sonoro di suo cugino Dudley.
HPitb2ch01-0005	rutto	Harry tentò di replicare, ma le sue parole furono sopraffatte da un rutto lungo e sonoro di suo cugino Dudley.
HPitb2ch01-0006	mensa	«Devi mangiare, finché sei a casa... La mensa di quella scuola non mi convince affatto...» «Sciocchezze, Petunia.
HPitb2ch01-0007	debordare	«Dudley mangia abbastanza; non è vero, figliolo?» Dudley, così grasso che il sederone gli debordava da entrambi i lati della sedia, si voltò con un ghigno verso Harry.
HPitb2ch01-0008	tempia	Quelle parole ebbero un effetto incredibile sul resto della famiglia: Dudley boccheggiò e cadde dalla sedia con un tonfo che fece tremare tutta la cucina; la signora Dursley lanciò un gridolino e si mise le mani sulla bocca; il signor Dursley balzò in piedi con le vene delle tempie che gli pulsavano.
HPitb2ch01-0009	spruzzare	«COSA TI AVEVO DETTO?» tuonò suo zio spruzzando saliva su tutta la tavola.
HPitb2ch01-0010	tollerare	«TI HO AVVERTITO! NON TOLLERO CHE SI NOMINI LA TUA ANORMALITÀ SOTTO QUESTO TETTO!»
HPitb2ch01-0011	anormalità	«TI HO AVVERTITO! NON TOLLERO CHE SI NOMINI LA TUA ANORMALITÀ SOTTO QUESTO TETTO!»
HPitb2ch01-0012	rinoceronte	«D’accordo» disse Harry, «d’accordo...» Zio Vernon tornò a sedersi, ansimando come un rinoceronte e guardando Harry di traverso con i suoi occhietti penetranti.
HPitb2ch01-0013	scontentezza	Ma se i Dursley non erano contenti di riaverlo a casa per le vacanze, la loro scontentezza era niente in confronto a quel che provava Harry.
HPitb2ch01-0014	costantemente	Hogwarts gli mancava così tanto che era come avere costantemente mal di stomaco.
HPitb2ch01-0015	dormita	Gli mancava il castello con i suoi passaggi segreti e i suoi fantasmi, le lezioni (anche se magari non quelle di Piton, il professore di Pozioni), la posta consegnata via gufo, i banchetti nella Sala Grande, le dormite nel suo letto a baldacchino negli alloggi della torre, le visitine al guardacaccia Hagrid nella capanna vicino alla Foresta Proibita, e soprattutto il Quidditch, lo sport più popolare nel mondo dei maghi (come porte sei anelli su altrettanti pali, quattro palle volanti e quattordici giocatori a cavallo di un manico di scopa).
HPitb2ch01-0016	popolare	Gli mancava il castello con i suoi passaggi segreti e i suoi fantasmi, le lezioni (anche se magari non quelle di Piton, il professore di Pozioni), la posta consegnata via gufo, i banchetti nella Sala Grande, le dormite nel suo letto a baldacchino negli alloggi della torre, le visitine al guardacaccia Hagrid nella capanna vicino alla Foresta Proibita, e soprattutto il Quidditch, lo sport più popolare nel mondo dei maghi (come porte sei anelli su altrettanti pali, quattro palle volanti e quattordici giocatori a cavallo di un manico di scopa).
HPitb2ch01-0017	quattordici	Gli mancava il castello con i suoi passaggi segreti e i suoi fantasmi, le lezioni (anche se magari non quelle di Piton, il professore di Pozioni), la posta consegnata via gufo, i banchetti nella Sala Grande, le dormite nel suo letto a baldacchino negli alloggi della torre, le visitine al guardacaccia Hagrid nella capanna vicino alla Foresta Proibita, e soprattutto il Quidditch, lo sport più popolare nel mondo dei maghi (come porte sei anelli su altrettanti pali, quattro palle volanti e quattordici giocatori a cavallo di un manico di scopa).
HPitb2ch01-0018	superbo	Tutti i libri di magia, la bacchetta, gli abiti, il calderone e la sua superba scopa Nimbus Duemila erano stati chiusi a doppia mandata da zio Vernon nel ripostiglio del sottoscala nel momento stesso in cui Harry era tornato a casa.
HPitb2ch01-0019	lucchetto	Zio Vernon aveva addirittura messo un lucchetto alla gabbia di Edvige, la civetta di Harry, per impedirle di portare messaggi a chiunque facesse parte del mondo dei maghi.
HPitb2ch01-0020	cavallino	Zio Vernon era grasso e senza collo, con enormi baffi neri; zia Petunia aveva una faccia cavallina ed era tutta pelle e ossa; Dudley era biondo e roseo come un porcello.
HPitb2ch01-0021	porcello	Zio Vernon era grasso e senza collo, con enormi baffi neri; zia Petunia aveva una faccia cavallina ed era tutta pelle e ossa; Dudley era biondo e roseo come un porcello.
HPitb2ch01-0022	disordine	Harry, al contrario, era piccolo e magro, con occhi verde brillante e capelli nerissimi, sempre in disordine.
HPitb2ch01-0023	passato	Era quella cicatrice a rendere Harry così fuori dall’ordinario, anche fra i maghi: era l’unico segno del suo misterioso passato, della ragione per cui, undici anni prima, era stato deposto davanti alla porta di casa Dursley.
HPitb2ch01-0024	scampare	All’età di un anno Harry era scampato a una maledizione lanciata dal più grande Mago Oscuro di tutti i tempi, Voldemort, un nome che la maggior parte delle streghe e dei maghi non osava ancora pronunciare.
HPitb2ch01-0025	sferrare	L’attacco sferrato da Voldemort era costato la vita ai genitori di Harry, ma lui si era salvato, con la sua cicatrice a forma di saetta, e per qualche ragione – nessuno sapeva perché – i poteri di Voldemort erano andati distrutti nel momento stesso in cui non era riuscito a uccidere il ragazzo.
HPitb2ch01-0026	defunto	Harry quindi era stato allevato dalla sorella della defunta madre e da suo marito.
HPitb2ch01-0027	rognoso	Così era andato a occupare il posto che gli spettava nella scuola dei maghi, dove lui e la sua cicatrice erano famosi... ma ora l’anno scolastico era finito e lui era tornato dai Dursley per le vacanze estive, a essere trattato come un cane rognoso.
HPitb2ch01-0028	dodicesimo	I Dursley non si erano neanche ricordati che quel giorno era il suo dodicesimo compleanno.
HPitb2ch01-0029	ricco	Un ricco costruttore sarebbe venuto a cena con la moglie e zio Vernon sperava di ottenere da lui un ordine importante (la ditta di zio Vernon produceva trapani).
HPitb2ch01-0030	costruttore	Un ricco costruttore sarebbe venuto a cena con la moglie e zio Vernon sperava di ottenere da lui un ordine importante (la ditta di zio Vernon produceva trapani).
HPitb2ch01-0031	sfoderare	Dudley sfoderò un sorriso ebete e ottuso.
HPitb2ch01-0032	ebete	Dudley sfoderò un sorriso ebete e ottuso.
HPitb2ch01-0033	estasi	«Oh, li lascerai senza fiato!» gridò zia Petunia in estasi.
HPitb2ch01-0034	inespressivo	«E tu?» «Io me ne starò in camera mia senza il minimo rumore facendo finta di non esistere» disse Harry con voce inespressiva.
HPitb2ch01-0035	accomodare	«Io li farò accomodare in salotto, gli presenterò te, Petunia, e gli verserò da bere.
HPitb2ch01-0036	gentiluomo	«Il mio piccolo gentiluomo perfetto!» sospirò zia Petunia.
HPitb2ch01-0037	splendidamente	«Vernon mi dice che lei gioca a golf splendidamente, signor Mason... La prego, signora Mason, dove ha trovato quel bellissimo vestito?
HPitb2ch01-0038	tema	«Che ne dici di questo? ‘Signor Mason, a scuola abbiamo fatto un tema su “Eroi del nostro tempo” e io ho parlato di lei’».
HPitb2ch01-0039	riemergere	«E tu, ragazzo?» Harry riemerse, sforzandosi di rimanere impassibile.
HPitb2ch01-0040	impassibile	«E tu, ragazzo?» Harry riemerse, sforzandosi di rimanere impassibile.
HPitb2ch01-0041	riaccompagnare	Quando la cena sarà finita, tu, Petunia, riaccompagnerai la signora Mason in salotto per il caffè e io porterò la conversazione sui trapani.
HPitb2ch01-0042	contratto	Con un po’ di fortuna, avrò in mano il contratto firmato e controfirmato prima del telegiornale delle dieci.
HPitb2ch01-0043	controfirmare	Con un po’ di fortuna, avrò in mano il contratto firmato e controfirmato prima del telegiornale delle dieci.
HPitb2ch01-0044	smoking	«Bene... Io vado in centro a ritirare gli smoking per Dudley e per me.
HPitb2ch01-0045	pulizia	Quanto a te» ringhiò a Harry, «vedi di non stare tra i piedi di tua zia mentre fa le pulizie».
HPitb2ch01-0046	nostalgia	Più di qualsiasi altra cosa avesse lasciato a Hogwarts, più ancora del Quidditch, Harry aveva nostalgia dei suoi migliori amici, Ron Weasley e Hermione Granger.
HPitb2ch01-0047	minorenne	Ai maghi minorenni non era permesso fare incantesimi fuori della scuola.
HPitb2ch01-0048	catapultarsi	Per le prime due settimane Harry si era divertito a farfugliare tra sé parole senza senso e guardare Dudley catapultarsi fuori dalla stanza con tutta la rapidità consentita dalle sue gambotte.
HPitb2ch01-0049	rapidità	Per le prime due settimane Harry si era divertito a farfugliare tra sé parole senza senso e guardare Dudley catapultarsi fuori dalla stanza con tutta la rapidità consentita dalle sue gambotte.
HPitb2ch01-0050	fascino	Ma il lungo silenzio di Ron e di Hermione aveva fatto sentire Harry così tagliato fuori dal mondo della magia che anche tormentare Dudley aveva perso il suo fascino... e ora Ron e Hermione avevano dimenticato il suo compleanno.
HPitb2ch01-0051	nientedimeno	Alla fine dell’ultimo trimestre Harry si era trovato faccia a faccia nientemeno che con Voldemort in persona.
HPitb2ch01-0052	relitto	Voldemort poteva anche essere un relitto di ciò che era stato, ma era ancora terrificante, scaltro, determinato a riconquistare il potere.
HPitb2ch01-0053	scaltro	Voldemort poteva anche essere un relitto di ciò che era stato, ma era ancora terrificante, scaltro, determinato a riconquistare il potere.
HPitb2ch01-0054	determinato	Voldemort poteva anche essere un relitto di ciò che era stato, ma era ancora terrificante, scaltro, determinato a riconquistare il potere.
HPitb2ch01-0055	drizzarsi	Ancora una volta Harry era riuscito a sfuggire alle sue grinfie, ma per un pelo, e anche adesso, a distanza di molte settimane, il ragazzo continuava a svegliarsi di notte coperto di sudore freddo chiedendosi dove fosse Voldemort in quel momento, senza riuscire a dimenticare quel volto livido, quegli occhi folli e sbarrati... D’un tratto Harry si drizzò a sedere sulla panchina del giardino.
HPitb2ch01-0056	distrattamente	Aveva continuato a fissare distrattamente la siepe... e quella ricambiava il suo sguardo.
HPitb2ch01-0057	sogghignare	«Finalmente hai imparato i giorni della settimana!» «Oggi è il tuo compleanno» sogghignò Dudley.
HPitb2ch01-0058	stentoreo	«T-tu non puoi... Papà t-ti ha d-detto che non d-devi fare magie... ha d-detto che t-ti b-butta fuori di casa... e tu non hai un posto dove andare... non hai amici che ti accolgano...» «Nomen omen!» disse Harry con voce stentorea.
HPitb2ch01-0059	insaponare	Visto che né Dudley né la siepe avevano riportato alcun danno, zia Petunia capì che in realtà lui non aveva fatto nessuna magia; tuttavia Harry dovette chinarsi per schivare il colpo di una padella insaponata.
HPitb2ch01-0060	ciondolare	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
HPitb2ch01-0061	lavare	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
