HPitb2ch03-0001	tana	LA TANA
HPitb2ch03-0002	soffio	«Ron!» esclamò in un soffio Harry, strisciando verso la finestra e aprendola in modo da poter parlare attraverso le sbarre.
HPitb2ch03-0003	automobile	Ron si sporgeva fuori dal finestrino posteriore di una vecchia automobile color turchese, parcheggiata a mezz’aria.
HPitb2ch03-0004	turchese	Ron si sporgeva fuori dal finestrino posteriore di una vecchia automobile color turchese, parcheggiata a mezz’aria.
HPitb2ch03-0005	richiamo	Ti ho chiesto almeno una dozzina di volte di venire a stare da noi e quando papà è tornato a casa e ha detto che avevi avuto un richiamo ufficiale per avere usato la magia di fronte ai Babbani...» «Non sono stato io... e lui come ha fatto a saperlo?
HPitb2ch03-0006	ufficiale	Ti ho chiesto almeno una dozzina di volte di venire a stare da noi e quando papà è tornato a casa e ha detto che avevi avuto un richiamo ufficiale per avere usato la magia di fronte ai Babbani...» «Non sono stato io... e lui come ha fatto a saperlo?
HPitb2ch03-0007	strettamente	«Se i Dursley si svegliano sono morto» disse Harry legando strettamente la corda intorno a una sbarra, mentre Fred accelerava.
HPitb2ch03-0008	cautamente	Fred e George si arrampicarono cautamente sulla finestra ed entrarono nella camera di Harry.
HPitb2ch03-0009	forcina	‘Avrei dovuto pensarci’, si disse Harry mentre George estraeva dalla tasca una comune forcina da capelli e cominciava a forzare la serratura della porta.
HPitb2ch03-0010	radunare	Harry si affrettò a radunare tutte le cose che aveva nella stanza e a passarle a Ron dalla finestra.
HPitb2ch03-0011	spallata	«Ancora una bella spinta...» Harry e George diedero una spallata al baule, che cadde sul sedile posteriore dell’automobile.
HPitb2ch03-0012	tonante	Ma Harry non aveva fatto in tempo ad arrampicarsi sul davanzale che un improvviso e acuto stridio si levò alle sue spalle, seguito immediatamente dalla voce tonante di zio Vernon.
HPitb2ch03-0013	cassettone	Si stava arrampicando di nuovo sul cassettone, quando zio Vernon mollò un pugno sulla porta che, non essendo chiusa a chiave, si spalancò.
HPitb2ch03-0014	incorniciare	Per una frazione di secondo zio Vernon rimase lì, incorniciato dalla porta; poi muggì come un toro inferocito e si lanciò su Harry afferrandolo per una caviglia.
HPitb2ch03-0015	muggire	Per una frazione di secondo zio Vernon rimase lì, incorniciato dalla porta; poi muggì come un toro inferocito e si lanciò su Harry afferrandolo per una caviglia.
HPitb2ch03-0016	toro	Per una frazione di secondo zio Vernon rimase lì, incorniciato dalla porta; poi muggì come un toro inferocito e si lanciò su Harry afferrandolo per una caviglia.
HPitb2ch03-0017	gas	A tutto gas, Fred!
HPitb2ch03-0018	basito	Dalla sua finestra sporgevano le teste di zio Vernon, zia Petunia e Dudley che lo guardavano basiti.
HPitb2ch03-0019	unisono	«Sì» risposero immediatamente all’unisono Harry e Ron.
HPitb2ch03-0020	sostenitore	«Era un forte sostenitore di Tu-Sai-Chi».
HPitb2ch03-0021	cerchia	Un mucchio di stupidaggini... Papà pensa che facesse parte della cerchia più stretta di Tu-Sai-Chi».
HPitb2ch03-0022	premuroso	Al suo confronto, Dudley Dursley sembrava un ragazzo gentile, premuroso e sensibile.
HPitb2ch03-0023	sensibile	Al suo confronto, Dudley Dursley sembrava un ragazzo gentile, premuroso e sensibile.
HPitb2ch03-0024	stirare	«Il sogno di mamma è di avere un elfo domestico che le stiri la biancheria» disse George.
HPitb2ch03-0025	biancheria	«Il sogno di mamma è di avere un elfo domestico che le stiri la biancheria» disse George.
HPitb2ch03-0026	accontentarsi	«Ma ci dobbiamo accontentare di un vecchio ghoul pidocchioso che vive in soffitta e di certi gnomi che girano per il giardino.
HPitb2ch03-0027	pidocchioso	«Ma ci dobbiamo accontentare di un vecchio ghoul pidocchioso che vive in soffitta e di certi gnomi che girano per il giardino.
HPitb2ch03-0028	soffitta	«Ma ci dobbiamo accontentare di un vecchio ghoul pidocchioso che vive in soffitta e di certi gnomi che girano per il giardino.
HPitb2ch03-0029	maniero	Gli elfi domestici si trovano in immensi manieri, antichi castelli e altri posti del genere.
HPitb2ch03-0030	nuotare	A giudicare dal fatto che Draco Malfoy aveva di ogni cosa il meglio del meglio, la sua famiglia doveva nuotare nell’oro, oro di maghi.
HPitb2ch03-0031	tronfio	Non gli riusciva difficile immaginare Malfoy aggirarsi tutto tronfio in un grande maniero.
HPitb2ch03-0032	ingenuo	Era forse stato ingenuo, Harry, a prendere sul serio Dobby?
HPitb2ch03-0033	decrepito	«Il nostro gufo. È decrepito.
HPitb2ch03-0034	collassare	Non sarebbe la prima volta che collassa durante una consegna.
HPitb2ch03-0035	lucidare	«Ha mandato un sacco di lettere e ha passato un sacco di tempo chiuso in camera sua... Voglio dire, ma quante volte vorrà lucidarlo quel distintivo da prefetto!...
HPitb2ch03-0036	ovest	Stai virando troppo a ovest, Fred» soggiunse, indicando una bussola sul cruscotto.
