schiaffeggiante  	schiaffeggiare   	IL SALICE SCHIAFFEGGIANTE
invidiare        	invidiare        	Gli riusciva difficile non invidiare Ron quando pensava ai Dursley e al benvenuto che doveva aspettarsi da parte loro, non appena avesse rimesso piede a Privet Drive.
acquolina        	acquolina        	L’ultima sera la signora Weasley organizzò una cena sontuosa con tutte le pietanze preferite di Harry e, per finire, un budino di melassa da far venire l’acquolina in bocca.
conclusero       	concludere       	Fred e George conclusero degnamente la serata con uno spettacolo di Fuochi d’artificio Filibuster inondando la cucina di stelle rosse e blu che rimbalzarono dal soffitto alle pareti per una buona mezz’ora.
degnamente       	degnamente       	Fred e George conclusero degnamente la serata con uno spettacolo di Fuochi d’artificio Filibuster inondando la cucina di stelle rosse e blu che rimbalzarono dal soffitto alle pareti per una buona mezz’ora.
rimbalzarono     	rimbalzare       	Fred e George conclusero degnamente la serata con uno spettacolo di Fuochi d’artificio Filibuster inondando la cucina di stelle rosse e blu che rimbalzarono dal soffitto alle pareti per una buona mezz’ora.
cioccolata       	cioccolata       	Infine, venne il momento di un’ultima tazza di cioccolata calda, e poi a letto.
gallo            	gallo            	Si erano alzati al canto del gallo, ma non si sa come tutti avevano un mucchio di cose da fare.
spaiati          	spaiato          	La signora Weasley correva di qua e di là in cerca di calzini spaiati e di penne d’oca; nel trambusto, tutti si scontravano su e giù per le scale, mezzi svestiti e masticando pane tostato, e poco mancò che il signor Weasley non si rompesse il collo inciampando in una gallina mentre attraversava il cortile per caricare in macchina il baule di Ginny.
trambusto        	trambusto        	La signora Weasley correva di qua e di là in cerca di calzini spaiati e di penne d’oca; nel trambusto, tutti si scontravano su e giù per le scale, mezzi svestiti e masticando pane tostato, e poco mancò che il signor Weasley non si rompesse il collo inciampando in una gallina mentre attraversava il cortile per caricare in macchina il baule di Ginny.
scontravano      	scontrarsi       	La signora Weasley correva di qua e di là in cerca di calzini spaiati e di penne d’oca; nel trambusto, tutti si scontravano su e giù per le scale, mezzi svestiti e masticando pane tostato, e poco mancò che il signor Weasley non si rompesse il collo inciampando in una gallina mentre attraversava il cortile per caricare in macchina il baule di Ginny.
svestiti         	svestire         	La signora Weasley correva di qua e di là in cerca di calzini spaiati e di penne d’oca; nel trambusto, tutti si scontravano su e giù per le scale, mezzi svestiti e masticando pane tostato, e poco mancò che il signor Weasley non si rompesse il collo inciampando in una gallina mentre attraversava il cortile per caricare in macchina il baule di Ginny.
modifiche        	modifica         	Ma naturalmente non aveva fatto i conti con le modifiche speciali apportate dal signor Weasley.
apportate        	apportare        	Ma naturalmente non aveva fatto i conti con le modifiche speciali apportate dal signor Weasley.
bagagliaio       	bagagliaio       	«Non una parola con Molly» bisbigliò quest’ultimo a Harry quando aprì il bagagliaio e gli mostrò l’incantesimo che aveva fatto per allargarlo, così da farci entrare agevolmente i bauli.
allargarlo       	allargare        	«Non una parola con Molly» bisbigliò quest’ultimo a Harry quando aprì il bagagliaio e gli mostrò l’incantesimo che aveva fatto per allargarlo, così da farci entrare agevolmente i bauli.
farci            	fare             	«Non una parola con Molly» bisbigliò quest’ultimo a Harry quando aprì il bagagliaio e gli mostrò l’incantesimo che aveva fatto per allargarlo, così da farci entrare agevolmente i bauli.
agevolmente      	agevolmente      	«Non una parola con Molly» bisbigliò quest’ultimo a Harry quando aprì il bagagliaio e gli mostrò l’incantesimo che aveva fatto per allargarlo, così da farci entrare agevolmente i bauli.
installarono     	installare       	«I Babbani ne sanno più di quanto noi non crediamo, vero?» Lei e Ginny si installarono sul sedile anteriore, che era stato allungato tanto da assomigliare a una panchina del parco.
frenata          	frenata          	Cinque minuti dopo, nuova brusca frenata nel cortile perché Fred doveva correre a prendere la sua scopa.
diario           	diario           	Avevano quasi raggiunto l’autostrada, quando Ginny, con uno strillo, disse di aver dimenticato il diario.
animi            	animo            	Quando la ragazzina si fu di nuovo arrampicata in macchina erano decisamente in ritardo e gli animi si stavano surriscaldando.
surriscaldando   	surriscaldarsi   	Quando la ragazzina si fu di nuovo arrampicata in macchina erano decisamente in ritardo e gli animi si stavano surriscaldando.
bottoncino       	bottone          	Questo bottoncino qui è il Turbo Invisibile che ho installato... che ci farebbe sollevare... e poi voleremmo sopra le nuvole.
voleremmo        	volare           	Questo bottoncino qui è il Turbo Invisibile che ho installato... che ci farebbe sollevare... e poi voleremmo sopra le nuvole.
arriveremmo      	arrivare         	Arriveremmo in dieci minuti e nessuno ne saprebbe niente...» «Ho detto di no, Arthur, non in pieno giorno».
arrivarono       	arrivare         	Arrivarono alla stazione di King’s Cross alle undici meno un quarto.
portabagagli     	portabagagli     	Il signor Weasley attraversò di corsa la strada per procurarsi i carrelli portabagagli e poi, tutti insieme, si precipitarono in stazione.
riuscirci        	riuscire         	Per riuscirci bisognava passare attraverso la solida barriera che divideva le banchine nove e dieci.
concentrazione   	concentrazione   	Non faceva male, ma era un’impresa che richiedeva molta concentrazione perché i Babbani non si accorgessero che uno spariva.
seguirono        	seguire          	Seguirono il signor Weasley, Fred e George.
scomparse        	scomparire       	In un batter d’occhio erano scomparse anche loro.
impugnatura      	impugnatura      	Tutti e due i ragazzi si chinarono sull’impugnatura dei loro carrelli e si incamminarono verso la barriera, acquistando velocità.
ruzzolò          	ruzzolare        	Il baule di Ron ruzzolò con un gran tonfo.
consumato        	consumato        	Harry fu scaraventato a terra, la gabbia di Edvige rimbalzò sul pavimento consumato e la civetta rotolò via, gridando indignata.
tastandosi       	tastare          	«Abbiamo perso il controllo del carrello» ansimò Harry tastandosi le costole mentre si rimetteva in piedi.
inveire          	inveire          	Ron fece una corsa a riprendere Edvige, che stava facendo un tale baccano che il capannello di curiosi riuniti lì intorno aveva cominciato a inveire contro le crudeltà verso gli animali.
crudeltà         	crudeltà         	Ron fece una corsa a riprendere Edvige, che stava facendo un tale baccano che il capannello di curiosi riuniti lì intorno aveva cominciato a inveire contro le crudeltà verso gli animali.
perderemo        	perdere          	«Perderemo il treno» bisbigliò Ron.
impenetrabile    	impenetrabile    	Il metallo rimase impenetrabile.
