crujido         | crujido      | Se oyó un crujido detrás de ellos y tío Vernon apareció en la habitación.
goznes          | gozne        | La puerta fue empujada con tal fuerza que se salió de los goznes y, con un golpe sordo, aterrizó en el suelo.
maraña          | maraña       | Su rostro estaba prácticamente oculto por una larga maraña de pelo y una barba desaliñada, pero podían verse sus ojos, que brillaban como escarabajos negros bajo aquella pelambrera.
escarabajos     | escarabajo   | Su rostro estaba prácticamente oculto por una larga maraña de pelo y una barba desaliñada, pero podían verse sus ojos, que brillaban como escarabajos negros bajo aquella pelambrera.
pelambrera      | pelambrera   | Su rostro estaba prácticamente oculto por una larga maraña de pelo y una barba desaliñada, pero podían verse sus ojos, que brillaban como escarabajos negros bajo aquella pelambrera.
escurrió        | escurrirse   | El gigante se escurrió hacia el interior de la cabaña agachándose para que su cabeza sólo rozara el techo.
desparramó      | desparramarse| No ha sido un viaje fácil... Se desparramó en el sofá donde Dudley estaba petrificado de miedo.
agazapada       | agazaparse   | Dudley chilló y corrió a esconderse detrás de su madre, que estaba agazapada, aterrorizada, detrás de tío Vernon.
peludo          | peludo       | Harry levantó la vista ante el rostro, feroz, salvaje y peludo, y vio que los ojos negros le sonreían arrugados.
allanamiento    | allanamiento | ¡Esto es allanamiento de morada! —
morada          | morada       | ¡Esto es allanamiento de morada! —
majadero        | majadero     | Bah, cierra la boca, Dursley, grandísimo majadero —dijo el gigante.
arrebató        | arrebatar    | Se estiró, arrebató el rifle a tío Vernon, lo retorció como si fuera de goma y lo arrojó a un rincón de la habitación.
pisarlo         | pisar        | Tío Vernon hizo otro ruido extraño, como un ratón al pisarlo.
pegajoso        | pegajoso     | En el interior había un gran pastel de chocolate pegajoso, con «Feliz Cumpleaños, Harry» escrito en verde.
sacudió         | sacudir      | Extendió una mano gigantesca y sacudió todo el brazo de Harry.
clavaron        | clavarse     | Sus ojos se clavaron en el hogar apagado, con las bolsas de patatas fritas arrugadas, y dejó escapar una risa despectiva.
parpadeante     | parpadeante  | Los demás no podían ver qué estaba haciendo, pero, cuando un momento después se dio la vuelta, había un fuego encendido, que inundó de luz parpadeante toda la húmeda cabaña.
hundió          | hundirse     | El gigante volvió a sentarse en el sofá, que se hundió bajo su peso, y comenzó a sacar toda clase de cosas de los bolsillos de su abrigo: un hervidor de cobre, un paquete de salchichas, un atizador, una tetera, varias tazas agrietadas y una botella de un líquido color ámbar, de la que tomó un trago antes de empezar a preparar el té.
