puño         | puño         | «Y ésa es tía Petunia llamando a la puerta», pensó con el corazón en un puño.
picado       | picado       | El búho bajó en picado y dejó el periódico sobre Hagrid, que no se despertó.
manojos      | manojo       | El abrigo de Hagrid parecía hecho sólo de bolsillos, con contenidos de todo tipo: manojos de llaves, veneno para babosas, ovillos de cordel, caramelos de menta, bolsitas de té...
babosas      | babosa       | El abrigo de Hagrid parecía hecho sólo de bolsillos, con contenidos de todo tipo: manojos de llaves, veneno para babosas, ovillos de cordel, caramelos de menta, bolsitas de té...
cordel       | cordel       | El abrigo de Hagrid parecía hecho sólo de bolsillos, con contenidos de todo tipo: manojos de llaves, veneno para babosas, ovillos de cordel, caramelos de menta, bolsitas de té...
puñado       | puñado       | Finalmente, Harry sacó un puñado de monedas de aspecto extraño.
soñoliento   | soñoliento   | —Dale cinco knuts —dijo soñoliento Hagrid.
desperezó    | desperezarse | Hagrid bostezó con fuerza, se sentó y se desperezó.
duendes      | duende       | Lo dirigen los duendes.
irguió       | erguirse     | —Hagrid se irguió con orgullo—.
lástima      | lástima      | —Sin embargo, me parece una lástima tener que remar —dijo Hagrid, dirigiendo a Harry una mirada de soslayo—.
chapucero    | chapucero    | Nunca ha existido nadie tan chapucero.
muelle       | muelle       | En aquel momento, el bote dio un leve golpe contra la pared del muelle.
transeúntes  | transeúnte   | Los transeúntes miraban mucho a Hagrid mientras recorrían el pueblecito camino de la estación, y Harry no podía reprochárselo: Hagrid no sólo era el doble de alto que cualquiera, sino que señalaba cosas totalmente corrientes, como los parquímetros, diciendo en voz alta: —¿Ves eso, Harry?
correteaba   | corretear    | —Hagrid —dijo Harry, jadeando un poco mientras correteaba para seguirlo—, ¿no dijiste que había dragones en Gringotts?
puntiagudo   | puntiagudo   | — Un sombrero puntiagudo (negro) para uso diario.
broches      | broche       | — Una capa de invierno (negra, con broches plateados).
reglamentario| reglamentario| LIBROS Todos los alumnos deben tener un ejemplar de los siguientes libros: —        Libro reglamentario de hechizos, primer curso, Miranda Goshawk.
hongos       | hongo        | —        Mil hierbas y hongos mágicos, Phyllida Spore.
Filtros      | filtro       | —        Filtros y pociones mágicas, Arsenius Jigger.
redomas      | redoma       | 1 juego de redomas de vidrio o cristal.
estropeada   | estropeado   | —No sé cómo los muggles se las arreglan sin magia —comentó mientras subían por una escalera mecánica estropeada que los condujo a una calle llena de tiendas.
muchedumbre  | muchedumbre  | Hagrid era tan corpulento que separaba fácilmente a la muchedumbre.
Chorreante   | chorrear     | El Caldero Chorreante.
mugriento    | mugriento    | Era un bar diminuto y de aspecto mugriento.
reparado     | reparar      | Si Hagrid no lo hubiera señalado, Harry no habría reparado en él.
destartalado | destartalado | Para ser un lugar famoso, estaba muy oscuro y destartalado.
jerez        | jerez        | Unas ancianas estaban sentadas en un rincón, tomando copitas de jerez.
nuez         | nuez         | Un hombre bajito que llevaba un sombrero de copa hablaba con el viejo cantinero, que era completamente calvo y parecía una nuez blanda.
barullo      | barullo      | Al fin, Hagrid se hizo oír por encima del barullo.
torbellino   | torbellino   | La cabeza de Harry era un torbellino.
botica       | botica       | Una mujer regordeta negaba con la cabeza en la puerta de una botica cuando ellos pasaron, diciendo: «Hígado de dragón a dieciséis sickles la onza, están locos...» Un suave ulular llegaba de una tienda oscura que tenía un rótulo que decía: «Emporio del Búho.
murciélago   | murciélago   | Escaparates repletos de barriles de bazos de murciélago y ojos de anguila, tambaleantes montones de libros de encantamientos, plumas y rollos de pergamino, frascos con pociones, globos con mapas de la luna... —Gringotts —dijo Hagrid.
codicia      | codicia      | Entra, desconocido, pero ten cuidado con lo que le espera al pecado de la codicia, porque aquellos que cogen, pero no se lo han ganado, deberán pagar en cambio mucho más, así que si buscas debajo de nuestro suelo un tesoro que nunca fue tuyo, ladrón, te hemos advertido, ten cuidado de encontrar aquí algo más que un tesoro.
centenar     | centenar     | Un centenar de duendes estaban sentados en altos taburetes, detrás de un largo mostrador, escribiendo en grandes libros de cuentas, pesando monedas en balanzas de latón y examinando piedras preciosas con lentes.
escocían     | escocer      | A Harry le escocían los ojos por las ráfagas de aire frío, pero los mantuvo muy abiertos.
ráfagas      | ráfaga       | A Harry le escocían los ojos por las ráfagas de aire frío, pero los mantuvo muy abiertos.
estruendo    | estruendo    | —¡Nunca lo he sabido! —gritó Harry a Hagrid, para hacerse oír sobre el estruendo del carro—.
oleada       | oleada       | Una oleada de humo verde los envolvió.
montículos   | montículo    | Dentro había montículos de monedas de oro.
recodos      | recodo       | El aire era cada vez más frío, mientras doblaban por estrechos recodos.
sacudidas    | sacudida     | Llegaron entre sacudidas al otro lado de un barranco subterráneo, y Harry se inclinó hacia un costado para ver qué había en el fondo oscuro, pero Hagrid gruñó y lo enderezó, cogiéndolo del cuello.
