resplandecientes| resplandeciente
peluca          | peluca
bote            | bote
palmo           | palmo
gorguera        | gorguera
neblinoso       | neblinoso
terciopelo      | terciopelo
salpicado       | salpicado
remendado       | remendar
raído           | raído
irreflexivamente| irreflexivamente
rasgadura       | rasgadura
bombines        | bombín
osadía          | osadía
temple          | temple
caballerosidad  | caballerosidad
sabiduría       | sabiduría
bofetada        | bofetada
trenzas         | trenza
escogía         | escoger
tropezó         | tropezarse
propinó         | propinar
pulgares        | pulgar
verdosa         | verdoso
displicencia    | displicencia
chuletas        | chuleta
cordero         | cordero
filetes         | filete
bisagra         | bisagra
demacrado       | demacrado
melaza          | melaza
rosquillas      | rosquilla
bizcochos       | bizcocho
borrachos       | borracho
jalea           | jalea
desprevenido    | desprevenido
tobillos        | tobillo
merengue        | merengue
reboté          | rebotar
cerillas        | cerilla
soñoliento      | soñoliento
copiosamente    | copiosamente
grasiento       | grasiento
ganchuda        | ganchudo
cetrina         | cetrino
celador         | celador
recreos         | recreo
ceñudo          | ceñudo
vociferó        | vociferar
pulgas          | pulga
pelusa          | pelusa
enjugándose     | enjugarse
trote           | trote
bulliciosos     | bullicioso
corredizos      | corredizo
bostezando      | bostezar
grosero         | grosero
desinflara      | desinflar
chasquido       | chasquido
perversos       | perverso
empuñando       | empuñar
cacareo         | cacareo
novatos         | novato
abalanzó        | abalanzarse
balanceó        | balancearse
amontonaron     | amontonarse
caracol         | caracol
empapado        | empapado
