acarreó      | acarrear
estrellara   | estrellarse
muletas      | muleta
ensayar      | ensayar
frac         | frac
granate      | granate
bombachos    | bombacho
estalló      | estallar
apuesto      | apuesto
fregadero    | fregadero
trapos       | trapo
tiñendo      | teñir
felpudo      | felpudo
amarillento  | amarillento
lacre        | lacre
escudo       | escudo
tejón        | tejón
desdoblar    | desdoblar
despectivo   | despectivo
grisáceo     | grisáceo
gachas       | gacha
avena        | avena
resecas      | reseco
bufó         | bufar
desmayarse   | desmayarse
cogote       | cogote
cerradura    | cerradura
colgando     | colgar
rendija      | rendija
mudes        | mudarse
loro         | loro
forcejear    | forcejear
enderezó     | enderezarse
arrugada     | arrugado
jadeando     | jadear
fallaran     | fallar
latía        | latir
fofo         | fofo
tulipanes    | tulipán
estafeta     | estafeta
trituraba    | triturar
picadora     | picadora
zumbando     | zumbar
disparadas   | disparado
portazo      | portazo
afluyendo    | afluir
tapiadas     | tapiar
pilló        | pillar
gastadas     | gastado
roncaba      | roncar
copos        | copo
rancios      | rancio
gimoteaba    | gimotear
percha       | percha
Encaramada   | encaramar
salpicaba    | salpicar
peñasco      | peñasco
resbalando   | resbalar
desvencijada | desvencijado
colaba       | colarse
halló        | hallar
mohosas      | mohoso
apolillado   | apolillado
ovillo       | ovillo
andrajosa    | andrajoso
ronquidos    | ronquido
truenos      | trueno
crujía       | crujir
