100. Ремонт
ремонт                          renovations
делать ремонт                   to renovate (vt)
ремонтировать                   to repair(vt)
приводить в порядок             to put in order
переделывать                    to redo (vt)
краска                          paint
красить                         to paint(vt)
маляр                           house painter
кисть                           brush
побелка (материал)              whitewash
белить                          to whitewash  (vt)
обои                            wallpaper
оклеить обоями                  to put up wallpaper
лак (для пола и т.п.)           varnish
покрывать лаком                 to varnish (vt)
