101. Водопровод
вода                            water
горячая вода                    hot water
холодная вода                   cold water
кран                            tap, faucet
капля                           drop
капать                          to drip (vi)
течь (протекать)                to leak (vi)
течь (утечка)                   leak
лужа (на полу и т.п.)           puddle
труба                           pipe
вентиль                         valve
засориться (о трубе)            to be clogged up
инструменты                     tools
разводной ключ                  adjustable wrench
открутить                      to unscrew (vt)
закрутить                      to screw (vt)
прочищать                      to unclog (vt)
сантехник                      plumber
подвал                         basement
канализация                    sewerage
