102. Пожар
огонь                          fire
пламя                          flame
искра                          spark
дым                            smoke
факел                          torch
костёр                         campfire
бензин                         gas, gasoline
керосин                        kerosene
горючий                        flammable  (adj)
взрывоопасный                  explosive (adj)
НЕ КУРИТЬ!                     NO SMOKING
безопасность                   safety
опасность                      danger
опасный                        dangerous  (adj)
загореться                     to catch fire
взрыв                          explosion
поджечь                        to set fire
поджигатель                    arsonist
поджог                         arson
пылать                         to blaze (vi)
гореть                         to burn (vi)
сгореть                        to burn down
вызвать пожарных               to call the fire department
пожарный                       fireman
пожарная машина                fire truck
пожарная команда               fire department
выдвижная лестница             fire truck ladder
шланг                          fire hose
огнетушитель                   fire extinguisher
каска                          helmet
сирена                         siren
кричать                        to call out
звать на помощь                to call for help
спасатель                      rescuer
спасать                         to rescue (vt)
приехать                        to arrive (vi)
тушить                          to extinguish (vt)
вода                            water
песок                           sand
руины                           ruins
рухнуть                         to collapse (vi)
обвалиться                      to fall down (vi)
обрушиться                      to cave in
обломок                         fragment
пепел                           ash
задохнуться                     to suffocate (vi)
погибнуть                       to be killed
