104. Работа. Бизнес-процессы - 1
дело, бизнес                    business
фирма                           firm
компания                        company
корпорация                      corporation
предприятие                     enterprise
агентство                       agency
договор                         agreement
контракт                        contract
сделка                          deal
заказ                           order, command
условие (договора)              term
оптом                           wholesale
оптовый                         wholesale (adj)
продажа оптом                   wholesale
розничный                       retail(adj)
продажа в розницу               retail
конкурент                       competitor
конкуренция                     competition
конкурировать                   to compete (vi)
партнёр (соучредитель)          partner, associate
партнёрство                     partnership
кризис                          crisis
банкротство                     bankruptcy
обанкротиться                   to go bankrupt
трудность                       difficulty
проблема                        problem
катастрофа  (перен.)            catastrophe
экономика                       economy
экономический                   economic  (adj)
экономический спад              economic recession
цель                            goal
задача                          task
торговать                       to trade (vi)
сеть (дистрибьюторов)           network
склад (товары)                  inventory, stock
ассортимент                     assortment
лидер                           leader
крупный (о фирме)               big, large(adj)
монополия                       monopoly
теория                          theory
практика                        practice
опыт (знания)                   experience
тенденция                       trend
развитие                        development
