105. Работа. Бизнес-процессы - 2
выгода                          profitability
выгодный                        profitable(adj)
делегация                       delegation
заработная плата                salary
исправлять (ошибку)             to correct(vt)
командировка                    business trip
комиссия                        commission
контролировать                  to control(vt)
конференция                     conference
лицензия                        license
надёжный (партнёр)              reliable(adj)
начинание                       initiative
норма (стандарт)                norm
обстоятельство                  circumstance
обязанность                     duty
организация (предприятие)
организация (процесс)           organization
организованный                  organized (adj)
отмена                          cancellation
отменить                        to cancel (vt)
отчёт                           report
патент                          patent
патентовать                     to patent(vt)
планировать                     to plan(vt)
премия                          bonus
профессиональный                professional (adj)
процедура                       procedure
рассмотреть (вопрос и т.п.)     to examine (vt)
расчёт (прибыли и т.п.)         calculation
репутация                      reputation
риск                           risk
руководить (чем-л.)            to manage  (vt)
сведения                       information
собственность                  property
союз (группа фирм)             union
страхование жизни              life insurance
страховать                     to insure (vt)
страховка                      insurance
торги (аукцион)                auction
уведомить                      to notify(vt)
управление (процесс)           management
услуга                         service
форум                          forum
функционировать                to function (vi)
этап (работы и т.п.)           stage
юридический                    legal (adj)
юрист                          lawyer
