107. Контракт
контракт                        contract
соглашение                      agreement
приложение                      addendum
заключить контракт              to sign a contract
подпись                         signature
подписать                      to sign(vt)
печать (на документе)          stamp, seal
предмет договора               subject of contract
пункт (договора)               clause
стороны                        parties
юридический адрес              legal address
нарушить контракт              to break the contract
обязательство                  commitment
ответственность                responsibility
форс-мажор                     force majeure
спор                           dispute
штрафные санкции               penalties
