109. Финансы
акция                          stock, share
облигация                      bond
вексель                        bill of exchange
биржа                          stock exchange
курс акций                     stock price
подешеветь                     to become cheaper
подорожать                     to rise in price
доля, пай                      share
контрольный пакет              controlling interest
инвестиции                     investment
инвестировать                  to invest(vi, vt)
процент                        percent
проценты (доход)               interest
прибыль                        profit
прибыльный                     profitable(adj)
налог                          tax
валюта                         currency
национальный                   national(adj)
обмен                          exchange
бухгалтер                      accountant
бухгалтерия                    accounting
банкротство                    bankruptcy
разориться                     to be ruined
инфляция                       inflation
девальвация                    devaluation
капитал                        capital
доход                          income
оборот                         turnover
ресурсы                        resources
денежные средства              monetary resources
накладные расходы              overhead
сократить (расходы)            to reduce (vt)
