110. Маркетинг
маркетинг                      marketing
рынок                          market
сегмент рынка                  market segment
продукт                        product
товар                          goods
торговая марка, бренд          brand
логотип                        logo
спрос                          demand
предложение                    supply
потребность                    need
потребитель                    consumer
анализ                         analysis
анализировать                  to analyze(vt)
позиционирование               positioning
позиционировать                to position(vt)
цена                           price
ценовая политика               pricing policy
ценообразование                pricing
