113. Телефон. Общение по телефону
телефон                         telephone
мобильный телефон               mobile phone
автоответчик                    answering machine
звонить (по телефону)           to callvt)
звонок (по телефону)            phone call
набрать номер                   to dial a number
Алло!                           Hello!
спросить                        to ask(vt)
ответить                        to answer (vi, vt)
слышать                         to hear(vt)
хорошо                         well
плохо                          not well(adv)
помехи                         noises
трубка (телефонная)            receiver
снять трубку                   to pick up the phone
положить трубку                to hang up
занятый (о линии)              busy (adj)
звонить (о телефоне)           to ring (vi)
телефонная книга               telephone book
местный (звонок)               local(adj)
междугородний                  long distance (adj)
международный                  international(adj)
