116. Документы. Названия документов
анкета                         form
билет (входной)                ticket
бланк (фирменный)              letterhead
бэдж                           badge
бюллетень                      newsletter
визитная карточка              business card
водительские права             driver's license
таможенная декларация          customs declaration
договор                        contract
документ                       document
завещание (документ)           will
закон                          law
записка                        note
заполнить (~ анкету)           to fill out
запрос                         inquiry
зачеркнуть                     to cross out
заявка                         application form
квитанция                      receipt
конституция                    constitution
копия                          copy
накладная                      waybill
отчёт                          account
паспорт                        passport
печать (на документе)          stamp, seal
письмо                         letter, mail
подлинный (документ)           authentic (adj)
подписать                      to sign (vt)
подпись                        signature
предъявлять                    to show  (vt)
пригласительный билет          invitation card
приложение (к договору)        addendum
пропуск (документ)             pass
разрешение (документ)          permit
рапорт                         report
расписка                       debt note, IOU
резюме                         résumé
рукопись                       manuscript
сертификат                     certificate
соглашение                     agreement
список                         list
счёт (в бизнесе)               invoice
счёт (в ресторане)             check
текст                          text
удостоверение                  identity card, ID
чек (банковский)               check
чек (кассовый)                 sales slip, receipt
экземпляр (документа)          copy
